week_end,metric,value,captured_at
2026-01-01,intermodal,1159051,2026-04-27T23:12:15Z
2026-01-01,carloads,965128,2026-04-27T23:12:15Z
2025-12-01,intermodal,1139451,2026-04-27T23:12:15Z
2025-12-01,carloads,932254,2026-04-27T23:12:15Z
2025-11-01,intermodal,1133175,2026-04-27T23:12:15Z
2025-11-01,carloads,956314,2026-04-27T23:12:15Z
2025-10-01,intermodal,1210818,2026-04-27T23:12:15Z
2025-10-01,carloads,953235,2026-04-27T23:12:15Z
2025-09-01,intermodal,1185406,2026-04-27T23:12:15Z
2025-09-01,carloads,956045,2026-04-27T23:12:15Z
2025-08-01,intermodal,1253400,2026-04-27T23:12:15Z
2025-08-01,carloads,971603,2026-04-27T23:12:15Z
2025-07-01,intermodal,1202799,2026-04-27T23:12:15Z
2025-07-01,carloads,990800,2026-04-27T23:12:15Z
2025-06-01,intermodal,1111488,2026-04-27T23:12:15Z
2025-06-01,carloads,972894,2026-04-27T23:12:15Z
2025-05-01,intermodal,1154788,2026-04-27T23:12:15Z
2025-05-01,carloads,980458,2026-04-27T23:12:15Z
2025-04-01,intermodal,1166250,2026-04-27T23:12:15Z
2025-04-01,carloads,983151,2026-04-27T23:12:15Z
2025-03-01,intermodal,1223451,2026-04-27T23:12:15Z
2025-03-01,carloads,980549,2026-04-27T23:12:15Z
2025-02-01,intermodal,1107486,2026-04-27T23:12:15Z
2025-02-01,carloads,942671,2026-04-27T23:12:15Z
2025-01-01,intermodal,1192590,2026-04-27T23:12:15Z
2025-01-01,carloads,926418,2026-04-27T23:12:15Z
2024-12-01,intermodal,1188077,2026-04-27T23:12:15Z
2024-12-01,carloads,959575,2026-04-27T23:12:15Z
2024-11-01,intermodal,1210531,2026-04-27T23:12:15Z
2024-11-01,carloads,943918,2026-04-27T23:12:15Z
2024-10-01,intermodal,1253518,2026-04-27T23:12:15Z
2024-10-01,carloads,952651,2026-04-27T23:12:15Z
2024-09-01,intermodal,1191873,2026-04-27T23:12:15Z
2024-09-01,carloads,967792,2026-04-27T23:12:15Z
2024-08-01,intermodal,1251150,2026-04-27T23:12:15Z
2024-08-01,carloads,961879,2026-04-27T23:12:15Z
2024-07-01,intermodal,1167756,2026-04-27T23:12:15Z
2024-07-01,carloads,945581,2026-04-27T23:12:15Z
2024-06-01,intermodal,1141889,2026-04-27T23:12:15Z
2024-06-01,carloads,953042,2026-04-27T23:12:15Z
2024-05-01,intermodal,1139363,2026-04-27T23:12:15Z
2024-05-01,carloads,924627,2026-04-27T23:12:15Z
2024-04-01,intermodal,1091151,2026-04-27T23:12:15Z
2024-04-01,carloads,926255,2026-04-27T23:12:15Z
2024-03-01,intermodal,1131742,2026-04-27T23:12:15Z
2024-03-01,carloads,937606,2026-04-27T23:12:15Z
2024-02-01,intermodal,1080697,2026-04-27T23:12:15Z
2024-02-01,carloads,960643,2026-04-27T23:12:15Z
2024-01-01,intermodal,1060637,2026-04-27T23:12:15Z
2024-01-01,carloads,916726,2026-04-27T23:12:15Z
2023-12-01,intermodal,1090131,2026-04-27T23:12:15Z
2023-12-01,carloads,978819,2026-04-27T23:12:15Z
2023-11-01,intermodal,1090452,2026-04-27T23:12:15Z
2023-11-01,carloads,974258,2026-04-27T23:12:15Z
2023-10-01,intermodal,1187306,2026-04-27T23:12:15Z
2023-10-01,carloads,969471,2026-04-27T23:12:15Z
2023-09-01,intermodal,1079107,2026-04-27T23:12:15Z
2023-09-01,carloads,976968,2026-04-27T23:12:15Z
2023-08-01,intermodal,1097725,2026-04-27T23:12:15Z
2023-08-01,carloads,953944,2026-04-27T23:12:15Z
2023-07-01,intermodal,1074791,2026-04-27T23:12:15Z
2023-07-01,carloads,965295,2026-04-27T23:12:15Z
2023-06-01,intermodal,1047301,2026-04-27T23:12:15Z
2023-06-01,carloads,974099,2026-04-27T23:12:15Z
