time_tag,bt,bz_gsm,bx_gsm,by_gsm,lat,lon,captured_at
2026-04-27T22:00:00,4.41,2.34,2.65,-2.63,32.08,315.18,2026-04-27T23:11:54Z
2026-04-27T21:00:00,3.62,0.01,0.42,-3.59,0.14,276.70,2026-04-27T23:11:54Z
2026-04-27T20:00:00,3.45,1.28,1.24,2.95,21.82,67.19,2026-04-27T23:11:54Z
2026-04-27T19:00:00,3.57,0.93,1.97,2.83,15.18,55.09,2026-04-27T23:11:54Z
2026-04-27T18:00:00,3.87,-2.40,0.36,3.02,-38.26,83.11,2026-04-27T23:11:54Z
2026-04-27T16:00:00,3.46,-1.83,0.14,2.93,-31.98,87.25,2026-04-27T23:11:54Z
2026-04-27T14:00:00,3.54,-0.50,-2.10,2.81,-8.11,126.72,2026-04-27T23:11:54Z
2026-04-27T13:00:00,3.18,2.34,-1.07,1.88,47.22,119.55,2026-04-27T23:11:54Z
2026-04-27T12:00:00,4.26,2.44,-2.11,-2.78,34.91,232.81,2026-04-27T23:11:54Z
2026-04-27T11:00:00,3.00,1.31,-2.25,-1.49,25.91,213.43,2026-04-27T23:11:54Z
2026-04-27T10:00:00,3.99,-0.62,-3.93,0.38,-8.94,174.41,2026-04-27T23:11:54Z
2026-04-27T08:00:00,3.07,2.12,-1.48,-1.65,43.70,228.24,2026-04-27T23:11:54Z
2026-04-27T07:00:00,2.35,0.45,-2.29,-0.20,11.17,184.97,2026-04-27T23:11:54Z
2026-04-27T06:00:00,4.78,1.58,-4.48,-0.57,19.32,187.26,2026-04-27T23:11:54Z
2026-04-27T05:00:00,3.87,3.38,-0.62,1.77,60.96,109.17,2026-04-27T23:11:54Z
2026-04-27T04:00:00,6.26,1.64,-5.37,2.75,15.22,152.87,2026-04-27T23:11:54Z
2026-04-27T02:00:00,4.72,2.34,1.87,3.65,29.77,62.82,2026-04-27T23:11:54Z
2026-04-27T01:00:00,4.85,3.76,1.81,2.47,50.82,53.78,2026-04-27T23:11:54Z
2026-04-27T00:00:00,4.57,1.66,-3.55,-2.35,21.28,213.50,2026-04-27T23:11:54Z
2026-04-26T23:00:00,2.23,-0.35,-1.88,-1.13,-9.06,211.05,2026-04-27T23:11:54Z
2026-04-26T22:00:00,4.36,-2.76,1.48,3.03,-39.27,64.04,2026-04-27T23:11:54Z
2026-04-26T21:00:00,2.66,-2.31,1.14,0.65,-60.26,29.66,2026-04-27T23:11:54Z
2026-04-26T20:00:00,4.72,-4.14,1.86,1.30,-61.22,34.98,2026-04-27T23:11:54Z
2026-04-26T19:00:00,3.13,1.14,-2.21,-1.90,21.33,220.70,2026-04-27T23:11:54Z
2026-04-26T18:00:00,3.12,-0.84,0.14,-3.00,-15.59,272.70,2026-04-27T23:11:54Z
2026-04-26T16:00:00,7.25,3.56,-6.31,-0.22,29.39,182.01,2026-04-27T23:11:54Z
2026-04-26T14:00:00,7.44,0.86,-6.95,2.49,6.64,160.27,2026-04-27T23:11:54Z
2026-04-26T13:00:00,8.02,2.57,-6.54,3.87,18.68,149.35,2026-04-27T23:11:54Z
2026-04-26T12:00:00,8.18,2.35,-5.37,5.69,16.74,133.34,2026-04-27T23:11:54Z
2026-04-26T11:00:00,8.20,3.36,-6.07,4.36,24.20,144.32,2026-04-27T23:11:54Z
2026-04-26T10:00:00,8.49,-0.03,-4.51,7.20,-0.17,122.05,2026-04-27T23:11:54Z
2026-04-26T08:00:00,8.14,4.71,-5.72,3.37,35.34,149.46,2026-04-27T23:11:54Z
2026-04-26T07:00:00,7.52,-5.22,-4.79,2.51,-43.98,152.38,2026-04-27T23:11:54Z
2026-04-26T06:00:00,7.57,-1.24,-4.47,5.98,-9.43,126.79,2026-04-27T23:11:54Z
2026-04-26T05:00:00,9.05,4.60,-5.60,5.42,30.52,135.94,2026-04-27T23:11:54Z
2026-04-26T04:00:00,10.02,-5.85,-7.08,4.00,-35.71,150.52,2026-04-27T23:11:54Z
2026-04-26T03:00:00,11.59,11.10,-3.01,1.38,73.38,155.40,2026-04-27T23:11:54Z
2026-04-26T02:00:00,9.57,3.92,-7.79,3.93,24.16,153.21,2026-04-27T23:11:54Z
2026-04-26T01:00:00,9.02,0.52,-8.35,3.37,3.34,158.02,2026-04-27T23:11:54Z
2026-04-26T00:00:00,6.27,-3.86,-4.44,2.18,-37.95,153.80,2026-04-27T23:11:54Z
2026-04-25T23:00:00,10.23,2.62,-9.22,3.59,14.83,158.72,2026-04-27T23:11:54Z
2026-04-25T22:00:00,8.70,1.69,-7.10,4.74,11.17,146.28,2026-04-27T23:11:54Z
2026-04-25T20:00:00,10.70,-7.71,-6.95,2.57,-46.11,159.69,2026-04-27T23:11:54Z
2026-04-25T19:00:00,11.33,-1.60,-9.22,6.40,-8.10,145.25,2026-04-27T23:11:54Z
2026-04-25T18:00:00,6.10,-2.67,-0.78,-5.43,-25.96,261.79,2026-04-27T23:11:54Z
2026-04-25T17:00:00,6.30,-3.46,1.54,-5.03,-33.30,287.02,2026-04-27T23:11:54Z
2026-04-25T16:00:00,4.58,-4.03,0.05,-2.18,-61.57,271.19,2026-04-27T23:11:54Z
2026-04-25T14:00:00,5.95,1.82,-5.50,-1.38,17.79,194.10,2026-04-27T23:11:54Z
2026-04-25T13:00:00,6.13,3.42,-4.85,-1.54,33.96,197.57,2026-04-27T23:11:54Z
2026-04-25T12:00:00,3.93,3.21,-2.20,-0.53,54.76,193.60,2026-04-27T23:11:54Z
2026-04-25T11:00:00,5.73,0.68,-1.82,5.39,6.85,108.63,2026-04-27T23:11:54Z
2026-04-25T10:00:00,5.49,0.24,-1.82,5.17,2.51,109.41,2026-04-27T23:11:54Z
2026-04-25T08:00:00,5.43,3.18,-2.42,3.68,35.78,123.26,2026-04-27T23:11:54Z
2026-04-25T07:00:00,5.45,2.65,-2.24,4.20,29.05,118.09,2026-04-27T23:11:54Z
2026-04-25T06:00:00,4.39,3.71,-1.84,-1.45,57.73,218.27,2026-04-27T23:11:54Z
2026-04-25T05:00:00,6.63,3.60,-4.35,3.47,32.90,141.47,2026-04-27T23:11:54Z
2026-04-25T04:00:00,7.92,2.47,-6.21,4.25,18.17,145.61,2026-04-27T23:11:54Z
2026-04-25T03:00:00,8.05,2.10,-6.55,4.17,15.16,147.55,2026-04-27T23:11:54Z
2026-04-25T02:00:00,7.69,1.49,-5.71,4.93,11.16,139.18,2026-04-27T23:11:54Z
2026-04-25T01:00:00,8.80,6.63,-5.11,2.70,48.90,152.20,2026-04-27T23:11:54Z
2026-04-25T00:00:00,8.79,1.12,-6.20,6.12,7.34,135.38,2026-04-27T23:11:54Z
2026-04-24T23:00:00,5.67,5.59,-0.26,-0.94,80.14,254.73,2026-04-27T23:11:54Z
2026-04-24T22:00:00,7.42,-3.08,5.20,-4.31,-24.51,320.31,2026-04-27T23:11:54Z
2026-04-24T21:00:00,7.23,-7.13,0.77,0.93,-80.39,50.24,2026-04-27T23:11:54Z
2026-04-24T20:00:00,6.30,-5.81,0.86,-2.30,-67.10,290.49,2026-04-27T23:11:54Z
2026-04-24T19:00:00,6.40,-4.17,1.83,-4.49,-40.68,292.17,2026-04-27T23:11:54Z
2026-04-24T18:00:00,6.61,-5.72,2.63,-2.01,-59.94,322.58,2026-04-27T23:11:54Z
2026-04-24T16:00:00,5.40,-3.95,3.66,0.38,-47.03,5.95,2026-04-27T23:11:54Z
2026-04-24T14:00:00,4.21,-1.14,2.82,-2.90,-15.67,314.20,2026-04-27T23:11:54Z
2026-04-24T13:00:00,4.30,2.68,2.43,-2.33,38.56,316.13,2026-04-27T23:11:54Z
2026-04-24T12:00:00,3.48,-0.65,1.58,-3.04,-10.75,297.45,2026-04-27T23:11:54Z
2026-04-24T11:00:00,4.21,3.42,1.14,-2.18,54.26,297.65,2026-04-27T23:11:54Z
2026-04-24T10:00:00,3.80,0.34,1.21,-3.58,5.16,288.62,2026-04-27T23:11:54Z
2026-04-24T08:00:00,3.86,-1.19,-0.37,-3.65,-17.99,264.18,2026-04-27T23:11:54Z
2026-04-24T07:00:00,4.41,-2.29,-1.21,-3.57,-31.27,251.21,2026-04-27T23:11:54Z
2026-04-24T06:00:00,4.53,-1.60,-1.62,-3.91,-20.75,247.49,2026-04-27T23:11:54Z
2026-04-24T05:00:00,3.80,-0.80,2.90,-2.32,-12.09,321.32,2026-04-27T23:11:54Z
2026-04-24T04:00:00,3.89,-2.58,2.53,-1.45,-41.47,330.07,2026-04-27T23:11:54Z
2026-04-24T03:00:00,3.93,-1.30,-1.71,-3.29,-19.28,242.58,2026-04-27T23:11:54Z
2026-04-24T02:00:00,2.86,0.73,1.34,-2.42,14.80,299.02,2026-04-27T23:11:54Z
2026-04-24T01:00:00,3.15,-0.08,2.77,-1.50,-1.47,331.47,2026-04-27T23:11:54Z
2026-04-24T00:00:00,3.17,-1.24,2.65,-1.22,-23.03,335.22,2026-04-27T23:11:54Z
2026-04-23T23:00:00,3.21,0.06,3.15,-0.57,1.06,349.71,2026-04-27T23:11:54Z
2026-04-23T22:00:00,3.20,1.00,2.95,-0.72,18.19,346.23,2026-04-27T23:11:54Z
2026-04-23T21:00:00,3.53,-1.98,2.84,-0.68,-34.19,346.51,2026-04-27T23:11:54Z
2026-04-23T20:00:00,3.30,-0.57,3.25,-0.07,-9.96,358.72,2026-04-27T23:11:54Z
2026-04-23T19:00:00,3.54,2.88,1.62,1.25,54.59,37.60,2026-04-27T23:11:54Z
