tail_number,owner,callsign,last_seen,origin_country,lat,lon,altitude,inferred_airport,captured_at
N628TS,Elon Musk,,,,,,,,2026-04-27T23:00:38Z
N2834G,Warren Buffett (NetJets),,,,,,,,2026-04-27T23:00:38Z
N887WM,Bill Gates,,,,,,,,2026-04-27T23:00:38Z
N1JE,Jim Simons,,,,,,,,2026-04-27T23:00:38Z
N908JE,Jamie Dimon,,,,,,,,2026-04-27T23:00:38Z
N887AC,Larry Ellison,,,,,,,,2026-04-27T23:00:38Z
N6523A,Tim Cook,,,,,,,,2026-04-27T23:00:38Z
N313QS,Mark Zuckerberg,,,,,,,,2026-04-27T23:00:38Z
N271DV,Michael Bloomberg,,,,,,,,2026-04-27T23:00:38Z
N70GW,George Soros,,,,,,,,2026-04-27T23:00:38Z
N887WR,Ray Dalio,,,,,,,,2026-04-27T23:00:38Z
N4ND,Ken Griffin (Citadel),,,,,,,,2026-04-27T23:00:38Z
N35JM,Stephen Schwarzman (Blackstone),,,,,,,,2026-04-27T23:00:38Z
N900MU,David Tepper,,,,,,,,2026-04-27T23:00:38Z
N501WN,Paul Tudor Jones,,,,,,,,2026-04-27T23:00:38Z
N925SS,Steve Cohen,,,,,,,,2026-04-27T23:00:38Z
N360CA,Rupert Murdoch,,,,,,,,2026-04-27T23:00:38Z
N903AN,Robert Smith (Vista),,,,,,,,2026-04-27T23:00:38Z
