rank,app_name,category,chart,captured_at
1,ChatGPT,Productivity,topgrossing,2026-04-27T23:06:28Z
2,YouTube,Photo & Video,topgrossing,2026-04-27T23:06:28Z
3,"TikTok - Videos, Shop & LIVE",Entertainment,topgrossing,2026-04-27T23:06:28Z
4,Peacock TV: Stream TV & Movies,Entertainment,topgrossing,2026-04-27T23:06:28Z
5,Paramount+,Entertainment,topgrossing,2026-04-27T23:06:28Z
6,Snapchat,Photo & Video,topgrossing,2026-04-27T23:06:28Z
7,HBO Max: Stream Movies & TV,Entertainment,topgrossing,2026-04-27T23:06:28Z
8,MONOPOLY GO!,Games,topgrossing,2026-04-27T23:06:28Z
9,Royal Match,Games,topgrossing,2026-04-27T23:06:28Z
10,Disney+,Entertainment,topgrossing,2026-04-27T23:06:28Z
11,Crunchyroll,Entertainment,topgrossing,2026-04-27T23:06:28Z
12,LinkedIn: Community & Network,Business,topgrossing,2026-04-27T23:06:28Z
13,Candy Crush Saga,Games,topgrossing,2026-04-27T23:06:28Z
14,Claude by Anthropic,Productivity,topgrossing,2026-04-27T23:06:28Z
15,YouTube Music,Music,topgrossing,2026-04-27T23:06:28Z
16,Last War:Survival,Games,topgrossing,2026-04-27T23:06:28Z
17,Gossip Harbor®: Merge & Story,Games,topgrossing,2026-04-27T23:06:28Z
18,Pandora: Music & Podcasts,Music,topgrossing,2026-04-27T23:06:28Z
19,Tinder Dating App: Date & Chat,Lifestyle,topgrossing,2026-04-27T23:06:28Z
20,Life360: Stay Connected & Safe,Social Networking,topgrossing,2026-04-27T23:06:28Z
21,Kingshot,Games,topgrossing,2026-04-27T23:06:28Z
22,MLB,Sports,topgrossing,2026-04-27T23:06:28Z
23,Audible: Audiobooks & Podcasts,Books,topgrossing,2026-04-27T23:06:28Z
24,Canva: AI Video & Photo Editor,Photo & Video,topgrossing,2026-04-27T23:06:28Z
25,GameChanger,Sports,topgrossing,2026-04-27T23:06:28Z
26,Grok - AI Chat & Video,Productivity,topgrossing,2026-04-27T23:06:28Z
27,CapCut: Photo & Video Editor,Photo & Video,topgrossing,2026-04-27T23:06:28Z
28,Hulu: Stream TV shows & movies,Entertainment,topgrossing,2026-04-27T23:06:28Z
29,Township,Games,topgrossing,2026-04-27T23:06:28Z
30,Royal Kingdom,Games,topgrossing,2026-04-27T23:06:28Z
31,Duolingo: Language & Chess,Education,topgrossing,2026-04-27T23:06:28Z
32,Whiteout Survival,Games,topgrossing,2026-04-27T23:06:28Z
33,MyFitnessPal: Calorie Counter,Health & Fitness,topgrossing,2026-04-27T23:06:28Z
34,Grindr - Gay Dating & Chat,Social Networking,topgrossing,2026-04-27T23:06:28Z
35,Dropbox: Cloud Storage Backup,Productivity,topgrossing,2026-04-27T23:06:28Z
36,Toon Blast,Games,topgrossing,2026-04-27T23:06:28Z
37,Amazon Prime Video,Entertainment,topgrossing,2026-04-27T23:06:28Z
38,Hinge Dating App: Match & Date,Lifestyle,topgrossing,2026-04-27T23:06:28Z
39,Last Z: Survival Shooter,Games,topgrossing,2026-04-27T23:06:28Z
40,Pixel Flow!,Games,topgrossing,2026-04-27T23:06:28Z
41,Facetune: Photo & Video Editor,Photo & Video,topgrossing,2026-04-27T23:06:28Z
42,PictureThis - Plant Identifier,Education,topgrossing,2026-04-27T23:06:28Z
43,Amazon Music: Songs & Podcasts,Music,topgrossing,2026-04-27T23:06:28Z
44,Free Fire: Undersea Mystery,Games,topgrossing,2026-04-27T23:06:28Z
45,ReelShort - Stream Drama & TV,Entertainment,topgrossing,2026-04-27T23:06:28Z
46,Pokémon GO,Games,topgrossing,2026-04-27T23:06:28Z
47,Telegram Messenger,Social Networking,topgrossing,2026-04-27T23:06:28Z
48,Tasty Travels: Merge Game,Games,topgrossing,2026-04-27T23:06:28Z
49,The Zeus Network,Entertainment,topgrossing,2026-04-27T23:06:28Z
50,Match Factory!,Games,topgrossing,2026-04-27T23:06:28Z
1,ChatGPT,Productivity,topfree,2026-04-27T23:06:28Z
2,Claude by Anthropic,Productivity,topfree,2026-04-27T23:06:28Z
3,Google Gemini,Productivity,topfree,2026-04-27T23:06:28Z
4,Netflix Game Controller,Entertainment,topfree,2026-04-27T23:06:28Z
5,Temu: Shop Like a Billionaire,Shopping,topfree,2026-04-27T23:06:28Z
6,Meta AI - Assistant & Glasses,Productivity,topfree,2026-04-27T23:06:28Z
7,Google,Utilities,topfree,2026-04-27T23:06:28Z
8,CapCut: Photo & Video Editor,Photo & Video,topfree,2026-04-27T23:06:28Z
9,Threads,Social Networking,topfree,2026-04-27T23:06:28Z
10,WhatsApp Messenger,Social Networking,topfree,2026-04-27T23:06:28Z
11,Microsoft Authenticator,Productivity,topfree,2026-04-27T23:06:28Z
12,Google Maps,Navigation,topfree,2026-04-27T23:06:28Z
13,HBO Max: Stream Movies & TV,Entertainment,topfree,2026-04-27T23:06:28Z
14,"Whatnot: Shop, Sell, Connect",Shopping,topfree,2026-04-27T23:06:28Z
15,Gmail - Email by Google,Productivity,topfree,2026-04-27T23:06:28Z
16,"TikTok - Videos, Shop & LIVE",Entertainment,topfree,2026-04-27T23:06:28Z
17,SHEIN - Shopping Online,Shopping,topfree,2026-04-27T23:06:28Z
18,Microsoft Outlook,Productivity,topfree,2026-04-27T23:06:28Z
19,Shop: All your favorite brands,Shopping,topfree,2026-04-27T23:06:28Z
20,Instagram,Photo & Video,topfree,2026-04-27T23:06:28Z
21,Facebook,Social Networking,topfree,2026-04-27T23:06:28Z
22,Grok - AI Chat & Video,Productivity,topfree,2026-04-27T23:06:28Z
23,Cash App,Finance,topfree,2026-04-27T23:06:28Z
24,"Ticketmaster－Buy, Sell Tickets",Entertainment,topfree,2026-04-27T23:06:28Z
25,"DoorDash: Food, Grocery, More",Food & Drink,topfree,2026-04-27T23:06:28Z
26,YouTube,Photo & Video,topfree,2026-04-27T23:06:28Z
27,Google Chrome,Utilities,topfree,2026-04-27T23:06:28Z
28,Spotify: Music and Podcasts,Music,topfree,2026-04-27T23:06:28Z
29,Indeed Job Search,Business,topfree,2026-04-27T23:06:28Z
30,Telegram Messenger,Social Networking,topfree,2026-04-27T23:06:28Z
31,X,News,topfree,2026-04-27T23:06:28Z
32,Uber - Request a ride,Travel,topfree,2026-04-27T23:06:28Z
33,Microsoft Teams,Business,topfree,2026-04-27T23:06:28Z
34,Walmart: Shopping & Savings,Shopping,topfree,2026-04-27T23:06:28Z
35,Amazon Shopping,Shopping,topfree,2026-04-27T23:06:28Z
36,Suno - AI Songs & Music,Music,topfree,2026-04-27T23:06:28Z
37,Depop - Buy & Sell Clothes,Shopping,topfree,2026-04-27T23:06:28Z
38,eBay online shopping & selling,Shopping,topfree,2026-04-27T23:06:28Z
39,Canva: AI Video & Photo Editor,Photo & Video,topfree,2026-04-27T23:06:28Z
40,Amazon Prime Video,Entertainment,topfree,2026-04-27T23:06:28Z
41,"PayPal - Pay, Send, Save",Finance,topfree,2026-04-27T23:06:28Z
42,XChat,Social Networking,topfree,2026-04-27T23:06:28Z
43,Pinterest,Lifestyle,topfree,2026-04-27T23:06:28Z
44,Airbnb,Travel,topfree,2026-04-27T23:06:28Z
45,Netflix,Entertainment,topfree,2026-04-27T23:06:28Z
46,Citi Mobile®,Finance,topfree,2026-04-27T23:06:28Z
47,Life360: Stay Connected & Safe,Social Networking,topfree,2026-04-27T23:06:28Z
48,Google Photos: Backup & Edit,Photo & Video,topfree,2026-04-27T23:06:28Z
49,McDonald's,Food & Drink,topfree,2026-04-27T23:06:28Z
50,Google Drive,Productivity,topfree,2026-04-27T23:06:28Z
1,NTE: Neverness to Everness,Games,topfreegames,2026-04-27T23:06:28Z
2,Arrows – Puzzle Escape,Games,topfreegames,2026-04-27T23:06:28Z
3,Magic Sort!,Games,topfreegames,2026-04-27T23:06:28Z
4,Block Blast！,Games,topfreegames,2026-04-27T23:06:28Z
5,Block Out! - Color Sort Puzzle,Games,topfreegames,2026-04-27T23:06:28Z
6,Rips by Triumph,Games,topfreegames,2026-04-27T23:06:28Z
7,Vita Mahjong,Games,topfreegames,2026-04-27T23:06:28Z
8,Royal Kingdom,Games,topfreegames,2026-04-27T23:06:28Z
9,Roblox,Games,topfreegames,2026-04-27T23:06:28Z
10,Dicero!,Games,topfreegames,2026-04-27T23:06:28Z
11,Arrows GO!,Games,topfreegames,2026-04-27T23:06:28Z
12,Brawl Stars,Games,topfreegames,2026-04-27T23:06:28Z
13,Solitaire Associations Journey,Games,topfreegames,2026-04-27T23:06:28Z
14,Jewel Coloring,Games,topfreegames,2026-04-27T23:06:28Z
15,Disney Solitaire,Games,topfreegames,2026-04-27T23:06:28Z
16,Subway Surfers,Games,topfreegames,2026-04-27T23:06:28Z
17,Among Us!,Games,topfreegames,2026-04-27T23:06:28Z
18,Pixel Flow!,Games,topfreegames,2026-04-27T23:06:28Z
19,Bus Rush Fever!,Games,topfreegames,2026-04-27T23:06:28Z
20,Magic Tiles 3: Piano Game,Games,topfreegames,2026-04-27T23:06:28Z
21,Fortnite,Games,topfreegames,2026-04-27T23:06:28Z
22,Gossip Harbor®: Merge & Story,Games,topfreegames,2026-04-27T23:06:28Z
23,OneState RP: Role Play Online,Games,topfreegames,2026-04-27T23:06:28Z
