arxiv_id,published,title,authors,ticker_guess,summary,url
2604.22753v1,2026-04-24,"Spend Less, Fit Better: Budget-Efficient Scaling Law Fitting via Active Experiment Selection","
      Sijie Li
     | 
      Shanda Li
     | 
      Haowei Lin
     | 
      Weiwei Sun
     | 
      Ameet Talwalkar
    ",,"Scaling laws are used to plan multi-million-dollar training runs, but fitting those laws can itself cost millions. In modern large-scale workflows, assembling a sufficiently informative set of pilot experiments is already a major budget-all",http://arxiv.org/abs/2604.22753v1
2604.22750v1,2026-04-24,How Do AI Agents Spend Your Money? Analyzing and Predicting Token Consumption in Agentic Coding Tasks,"
      Longju Bai
     | 
      Zhemin Huang
     | 
      Xingyao Wang
     | 
      Jiao Sun
     | 
      Rada Mihalcea
    ",,"The wide adoption of AI agents in complex human workflows is driving rapid growth in LLM token consumption. When agents are deployed on tasks that require a significant amount of tokens, three questions naturally arise: (1) Where do AI agen",http://arxiv.org/abs/2604.22750v1
2604.22749v1,2026-04-24,Representational Harms in LLM-Generated Narratives Against Global Majority Nationalities,"
      Ilana Nguyen
     | 
      Harini Suresh
     | 
      Thema Monroe-White
     | 
      Evan Shieh
    ",,"Large language models (LLMs) are increasingly used for text generation tasks from everyday use to high-stakes enterprise and government applications, including simulated interviews with asylum seekers. While many works highlight the new pot",http://arxiv.org/abs/2604.22749v1
2604.22748v1,2026-04-24,"Agentic World Modeling: Foundations, Capabilities, Laws, and Beyond","
      Meng Chu
     | 
      Xuan Billy Zhang
     | 
      Kevin Qinghong Lin
     | 
      Lingdong Kong
     | 
      Jize Zhang
    ",,"As AI systems move from generating text to accomplishing goals through sustained interaction, the ability to model environment dynamics becomes a central bottleneck. Agents that manipulate objects, navigate software, coordinate with others,",http://arxiv.org/abs/2604.22748v1
2604.22746v1,2026-04-24,Relaxation-Informed Training of Neural Network Surrogate Models,"
      Calvin Tsay
    ",,"ReLU neural networks trained as surrogate models can be embedded exactly in mixed-integer linear programs (MILPs), enabling global optimization over the learned function. The tractability of the resulting MILP depends on structural properti",http://arxiv.org/abs/2604.22746v1
2604.22739v1,2026-04-24,Inter-Stance: A Dyadic Multimodal Corpus for Conversational Stance Analysis,"
      Xiang Zhang
     | 
      Xiaotian Li
     | 
      Taoyue Wang
     | 
      Nan Bi
     | 
      Xin Zhou
    ",,"Social interactions dominate our perceptions of the world and shape our daily behavior by attaching social meaning to acts as simple and spontaneous as gestures, facial expressions, voice, and speech. People mimic and otherwise respond to e",http://arxiv.org/abs/2604.22739v1
2604.22736v1,2026-04-24,An Undecidability Proof for the Plan Existence Problem,"
      Antonis Achilleos
    ",,"The plan existence problem asks, given a goal in the form of a formula in modal logic, an initial epistemic state (a pointed Kripke model), and a set of epistemic actions, whether there exists a sequence of actions that can be applied to re",http://arxiv.org/abs/2604.22736v1
2604.22730v1,2026-04-24,Neural Recovery of Historical Lexical Structure in Bantu Languages from Modern Data,"
      Hillary Mutisya
     | 
      John Mugane
    ",,"We investigate whether neural models trained exclusively on modern morphological data can recover cross-lingual lexical structure consistent with historical reconstruction. Using BantuMorph v7, a transformer over Bantu morphological paradig",http://arxiv.org/abs/2604.22730v1
2604.22723v1,2026-04-24,Zero-Shot Morphological Discovery in Low-Resource Bantu Languages via Cross-Lingual Transfer and Unsupervised Clustering,"
      Hillary Mutisya
     | 
      John Mugane
    ",,"We present a method for discovering morphological features in low-resource Bantu languages by combining cross-lingual transfer learning with unsupervised clustering. Applied to Giriama (nyf), a language with only 91 labeled paradigms, our p",http://arxiv.org/abs/2604.22723v1
2604.22722v1,2026-04-24,Aligning Dense Retrievers with LLM Utility via DistillationAligning Dense Retrievers with LLM Utility via Distillation,"
      Rajinder Sandhu
     | 
      Di Mu
     | 
      Cheng Chang
     | 
      Md Shahriar Tasjid
     | 
      Himanshu Rai
    ",,"Dense vector retrieval is the practical backbone of Retrieval- Augmented Generation (RAG), but similarity search can suffer from precision limitations. Conversely, utility-based approaches leveraging LLM re-ranking often achieve superior pe",http://arxiv.org/abs/2604.22722v1
2604.22714v1,2026-04-24,Long-tail Internet photo reconstruction,"
      Yuan Li
     | 
      Yuanbo Xiangli
     | 
      Hadar Averbuch-Elor
     | 
      Noah Snavely
     | 
      Ruojin Cai
    ",,"Internet photo collections exhibit an extremely long-tailed distribution: a few famous landmarks are densely photographed and easily reconstructed in 3D, while most real-world sites are represented with sparse, noisy, uneven imagery beyond ",http://arxiv.org/abs/2604.22714v1
