category,rank,ticker,price,change_amount,change_pct,volume,last_updated,captured_at
gainers,1,USGOW,0.41,0.3245,379.5322,2279200,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,2,LANV+,0.0189,0.0082,76.6355,4800,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,3,MXL,60.32,26.07,76.1168,28762471,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,4,SCNI,0.737,0.281,61.6228,198774850,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,5,SWAGW,0.0376,0.0142,60.6838,100,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,6,OIOWW,0.0554,0.0198,55.618,700,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,7,HUBCW,0.0126,0.0041,48.2353,1152610,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,8,LINT,105.99,34.38,48.0101,423121,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,9,INTW,167.39,53.37,46.8076,1762138,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,10,SMXWW,0.05,0.0151,43.2665,153047,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,11,REVBW,0.0092,0.0026,39.3939,200,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,12,ATOM,8.6,2.41,38.9338,27911932,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,13,ELPW,3.62,0.95,35.5805,64567629,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,14,AAOX,58.1,15.18,35.3681,4129159,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,15,IHRT,5.42,1.41,35.1621,1084029,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,16,GGROW,0.0054,0.0014,35.0,20000,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,17,DRMAW,0.0155,0.0038,32.4786,300,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,18,BGLWW,0.3263,0.0776,31.2023,150400,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,19,OGN,11.28,2.68,31.1628,31598168,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
gainers,20,AKAN,12.23,2.86,30.5229,5933908,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,1,CHSN,0.1837,-2.2763,-92.5325,114858871,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,2,ESHAR,0.0075,-0.0925,-92.5,306788,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,3,AUUD,1.83,-3.23,-63.834,11670522,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,4,OIO,2.91,-4.14,-58.7234,238326,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,5,CHARR,0.0454,-0.0446,-49.5556,51846,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,6,TDACW,0.0702,-0.0498,-41.5,9667,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,7,SMX,2.08,-1.44,-40.9091,6500860,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
losers,8,DHY^,0.0075,-0.0045,-37.5,1236242,2026-04-24 16:15:59 US/Ea,2026-04-27T23:11:39Z
