date,us_rigs,us_change,canada_rigs,canada_change,intl_rigs,intl_change,release_title,captured_at
2026-03-02,,,,,1112,33,"February 2026 Baker Hughes Rig Count: International +33 to 1,112.",2026-04-27T23:06:32Z
2026-03-06,551,1,205,-9,,,Baker Hughes Rig Count: U.S. +1 to 551 Canada -9 to 205,2026-04-27T23:06:32Z
2026-03-12,553,2,197,-8,,,Baker Hughes Rig Count: U.S. +2 to 553 Canada -8 to 197,2026-04-27T23:06:32Z
2026-03-19,552,-1,177,-20,,,Baker Hughes Rig Count: U.S. -1 to 552 Canada -20 to 177,2026-04-27T23:06:32Z
2026-03-26,543,-9,153,-24,,,Baker Hughes Rig Count: U.S. -9 to 543 Canada -24 to 153,2026-04-27T23:06:32Z
2026-03-31,,,,,1058,-54,"March 2026 Baker Hughes Rig Count: International -54 to 1,058.",2026-04-27T23:06:32Z
2026-04-02,548,5,142,-11,,,Baker Hughes Rig Count: U.S. +5 to 548 Canada -11 to 142,2026-04-27T23:06:32Z
2026-04-09,545,-3,135,-7,,,Baker Hughes Rig Count: U.S. -3 to 545 Canada -7 to 135,2026-04-27T23:06:32Z
2026-04-16,543,-2,130,-5,,,Baker Hughes Rig Count: U.S. -2 to 543 Canada -5 to 130,2026-04-27T23:06:32Z
2026-04-23,544,1,,,,,Baker Hughes Rig Count: U.S. +1 to 544 Canada unchanged at 130,2026-04-27T23:06:32Z
