series,series_id,date,value,captured_at
usd_brl_ptax,1,2026-04-27,4.97,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-24,5.0083,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-23,4.9539,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-22,4.9653,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-20,4.9844,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-17,4.9695,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-16,5.0007,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-15,4.9928,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-14,4.9806,2026-04-27T22:58:06Z
usd_brl_ptax,1,2026-04-13,5.0244,2026-04-27T22:58:06Z
selic_target,432,2026-04-29,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-28,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-27,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-26,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-25,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-24,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-23,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-22,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-21,14.75,2026-04-27T22:58:06Z
selic_target,432,2026-04-20,14.75,2026-04-27T22:58:06Z
ipca_mom,433,2026-03-01,0.88,2026-04-27T22:58:06Z
ipca_mom,433,2026-02-01,0.7,2026-04-27T22:58:06Z
ipca_mom,433,2026-01-01,0.33,2026-04-27T22:58:06Z
ipca_mom,433,2025-12-01,0.33,2026-04-27T22:58:06Z
ipca_mom,433,2025-11-01,0.18,2026-04-27T22:58:06Z
ipca_mom,433,2025-10-01,0.09,2026-04-27T22:58:06Z
ipca_mom,433,2025-09-01,0.48,2026-04-27T22:58:06Z
ipca_mom,433,2025-08-01,-0.11,2026-04-27T22:58:06Z
ipca_mom,433,2025-07-01,0.26,2026-04-27T22:58:06Z
ipca_mom,433,2025-06-01,0.24,2026-04-27T22:58:06Z
ipca_mom,433,2025-05-01,0.26,2026-04-27T22:58:06Z
ipca_mom,433,2025-04-01,0.43,2026-04-27T22:58:06Z
ipca_mom,433,2025-03-01,0.56,2026-04-27T22:58:06Z
ipca_mom,433,2025-02-01,1.31,2026-04-27T22:58:06Z
ipca_mom,433,2025-01-01,0.16,2026-04-27T22:58:06Z
ipca_mom,433,2024-12-01,0.52,2026-04-27T22:58:06Z
ipca_mom,433,2024-11-01,0.39,2026-04-27T22:58:06Z
ipca_mom,433,2024-10-01,0.56,2026-04-27T22:58:06Z
ibc_br_activity,24363,2026-02-01,106.6502,2026-04-27T22:58:06Z
ibc_br_activity,24363,2026-01-01,103.97084,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-12-01,107.35732,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-11-01,106.60299,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-10-01,110.16514,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-09-01,109.53515,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-08-01,110.49838,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-07-01,113.26837,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-06-01,107.41998,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-05-01,108.63003,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-04-01,112.63181,2026-04-27T22:58:06Z
ibc_br_activity,24363,2025-03-01,114.20257,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-24,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-23,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-22,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-20,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-17,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-16,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-15,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-14,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-13,0.054266,2026-04-27T22:58:06Z
cdi_daily,12,2026-04-10,0.054266,2026-04-27T22:58:06Z
