metric,series_id,date,value,captured_at
lima_employment,PN38063GM,2026-03,6.843206,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2026-02,6.369943,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2026-01,6.334894,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-12,4.987997,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-11,5.925679,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-10,5.936935,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-09,5.749575,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-08,5.987303,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-07,6.058571,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-06,6.372253,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-05,5.588404,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-04,5.910993,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-03,6.555158,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-02,6.296674,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2025-01,6.153997,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-12,5.527226,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-11,5.66791,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-10,5.747447,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-09,5.934039,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-08,6.06584,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-07,5.959841,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-06,6.635255,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-05,7.215169,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-04,7.687668,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-03,7.705906,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-02,7.294364,2026-04-27T22:58:28Z
lima_employment,PN38063GM,2024-01,7.2,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2026-03,3.448359,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2026-02,3.35664,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2026-01,3.356115,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-12,3.366863,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-11,3.37263,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-10,3.413227,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-09,3.501805,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-08,3.542385,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-07,3.556945,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-06,3.602195,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-05,3.659914,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-04,3.70003,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-03,3.652486,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-02,3.69685,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2025-01,3.746923,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-12,3.735537,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-11,3.779135,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-10,3.754364,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-09,3.768962,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-08,3.74185,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-07,3.764135,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-06,3.786705,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-05,3.731727,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-04,3.715032,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-03,3.708989,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-02,3.827938,2026-04-27T22:58:28Z
fx_usd_pen_avg,PN01207PM,2024-01,3.740743,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2026-03,227.16129,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2026-02,215.421053,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2026-01,221.451613,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-12,223.0,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-11,224.833333,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-10,220.225806,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-09,223.892857,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-08,253.193548,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-07,273.451613,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-06,293.433333,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-05,318.290323,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-04,352.071429,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-03,321.677419,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-02,311.7,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2025-01,315.666667,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-12,313.142857,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-11,302.842105,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-10,303.88,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-09,329.578947,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-08,329.636364,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-07,317.304348,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-06,315.75,2026-04-27T22:58:28Z
embig_peru_bps,PN01135XM,2024-05,299.913043,2026-04-27T22:58:28Z
