filed_utc,kind,title,link,summary,pct_change,info_date
2026-04-09T12:30:00Z,pce_inflation,"Personal Income and Outlays, February 2026",https://www.bea.gov/news/2026/personal-income-and-outlays-february-2026,"Personal income decreased $18.2 billion (0.1 percent at a monthly rate) in February, according to estimates released today by the U.S. Bureau of Economic Analysis. Disposable personal income (DPI)-personal income less personal current taxes-decreased $18.3 billion (0.1 percent), and personal consumption expenditures (PCE) increased $103.2 billion (0.5 percent). Personal outlays-the sum of PCE, per",-0.1,February 2026
2026-04-09T12:30:00Z,corporate_profits,"GDP (Third Estimate), Industries, Corporate Profits, State GDP, and State Personal Income, 4th Quarter and Year 2025",https://www.bea.gov/news/2026/gdp-third-estimate-industries-corporate-profits-state-gdp-and-state-personal-income-4th,"Real gross domestic product (GDP) increased at an annual rate of 0.5 percent in the fourth quarter of 2025 (October, November, and December), according to the third estimate released today by the U.S. Bureau of Economic Analysis. In the third quarter of 2025, real GDP increased 4.4 percent. The contributors to the increase in real GDP in the fourth quarter were increases in consumer spending and i",+0.5,Q4 2025
2026-04-02T12:30:00Z,trade,"U.S. International Trade in Goods and Services, February 2026",https://www.bea.gov/news/2026/us-international-trade-goods-and-services-february-2026,"The U.S. monthly international trade deficit increased in February 2026 according to the U.S. Bureau of Economic Analysis and the U.S. Census Bureau. The deficit increased from $54.7 billion in January (revised) to $57.3 billion in February, as imports increased more than exports. The goods deficit increased $2.5 billion in February to $84.6 billion. The services surplus decreased $0.2 billion in ",-57.3,February 2026
2026-03-25T12:30:00Z,gdp,"U.S. International Transactions and Investment Position, 4th Quarter and Year 2025",https://www.bea.gov,"The U.S. current-account deficit resulting from international economic transactions narrowed by $48.4 billion, or 20.2 percent, to $190.7 billion in the fourth quarter of 2025, according to statistics released today by the U.S. Bureau of Economic Analysis. The revised third-quarter deficit was $239.1 billion. The fourth-quarter deficit was 2.4 percent of current-dollar gross domestic product, down",-$190.7 B,Q4 2025
2026-03-13T12:31:00Z,pce_inflation,"Personal Income and Outlays, January 2026",https://www.bea.gov/news/2026/personal-income-and-outlays-january-2026,"Personal income increased $113.8 billion (0.4 percent at a monthly rate) in January, according to estimates released today by the U.S. Bureau of Economic Analysis. Disposable personal income (DPI)-personal income less personal current taxes-increased $219.9 billion (0.9 percent), and personal consumption expenditures (PCE) increased $81.1 billion (0.4 percent). Personal outlays-the sum of PCE, per",+0.4,January 2026
2026-03-05T15:00:00Z,gdp,"Outdoor Recreation Economic Statistics, U.S. and States, 2024",https://www.bea.gov/news/2026/outdoor-recreation-economic-statistics-us-and-states-2024,"The value added of the outdoor recreation economy accounted for 2.4 percent ($696.7 billion) of current-dollar gross domestic product (GDP) for the nation in 2024. Across states and the District of Columbia, value added for outdoor recreation as a share of state GDP ranged from 6.1 percent in Hawaii to 1.0 percent in the District of Columbia. <!--Full Text Link--><a href='https://www.bea.gov/news/",,"U.S. and States, 2024"
2026-02-20T13:30:00Z,pce_inflation,"Personal Income and Outlays, December 2025",https://www.bea.gov/news/2026/personal-income-and-outlays-december-2025,"Personal income increased $86.2 billion (0.3 percent at a monthly rate) in December, according to estimates released today by the U.S. Bureau of Economic Analysis. Disposable personal income (DPI)-personal income less personal current taxes-increased $75.7 billion (0.3 percent), and personal consumption expenditures (PCE) increased $91.0 billion (0.4 percent). Personal outlays-the sum of PCE, pers",+0.3,December 2025
2026-02-20T13:30:00Z,gdp,"GDP (Advance Estimate), 4th Quarter and Year 2025",www.bea.gov/news/2026/gdp-advance-estimate-4th-quarter-and-year-2025,"Real gross domestic product (GDP) increased at an annual rate of 1.4 percent in the fourth quarter of 2025 (October, November, and December), according to the advance estimate released today by the U.S. Bureau of Economic Analysis. In the third quarter, real GDP increased 4.4 percent. The contributors to the increase in real GDP in the fourth quarter were increases in consumer spending and investm",+1.4,Q4 2025
2026-02-19T13:30:00Z,pce_inflation,"Real Personal Consumption Expenditures by State and Real Personal Income by State, 2024",https://www.bea.gov/news/2026/real-personal-consumption-expenditures-state-and-real-personal-income-state-2024,"Real personal consumption expenditures (PCE) by state increased in 48 states and the District of Columbia in 2024, with the percent change ranging from 5.3 percent in Massachusetts to -0.2 percent in Montana. Real PCE for the nation increased 2.9 percent in 2024. Real personal income increased in 46 states and the District of Columbia in 2024, with the percent change ranging from 5.5 percent in Ca",,2024
2026-02-05T13:30:00Z,gdp,"Gross Domestic Product by County and Personal Income by County, 2024",https://www.bea.gov/news/2026/gross-domestic-product-county-and-personal-income-county-2024,"Real gross domestic product (GDP) increased in 2,273 counties, decreased in 809 counties, and was unchanged in 24 counties in 2024. County-level changes ranged from a 76.6 percent increase in Carter County, MT, to a 46.3 percent decline in Baca County, CO. Personal income, in current dollars, increased in 2,768 counties, decreased in 331, and was unchanged in 7 counties in 2024. County-level chang",,2024
