period,nominal_index,real_index,nominal_yoy,real_yoy,captured_at
2026-03,102.770,107.620,-5.09,-4.22,2026-04-27T23:12:09Z
2026-02,101.120,105.120,-7.80,-7.55,2026-04-27T23:12:09Z
2026-01,102.250,106.190,-7.46,-7.26,2026-04-27T23:12:09Z
2025-12,103.040,106.710,-5.85,-5.44,2026-04-27T23:12:09Z
2025-11,104.070,108.010,-3.98,-3.55,2026-04-27T23:12:09Z
2025-10,103.610,107.690,-2.25,-1.64,2026-04-27T23:12:09Z
2025-09,103.050,107.490,-1.59,-0.74,2026-04-27T23:12:09Z
2025-08,103.610,107.950,-1.72,-0.85,2026-04-27T23:12:09Z
2025-07,103.150,107.280,-2.96,-2.40,2026-04-27T23:12:09Z
2025-06,103.710,108.050,-2.67,-2.31,2026-04-27T23:12:09Z
2025-05,105.010,109.260,+0.03,+0.16,2026-04-27T23:12:09Z
2025-04,106.710,110.870,+1.43,+1.45,2026-04-27T23:12:09Z
2025-03,108.280,112.360,+4.06,+4.08,2026-04-27T23:12:09Z
2025-02,109.670,113.700,+5.14,+5.69,2026-04-27T23:12:09Z
2025-01,110.490,114.500,+6.70,+7.08,2026-04-27T23:12:09Z
2024-12,109.440,112.850,+5.94,+6.23,2026-04-27T23:12:09Z
2024-11,108.380,111.980,+3.51,+3.65,2026-04-27T23:12:09Z
2024-10,105.990,109.480,-0.62,-0.62,2026-04-27T23:12:09Z
2024-09,104.710,108.290,-0.41,-0.50,2026-04-27T23:12:09Z
2024-08,105.420,108.870,+1.69,+1.43,2026-04-27T23:12:09Z
2024-07,106.300,109.920,+3.95,+3.75,2026-04-27T23:12:09Z
2024-06,106.550,110.600,+3.41,+3.37,2026-04-27T23:12:09Z
2024-05,104.980,109.090,+2.30,+2.50,2026-04-27T23:12:09Z
2024-04,105.210,109.290,+3.03,+3.45,2026-04-27T23:12:09Z
2024-03,104.060,107.960,+0.78,+1.35,2026-04-27T23:12:09Z
2024-02,104.310,107.580,+1.53,+1.55,2026-04-27T23:12:09Z
2024-01,103.550,106.930,+1.10,+1.39,2026-04-27T23:12:09Z
2023-12,103.300,106.230,-1.23,-1.02,2026-04-27T23:12:09Z
2023-11,104.700,108.040,-2.12,-1.97,2026-04-27T23:12:09Z
2023-10,106.650,110.160,-2.65,-2.63,2026-04-27T23:12:09Z
2023-09,105.140,108.830,-2.36,-2.32,2026-04-27T23:12:09Z
2023-08,103.670,107.340,-1.15,-1.47,2026-04-27T23:12:09Z
2023-07,102.260,105.950,-2.65,-3.20,2026-04-27T23:12:09Z
2023-06,103.040,106.990,+0.22,-0.62,2026-04-27T23:12:09Z
2023-05,102.620,106.430,+0.24,-0.01,2026-04-27T23:12:09Z
2023-04,102.120,105.650,+2.08,+2.21,2026-04-27T23:12:09Z
2023-03,103.250,106.520,+3.98,+3.73,2026-04-27T23:12:09Z
2023-02,102.740,105.940,+4.98,+5.01,2026-04-27T23:12:09Z
2023-01,102.420,105.460,+4.57,+4.48,2026-04-27T23:12:09Z
2022-12,104.590,107.330,+6.18,+6.11,2026-04-27T23:12:09Z
2022-11,106.970,110.210,+9.37,+9.72,2026-04-27T23:12:09Z
2022-10,109.550,113.140,+12.95,+13.58,2026-04-27T23:12:09Z
2022-09,107.680,111.420,+11.89,+12.91,2026-04-27T23:12:09Z
2022-08,104.880,108.940,+8.93,+10.24,2026-04-27T23:12:09Z
2022-07,105.040,109.450,+9.36,+10.97,2026-04-27T23:12:09Z
2022-06,102.810,107.660,+8.39,+10.69,2026-04-27T23:12:09Z
2022-05,102.370,106.440,+8.24,+10.54,2026-04-27T23:12:09Z
2022-04,100.040,103.370,+4.51,+6.74,2026-04-27T23:12:09Z
2022-03,99.300,102.690,+3.09,+6.07,2026-04-27T23:12:09Z
2022-02,97.870,100.890,+3.17,+6.33,2026-04-27T23:12:09Z
2022-01,97.940,100.940,+3.66,+6.79,2026-04-27T23:12:09Z
2021-12,98.500,101.150,+3.78,+6.50,2026-04-27T23:12:09Z
2021-11,97.810,100.450,+1.18,+3.61,2026-04-27T23:12:09Z
2021-10,96.990,99.610,-1.36,+1.10,2026-04-27T23:12:09Z
2021-09,96.240,98.680,-2.71,-0.57,2026-04-27T23:12:09Z
2021-08,96.280,98.820,-3.30,-1.10,2026-04-27T23:12:09Z
2021-07,96.050,98.630,-5.00,-2.59,2026-04-27T23:12:09Z
2021-06,94.850,97.260,-6.89,-4.47,2026-04-27T23:12:09Z
2021-05,94.580,96.290,-9.28,-7.41,2026-04-27T23:12:09Z
2021-04,95.720,96.840,-8.81,-7.41,2026-04-27T23:12:09Z
