chain,metric,value,unit,captured_at
bitcoin,largest_tx_24h_usd,3268293888.00,USD,2026-04-27T23:12:29Z
bitcoin,block_height,946940.00,block,2026-04-27T23:12:29Z
bitcoin,blocks_24h,140.00,blocks,2026-04-27T23:12:29Z
bitcoin,tx_count_24h,593275.00,tx,2026-04-27T23:12:29Z
bitcoin,volume_24h,75471963826919.00,native_units,2026-04-27T23:12:29Z
bitcoin,difficulty,135594876535260.00,pts,2026-04-27T23:12:29Z
bitcoin,hashrate_24h,943882593556076953600.00,h/s,2026-04-27T23:12:29Z
bitcoin,mempool_tx,819.00,tx,2026-04-27T23:12:29Z
bitcoin,mempool_tps,2.57,tx/s,2026-04-27T23:12:29Z
bitcoin,avg_fee_24h,389.00,native_base,2026-04-27T23:12:29Z
bitcoin,median_fee_24h,44.00,native_base,2026-04-27T23:12:29Z
bitcoin,cdd_24h,5784946.90,coin-days,2026-04-27T23:12:29Z
bitcoin,inflation_24h,43750000000.00,native_base,2026-04-27T23:12:29Z
bitcoin,nodes,489.00,nodes,2026-04-27T23:12:29Z
bitcoin,circulation,2002166166997096.00,native_base,2026-04-27T23:12:29Z
ethereum,largest_tx_24h_usd,236955126.95,USD,2026-04-27T23:12:29Z
ethereum,block_height,24974589.00,block,2026-04-27T23:12:29Z
ethereum,blocks_24h,7183.00,blocks,2026-04-27T23:12:29Z
ethereum,tx_count_24h,3134675.00,tx,2026-04-27T23:12:29Z
ethereum,difficulty,0.000000,pts,2026-04-27T23:12:29Z
ethereum,hashrate_24h,0.000000,h/s,2026-04-27T23:12:29Z
ethereum,mempool_tx,11046.00,tx,2026-04-27T23:12:29Z
ethereum,mempool_tps,24.47,tx/s,2026-04-27T23:12:29Z
ethereum,avg_fee_24h,246895393630125.00,native_base,2026-04-27T23:12:29Z
ethereum,median_fee_24h,46644735070000.00,native_base,2026-04-27T23:12:29Z
ethereum,inflation_24h,0.000000,native_base,2026-04-27T23:12:29Z
litecoin,largest_tx_24h_usd,20559346.00,USD,2026-04-27T23:12:29Z
litecoin,block_height,3097440.00,block,2026-04-27T23:12:29Z
litecoin,blocks_24h,624.00,blocks,2026-04-27T23:12:29Z
litecoin,tx_count_24h,168023.00,tx,2026-04-27T23:12:29Z
litecoin,volume_24h,27218061406065432.00,native_units,2026-04-27T23:12:29Z
litecoin,difficulty,86204544.34,pts,2026-04-27T23:12:29Z
litecoin,hashrate_24h,2682939835120239.00,h/s,2026-04-27T23:12:29Z
litecoin,mempool_tx,158.00,tx,2026-04-27T23:12:29Z
litecoin,mempool_tps,1.77,tx/s,2026-04-27T23:12:29Z
litecoin,avg_fee_24h,4459.00,native_base,2026-04-27T23:12:29Z
litecoin,median_fee_24h,888.00,native_base,2026-04-27T23:12:29Z
litecoin,cdd_24h,40745441.85,coin-days,2026-04-27T23:12:29Z
litecoin,inflation_24h,390000000000.00,native_base,2026-04-27T23:12:29Z
litecoin,nodes,770.00,nodes,2026-04-27T23:12:29Z
litecoin,circulation,7710705198347135.00,native_base,2026-04-27T23:12:29Z
dogecoin,largest_tx_24h_usd,54091664.00,USD,2026-04-27T23:12:29Z
dogecoin,block_height,6183675.00,block,2026-04-27T23:12:29Z
dogecoin,blocks_24h,1362.00,blocks,2026-04-27T23:12:29Z
dogecoin,tx_count_24h,24965.00,tx,2026-04-27T23:12:29Z
dogecoin,volume_24h,1801342813425929472.00,native_units,2026-04-27T23:12:29Z
dogecoin,difficulty,33179276.07,pts,2026-04-27T23:12:29Z
dogecoin,hashrate_24h,2261966751189804.00,h/s,2026-04-27T23:12:29Z
dogecoin,mempool_tx,36.00,tx,2026-04-27T23:12:29Z
dogecoin,mempool_tps,0.116667,tx/s,2026-04-27T23:12:29Z
dogecoin,avg_fee_24h,43307821.00,native_base,2026-04-27T23:12:29Z
dogecoin,median_fee_24h,8175000.00,native_base,2026-04-27T23:12:29Z
dogecoin,cdd_24h,105512385108.75,coin-days,2026-04-27T23:12:29Z
dogecoin,inflation_24h,1362000000000000.00,native_base,2026-04-27T23:12:29Z
dogecoin,nodes,496.00,nodes,2026-04-27T23:12:29Z
dogecoin,circulation,16972120312657907712.00,native_base,2026-04-27T23:12:29Z
bitcoin-cash,largest_tx_24h_usd,22826188.00,USD,2026-04-27T23:12:29Z
bitcoin-cash,block_height,948639.00,block,2026-04-27T23:12:29Z
bitcoin-cash,blocks_24h,130.00,blocks,2026-04-27T23:12:29Z
bitcoin-cash,tx_count_24h,43165.00,tx,2026-04-27T23:12:29Z
bitcoin-cash,volume_24h,787010588411989.00,native_units,2026-04-27T23:12:29Z
bitcoin-cash,difficulty,791742605497.20,pts,2026-04-27T23:12:29Z
bitcoin-cash,hashrate_24h,5121247887740128256.00,h/s,2026-04-27T23:12:29Z
bitcoin-cash,mempool_tx,523.00,tx,2026-04-27T23:12:29Z
bitcoin-cash,mempool_tps,0.150000,tx/s,2026-04-27T23:12:29Z
bitcoin-cash,avg_fee_24h,776.00,native_base,2026-04-27T23:12:29Z
bitcoin-cash,median_fee_24h,253.00,native_base,2026-04-27T23:12:29Z
bitcoin-cash,cdd_24h,3035120.69,coin-days,2026-04-27T23:12:29Z
bitcoin-cash,inflation_24h,40625000000.00,native_base,2026-04-27T23:12:29Z
bitcoin-cash,nodes,670.00,nodes,2026-04-27T23:12:29Z
bitcoin-cash,circulation,2002699052165078.00,native_base,2026-04-27T23:12:29Z
