release_date,release_time,series,title,url
2026-05-01,08:30 ET,NFP,Employment Situation (Nonfarm Payrolls),https://www.bls.gov/schedule/news_release/
2026-05-05,10:00 ET,JOLTS,Job Openings and Labor Turnover Survey,https://www.bls.gov/schedule/news_release/
2026-05-07,08:30 ET,PRODUCTIVITY,Productivity and Costs,https://www.bls.gov/schedule/news_release/
2026-05-13,08:30 ET,CPI,Consumer Price Index,https://www.bls.gov/schedule/news_release/
2026-05-13,08:30 ET,REAL_EARNINGS,Real Earnings,https://www.bls.gov/schedule/news_release/
2026-05-14,08:30 ET,PPI,Producer Price Index,https://www.bls.gov/schedule/news_release/
2026-05-15,08:30 ET,IMPORT_EXPORT_PX,U.S. Import and Export Price Indexes,https://www.bls.gov/schedule/news_release/
2026-06-02,10:00 ET,JOLTS,Job Openings and Labor Turnover Survey,https://www.bls.gov/schedule/news_release/
2026-06-05,08:30 ET,NFP,Employment Situation (Nonfarm Payrolls),https://www.bls.gov/schedule/news_release/
2026-06-10,08:30 ET,CPI,Consumer Price Index,https://www.bls.gov/schedule/news_release/
2026-06-10,08:30 ET,REAL_EARNINGS,Real Earnings,https://www.bls.gov/schedule/news_release/
2026-06-11,08:30 ET,PPI,Producer Price Index,https://www.bls.gov/schedule/news_release/
2026-06-19,08:30 ET,IMPORT_EXPORT_PX,U.S. Import and Export Price Indexes,https://www.bls.gov/schedule/news_release/
2026-07-03,08:30 ET,NFP,Employment Situation (Nonfarm Payrolls),https://www.bls.gov/schedule/news_release/
2026-07-07,10:00 ET,JOLTS,Job Openings and Labor Turnover Survey,https://www.bls.gov/schedule/news_release/
2026-07-15,08:30 ET,CPI,Consumer Price Index,https://www.bls.gov/schedule/news_release/
2026-07-15,08:30 ET,REAL_EARNINGS,Real Earnings,https://www.bls.gov/schedule/news_release/
2026-07-16,08:30 ET,PPI,Producer Price Index,https://www.bls.gov/schedule/news_release/
2026-07-17,08:30 ET,IMPORT_EXPORT_PX,U.S. Import and Export Price Indexes,https://www.bls.gov/schedule/news_release/
2026-07-31,08:30 ET,ECI,Employment Cost Index,https://www.bls.gov/schedule/news_release/
2026-08-04,10:00 ET,JOLTS,Job Openings and Labor Turnover Survey,https://www.bls.gov/schedule/news_release/
2026-08-06,08:30 ET,PRODUCTIVITY,Productivity and Costs,https://www.bls.gov/schedule/news_release/
2026-08-07,08:30 ET,NFP,Employment Situation (Nonfarm Payrolls),https://www.bls.gov/schedule/news_release/
2026-08-12,08:30 ET,CPI,Consumer Price Index,https://www.bls.gov/schedule/news_release/
2026-08-12,08:30 ET,REAL_EARNINGS,Real Earnings,https://www.bls.gov/schedule/news_release/
2026-08-13,08:30 ET,PPI,Producer Price Index,https://www.bls.gov/schedule/news_release/
2026-08-21,08:30 ET,IMPORT_EXPORT_PX,U.S. Import and Export Price Indexes,https://www.bls.gov/schedule/news_release/
2026-09-01,10:00 ET,JOLTS,Job Openings and Labor Turnover Survey,https://www.bls.gov/schedule/news_release/
