date,nonfarm_payrolls,unrate,part_rate,avg_hourly_earn,jobless_claims,captured_at
2026-03-01,158637.00,4.30,61.90,37.38,214000.00,2026-04-27T23:06:35Z
2026-02-01,158459.00,4.40,62.00,37.29,230000.00,2026-04-27T23:06:35Z
2026-01-01,158592.00,4.30,62.10,37.15,203000.00,2026-04-27T23:06:35Z
2025-12-01,158432.00,4.40,62.40,37.02,216000.00,2026-04-27T23:06:35Z
2025-11-01,158449.00,4.50,62.50,37.00,228000.00,2026-04-27T23:06:35Z
2025-10-01,158408.00,4.40,62.50,36.85,225000.00,2026-04-27T23:06:35Z
2025-09-01,158548.00,4.40,62.50,36.70,236000.00,2026-04-27T23:06:35Z
2025-08-01,158472.00,4.30,62.30,36.62,219000.00,2026-04-27T23:06:35Z
2025-07-01,158542.00,4.30,62.20,36.47,231000.00,2026-04-27T23:06:35Z
2025-06-01,158478.00,4.10,62.30,36.36,244000.00,2026-04-27T23:06:35Z
2025-05-01,158498.00,4.30,62.40,36.28,239000.00,2026-04-27T23:06:35Z
2025-04-01,158485.00,4.20,62.60,36.12,220000.00,2026-04-27T23:06:35Z
2025-03-01,158377.00,4.20,62.50,36.11,224000.00,2026-04-27T23:06:35Z
2025-02-01,158310.00,4.20,62.50,35.94,,2026-04-27T23:06:35Z
2025-01-01,158268.00,4.00,62.60,35.84,,2026-04-27T23:06:35Z
2024-12-01,158316.00,4.10,62.50,35.69,,2026-04-27T23:06:35Z
2024-11-01,158079.00,4.20,62.40,35.60,,2026-04-27T23:06:35Z
2024-10-01,157945.00,4.10,62.50,35.46,,2026-04-27T23:06:35Z
2024-09-01,157912.00,4.10,62.70,35.34,,2026-04-27T23:06:35Z
2024-08-01,157757.00,4.20,62.70,35.22,,2026-04-27T23:06:35Z
2024-07-01,157748.00,4.20,62.70,35.08,,2026-04-27T23:06:35Z
2024-06-01,157695.00,4.10,62.60,35.01,,2026-04-27T23:06:35Z
2024-05-01,157608.00,3.90,62.60,34.89,,2026-04-27T23:06:35Z
2024-04-01,157530.00,3.90,62.60,34.76,,2026-04-27T23:06:35Z
2024-03-01,157466.00,3.90,62.70,34.65,,2026-04-27T23:06:35Z
2024-02-01,157238.00,3.90,62.60,34.52,,2026-04-27T23:06:35Z
2024-01-01,157032.00,3.70,62.50,34.47,,2026-04-27T23:06:35Z
2023-12-01,156857.00,3.80,62.50,34.29,,2026-04-27T23:06:35Z
2023-11-01,156703.00,3.70,62.80,34.17,,2026-04-27T23:06:35Z
2023-10-01,156576.00,3.90,62.60,34.08,,2026-04-27T23:06:35Z
2023-09-01,156417.00,3.70,62.70,34.01,,2026-04-27T23:06:35Z
2023-08-01,156261.00,3.70,62.80,33.89,,2026-04-27T23:06:35Z
2023-07-01,156043.00,3.50,62.60,33.85,,2026-04-27T23:06:35Z
2023-06-01,155880.00,3.60,62.60,33.69,,2026-04-27T23:06:35Z
2023-05-01,155655.00,3.60,62.60,33.50,,2026-04-27T23:06:35Z
2023-04-01,155375.00,3.40,62.60,33.43,,2026-04-27T23:06:35Z
