month,metric,value_k,mom_delta_k,yoy_pct,captured_at
2026-02,quits,2974,-157,-5.68,2026-04-27T20:32:06Z
2026-02,openings,6882,-358,-4.97,2026-04-27T20:32:06Z
2026-02,hires,4849,-498,-7.39,2026-04-27T20:32:06Z
2026-01,quits,3131,-94,-2.25,2026-04-27T20:32:06Z
2026-01,openings,7240,+690,-2.57,2026-04-27T20:32:06Z
2026-01,hires,5347,+75,2.08,2026-04-27T20:32:06Z
2025-12,quits,3225,+106,4.54,2026-04-27T20:32:06Z
2025-12,openings,6550,-296,-10.21,2026-04-27T20:32:06Z
2025-12,hires,5272,+253,-0.38,2026-04-27T20:32:06Z
2025-11,quits,3119,+139,2.26,2026-04-27T20:32:06Z
2025-11,openings,6846,-324,-9.52,2026-04-27T20:32:06Z
2025-11,hires,5019,-161,-2.64,2026-04-27T20:32:06Z
2025-10,quits,2980,-10,-7.31,2026-04-27T20:32:06Z
2025-10,openings,7170,+1,-2.83,2026-04-27T20:32:06Z
2025-10,hires,5180,-64,-0.92,2026-04-27T20:32:06Z
2025-09,quits,2990,-105,-4.26,2026-04-27T20:32:06Z
2025-09,openings,7169,+250,3.26,2026-04-27T20:32:06Z
2025-09,hires,5244,+99,-3.37,2026-04-27T20:32:06Z
2025-08,quits,3095,-37,-4.48,2026-04-27T20:32:06Z
2025-08,openings,6919,-170,-7.99,2026-04-27T20:32:06Z
2025-08,hires,5145,-80,-1.13,2026-04-27T20:32:06Z
2025-07,quits,3132,-122,-6.76,2026-04-27T20:32:06Z
2025-07,openings,7089,-115,-4.54,2026-04-27T20:32:06Z
2025-07,hires,5225,-102,-3.78,2026-04-27T20:32:06Z
2025-06,quits,3254,-33,-0.79,2026-04-27T20:32:06Z
2025-06,openings,7204,-106,-2.86,2026-04-27T20:32:06Z
2025-06,hires,5327,-1,3.70,2026-04-27T20:32:06Z
2025-05,quits,3287,+143,-2.92,2026-04-27T20:32:06Z
2025-05,openings,7310,+212,-6.07,2026-04-27T20:32:06Z
2025-05,hires,5328,-63,-2.99,2026-04-27T20:32:06Z
2025-04,quits,3144,-312,-8.55,2026-04-27T20:32:06Z
2025-04,openings,7098,+146,-5.72,2026-04-27T20:32:06Z
2025-04,hires,5391,+58,-1.43,2026-04-27T20:32:06Z
2025-03,quits,3456,+303,5.08,2026-04-27T20:32:06Z
2025-03,openings,6952,-290,-15.28,2026-04-27T20:32:06Z
2025-03,hires,5333,+97,-2.18,2026-04-27T20:32:06Z
2025-02,quits,3153,-50,-9.45,2026-04-27T20:32:06Z
2025-02,openings,7242,-189,-14.19,2026-04-27T20:32:06Z
2025-02,hires,5236,-2,-6.80,2026-04-27T20:32:06Z
2025-01,quits,3203,+118,-4.30,2026-04-27T20:32:06Z
2025-01,openings,7431,+136,-11.30,2026-04-27T20:32:06Z
2025-01,hires,5238,-54,-6.31,2026-04-27T20:32:06Z
2024-12,quits,3085,+35,,2026-04-27T20:32:06Z
2024-12,openings,7295,-271,,2026-04-27T20:32:06Z
2024-12,hires,5292,+137,,2026-04-27T20:32:06Z
2024-11,quits,3050,-165,,2026-04-27T20:32:06Z
2024-11,openings,7566,+187,,2026-04-27T20:32:06Z
2024-11,hires,5155,-73,,2026-04-27T20:32:06Z
2024-10,quits,3215,+92,,2026-04-27T20:32:06Z
2024-10,openings,7379,+436,,2026-04-27T20:32:06Z
2024-10,hires,5228,-199,,2026-04-27T20:32:06Z
2024-09,quits,3123,-117,,2026-04-27T20:32:06Z
2024-09,openings,6943,-577,,2026-04-27T20:32:06Z
2024-09,hires,5427,+223,,2026-04-27T20:32:06Z
2024-08,quits,3240,-119,,2026-04-27T20:32:06Z
2024-08,openings,7520,+94,,2026-04-27T20:32:06Z
2024-08,hires,5204,-226,,2026-04-27T20:32:06Z
2024-07,quits,3359,+79,,2026-04-27T20:32:06Z
2024-07,openings,7426,+10,,2026-04-27T20:32:06Z
2024-07,hires,5430,+293,,2026-04-27T20:32:06Z
2024-06,quits,3280,-106,,2026-04-27T20:32:06Z
2024-06,openings,7416,-366,,2026-04-27T20:32:06Z
2024-06,hires,5137,-355,,2026-04-27T20:32:06Z
2024-05,quits,3386,-52,,2026-04-27T20:32:06Z
2024-05,openings,7782,+253,,2026-04-27T20:32:06Z
2024-05,hires,5492,+23,,2026-04-27T20:32:06Z
2024-04,quits,3438,+149,,2026-04-27T20:32:06Z
2024-04,openings,7529,-677,,2026-04-27T20:32:06Z
2024-04,hires,5469,+17,,2026-04-27T20:32:06Z
2024-03,quits,3289,-193,,2026-04-27T20:32:06Z
2024-03,openings,8206,-234,,2026-04-27T20:32:06Z
2024-03,hires,5452,-166,,2026-04-27T20:32:06Z
2024-02,quits,3482,+135,,2026-04-27T20:32:06Z
2024-02,openings,8440,+62,,2026-04-27T20:32:06Z
2024-02,hires,5618,+27,,2026-04-27T20:32:06Z
2024-01,quits,3347,,,2026-04-27T20:32:06Z
2024-01,openings,8378,,,2026-04-27T20:32:06Z
2024-01,hires,5591,,,2026-04-27T20:32:06Z
