series_id,series_name,period,period_name,year,value,yoy_pct,mom_pct,captured_at
CES0000000001,Nonfarm Payrolls (thousands),M01,January,2024,157032.0,,,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M02,February,2024,157238.0,,+0.13,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M03,March,2024,157466.0,,+0.15,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M04,April,2024,157530.0,,+0.04,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M05,May,2024,157608.0,,+0.05,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M06,June,2024,157695.0,,+0.06,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M07,July,2024,157748.0,,+0.03,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M08,August,2024,157757.0,,+0.01,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M09,September,2024,157912.0,,+0.10,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M10,October,2024,157945.0,,+0.02,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M11,November,2024,158079.0,,+0.08,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M12,December,2024,158316.0,,+0.15,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M01,January,2025,158268.0,+0.79,-0.03,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M02,February,2025,158310.0,+0.68,+0.03,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M03,March,2025,158377.0,+0.58,+0.04,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M04,April,2025,158485.0,+0.61,+0.07,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M05,May,2025,158498.0,+0.56,+0.01,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M06,June,2025,158478.0,+0.50,-0.01,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M07,July,2025,158542.0,+0.50,+0.04,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M08,August,2025,158472.0,+0.45,-0.04,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M09,September,2025,158548.0,+0.40,+0.05,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M10,October,2025,158408.0,+0.29,-0.09,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M11,November,2025,158449.0,+0.23,+0.03,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M12,December,2025,158432.0,+0.07,-0.01,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M01,January,2026,158592.0,+0.20,+0.10,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M02,February,2026,158459.0,+0.09,-0.08,2026-04-27T20:11:28Z
CES0000000001,Nonfarm Payrolls (thousands),M03,March,2026,158637.0,+0.16,+0.11,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M01,January,2024,3.7,,,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M02,February,2024,3.9,,+5.41,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M03,March,2024,3.9,,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M04,April,2024,3.9,,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M05,May,2024,3.9,,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M06,June,2024,4.1,,+5.13,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M07,July,2024,4.2,,+2.44,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M08,August,2024,4.2,,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M09,September,2024,4.1,,-2.38,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M10,October,2024,4.1,,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M11,November,2024,4.2,,+2.44,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M12,December,2024,4.1,,-2.38,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M01,January,2025,4.0,+8.11,-2.44,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M02,February,2025,4.2,+7.69,+5.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M03,March,2025,4.2,+7.69,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M04,April,2025,4.2,+7.69,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M05,May,2025,4.3,+10.26,+2.38,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M06,June,2025,4.1,+0.00,-4.65,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M07,July,2025,4.3,+2.38,+4.88,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M08,August,2025,4.3,+2.38,+0.00,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M09,September,2025,4.4,+7.32,+2.33,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M11,November,2025,4.5,+9.76,+2.27,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M12,December,2025,4.4,+4.76,-2.22,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M01,January,2026,4.3,+4.88,-2.27,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M02,February,2026,4.4,+10.00,+2.33,2026-04-27T20:11:28Z
LNS14000000,Unemployment Rate U-3 (%),M03,March,2026,4.3,+2.38,-2.27,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M01,January,2024,7.2,,,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M02,February,2024,7.3,,+1.39,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M03,March,2024,7.3,,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M04,April,2024,7.4,,+1.37,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M05,May,2024,7.4,,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M06,June,2024,7.4,,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M07,July,2024,7.8,,+5.41,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M08,August,2024,7.8,,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M09,September,2024,7.7,,-1.28,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M10,October,2024,7.7,,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M11,November,2024,7.7,,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M12,December,2024,7.6,,-1.30,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M01,January,2025,7.5,+4.17,-1.32,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M02,February,2025,8.0,+9.59,+6.67,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M03,March,2025,7.9,+8.22,-1.25,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M04,April,2025,7.8,+5.41,-1.27,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M05,May,2025,7.8,+5.41,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M06,June,2025,7.7,+4.05,-1.28,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M07,July,2025,7.9,+1.28,+2.60,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M08,August,2025,8.1,+3.85,+2.53,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M09,September,2025,8.1,+5.19,+0.00,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M11,November,2025,8.7,+12.99,+7.41,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M12,December,2025,8.4,+9.09,-3.45,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M01,January,2026,8.1,+6.58,-3.57,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M02,February,2026,7.9,+5.33,-2.47,2026-04-27T20:11:28Z
LNS13327709,Underemployment U-6 (%),M03,March,2026,8.0,+0.00,+1.27,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M01,January,2024,308.417,,,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M02,February,2024,310.326,,+0.62,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M03,March,2024,312.332,,+0.65,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M04,April,2024,313.548,,+0.39,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M05,May,2024,314.069,,+0.17,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M06,June,2024,314.175,,+0.03,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M07,July,2024,314.54,,+0.12,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M08,August,2024,314.796,,+0.08,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M09,September,2024,315.301,,+0.16,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M10,October,2024,315.664,,+0.12,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M11,November,2024,315.493,,-0.05,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M12,December,2024,315.605,,+0.04,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M01,January,2025,317.671,+3.00,+0.65,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M02,February,2025,319.082,+2.82,+0.44,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M03,March,2025,319.799,+2.39,+0.22,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M04,April,2025,320.795,+2.31,+0.31,2026-04-27T20:11:28Z
CUUR0000SA0,CPI-U All Items (index),M05,May,2025,321.465,+2.35,+0.21,2026-04-27T20:11:28Z
