month,ahe_usd,weekly_hours,ahe_yoy_pct,captured_at
2026-03-01,37.38,34.2,3.52,2026-04-27T23:12:08Z
2026-02-01,37.29,34.3,3.76,2026-04-27T23:12:08Z
2026-01-01,37.15,34.3,3.66,2026-04-27T23:12:08Z
2025-12-01,37.02,34.2,3.73,2026-04-27T23:12:08Z
2025-11-01,37.00,34.3,3.93,2026-04-27T23:12:08Z
2025-10-01,36.85,34.2,3.92,2026-04-27T23:12:08Z
2025-09-01,36.70,34.2,3.85,2026-04-27T23:12:08Z
2025-08-01,36.62,34.2,3.98,2026-04-27T23:12:08Z
2025-07-01,36.47,34.2,3.96,2026-04-27T23:12:08Z
2025-06-01,36.36,34.2,3.86,2026-04-27T23:12:08Z
2025-05-01,36.28,34.2,3.98,2026-04-27T23:12:08Z
2025-04-01,36.12,34.3,3.91,2026-04-27T23:12:08Z
2025-03-01,36.11,34.2,4.21,2026-04-27T23:12:08Z
2025-02-01,35.94,34.2,4.11,2026-04-27T23:12:08Z
2025-01-01,35.84,34.1,3.97,2026-04-27T23:12:08Z
2024-12-01,35.69,34.3,4.08,2026-04-27T23:12:08Z
2024-11-01,35.60,34.3,4.18,2026-04-27T23:12:08Z
2024-10-01,35.46,34.2,4.05,2026-04-27T23:12:08Z
2024-09-01,35.34,34.3,3.91,2026-04-27T23:12:08Z
2024-08-01,35.22,34.3,3.92,2026-04-27T23:12:08Z
2024-07-01,35.08,34.2,3.63,2026-04-27T23:12:08Z
2024-06-01,35.01,34.3,3.92,2026-04-27T23:12:08Z
2024-05-01,34.89,34.3,4.15,2026-04-27T23:12:08Z
2024-04-01,34.76,34.2,3.98,2026-04-27T23:12:08Z
2024-03-01,34.65,34.4,4.15,2026-04-27T23:12:08Z
2024-02-01,34.52,34.4,4.13,2026-04-27T23:12:08Z
2024-01-01,34.47,34.2,4.39,2026-04-27T23:12:08Z
2023-12-01,34.29,34.4,4.10,2026-04-27T23:12:08Z
2023-11-01,34.17,34.4,4.11,2026-04-27T23:12:08Z
2023-10-01,34.08,34.3,4.22,2026-04-27T23:12:08Z
2023-09-01,34.01,34.4,4.42,2026-04-27T23:12:08Z
2023-08-01,33.89,34.4,4.47,2026-04-27T23:12:08Z
2023-07-01,33.85,34.3,4.67,2026-04-27T23:12:08Z
2023-06-01,33.69,34.4,4.66,2026-04-27T23:12:08Z
2023-05-01,33.50,34.4,4.36,2026-04-27T23:12:08Z
2023-04-01,33.43,34.4,4.60,2026-04-27T23:12:08Z
