filed,occurs,kind,cb_type,rate_pct,title,url,captured_at
2026-04-20T14:00:28Z,2026-04-20T04:00:00Z,governance,Announcement,,Bank of Canada announces the appointment of two Deputy Governors,https://www.bankofcanada.ca/2026/04/bank-of-canada-announces-appointment-two-deputy-governors/,2026-04-27T22:56:59Z
2026-03-23T13:00:55Z,2026-03-23T04:00:00Z,governance,Announcement,,Changes to Bank of Canada Governing Council,https://www.bankofcanada.ca/2026/03/changes-bank-of-canada-governing-council/,2026-04-27T22:56:59Z
2026-03-18T09:47:23Z,2026-03-18T04:00:00Z,fad,Announcement,2.25,Bank of Canada maintains policy rate at 2¼%,https://www.bankofcanada.ca/2026/03/fad-press-release-2026-03-18/,2026-04-27T22:56:59Z
2026-03-05T13:00:58Z,2026-03-05T05:00:00Z,press,Announcement,,"Bank of Canada, Export Development Canada, RBC and TD successfully complete bond issuance experiment  using distributed ledger technology",https://www.bankofcanada.ca/2026/03/bank-canada-export-development-canada-rbc-td-successfully-complete-bond-issuance-experiment-distributed-ledger-technology/,2026-04-27T22:56:59Z
2026-02-27T19:00:24Z,2026-02-27T05:00:00Z,compliance,Announcement,,Bank of Canada issues revised compliance order to XTM Inc.,https://www.bankofcanada.ca/2026/02/bank-of-canada-issues-revised-compliance-order-to-xtm-inc/,2026-04-27T22:56:59Z
2026-02-17T16:00:49Z,2026-02-17T05:00:00Z,compliance,Announcement,,Bank of Canada issues immediate compliance order to XTM Inc.,https://www.bankofcanada.ca/2026/02/bank-canada-issues-immediate-compliance-order-to-xtm-inc/,2026-04-27T22:56:59Z
2026-01-28T09:47:56Z,2026-01-28T05:00:00Z,fad,Announcement,2.25,Bank of Canada maintains policy rate at 2¼%,https://www.bankofcanada.ca/2026/01/fad-press-release-2026-01-28/,2026-04-27T22:56:59Z
2025-12-10T09:47:35Z,2025-12-10T05:00:00Z,fad,Announcement,2.25,Bank of Canada maintains policy rate at 2¼%,https://www.bankofcanada.ca/2025/12/fad-press-release-2025-12-10/,2026-04-27T22:56:59Z
2025-12-05T11:00:30Z,2025-12-05T05:00:00Z,press,Announcement,,Bank of Canada announces finalists for the eleventh annual Governor’s Challenge,https://www.bankofcanada.ca/2025/12/bank-canada-announces-finalists-eleventh-annual-governors-challenge/,2026-04-27T22:56:59Z
2025-10-29T09:47:48Z,2025-10-29T04:00:00Z,fad,Announcement,2.50,Bank of Canada lowers policy rate to 2¼%,https://www.bankofcanada.ca/2025/10/fad-press-release-2025-10-29/,2026-04-27T22:56:59Z
