filed,kind,title,url,captured_at
2026-04-27T05:00:00Z,press,Developments in Real Exports and Real Imports,http://www.boj.or.jp/en/research/research_data/reri/index.htm,2026-04-27T22:56:59Z
2026-04-23T23:50:00Z,cgpi,Services Producer Price Index (Mar.),http://www.boj.or.jp/en/statistics/pi/cspi_release/sppi2603.pdf,2026-04-27T22:56:59Z
2026-04-22T08:00:00Z,balance_sheet,Japanese Government Bonds Held by the Bank of Japan,http://www.boj.or.jp/en/statistics/boj/other/mei/release/2026/mei260420.xlsx,2026-04-27T22:56:59Z
2026-04-22T01:00:00Z,accounts,Bank of Japan Accounts (April 20),http://www.boj.or.jp/en/statistics/boj/other/acmai/release/2026/ac260420.htm,2026-04-27T22:56:59Z
2026-04-21T07:30:00Z,review,(BOJ Review) Recent Developments in Private Funds -- Increasing Presence of PE and PD Funds and Their Recent Traits,http://www.boj.or.jp/en/research/wps_rev/rev_2026/rev26e03.htm,2026-04-27T22:56:59Z
2026-04-21T07:30:00Z,review,(BOJ Review) Evolving Trends in Business Development Companies (BDCs) in the U.S. Direct Lending Market,http://www.boj.or.jp/en/research/wps_rev/rev_2026/rev26e01.htm,2026-04-27T22:56:59Z
2026-04-21T06:00:00Z,press,Financial System Report (April 2026),http://www.boj.or.jp/en/research/brp/fsr/fsr260421.htm,2026-04-27T22:56:59Z
2026-04-20T23:50:00Z,press,Senior Loan Officer Opinion Survey (Apr.),http://www.boj.or.jp/en/statistics/dl/loan/loos/release/loos2604.pdf,2026-04-27T22:56:59Z
2026-04-20T23:50:00Z,press,Statistics on Securities Financing Transactions in Japan,http://www.boj.or.jp/en/statistics/bis/repo/index.htm,2026-04-27T22:56:59Z
2026-04-20T04:30:00Z,press,Results of the 105th Opinion Survey on the General Public's Views and Behavior,http://www.boj.or.jp/en/research/o_survey/ishiki2604.htm,2026-04-27T22:56:59Z
2026-04-16T08:00:00Z,balance_sheet,BOJ Current Account Balances by Sector (Mar.),http://www.boj.or.jp/en/statistics/boj/other/cabs/cabs.xlsx,2026-04-27T22:56:59Z
2026-04-16T07:00:00Z,review,(Research Paper) The Limited Effects of Post-Pandemic U.S. Monetary Policy Tightening: Demand Composition and the Credit Channel,http://www.boj.or.jp/en/research/wps_rev/wps_2026/wp26e06.htm,2026-04-27T22:56:59Z
2026-04-16T07:00:00Z,press,"Holding the Twenty-fourth Round of the ""Bond Market Group"" Meetings",http://www.boj.or.jp/en/paym/bond/mbond_list/mbond260416.pdf,2026-04-27T22:56:59Z
2026-04-14T08:00:00Z,balance_sheet,Japanese Government Bonds Held by the Bank of Japan,http://www.boj.or.jp/en/statistics/boj/other/mei/release/2026/mei260410.xlsx,2026-04-27T22:56:59Z
2026-04-14T01:00:00Z,accounts,Bank of Japan Accounts (April 10),http://www.boj.or.jp/en/statistics/boj/other/acmai/release/2026/ac260410.htm,2026-04-27T22:56:59Z
2026-04-12T23:50:00Z,money_stock,Money Stock (Mar.),http://www.boj.or.jp/en/statistics/money/ms/ms2603.pdf,2026-04-27T22:56:59Z
2026-04-10T07:30:00Z,balance_sheet,Basic Figures on Fails (Mar.),http://www.boj.or.jp/en/statistics/set/bffail/sjgb2603.pdf,2026-04-27T22:56:59Z
2026-04-10T05:00:00Z,review,(BOJ Review) Verifiable Credentials for Identity Assurance in the Digital Society: An Overview and Trends in Standards Development,http://www.boj.or.jp/en/research/wps_rev/rev_2026/rev26e06.htm,2026-04-27T22:56:59Z
2026-04-09T23:50:00Z,balance_sheet,Principal Figures of Financial Institutions (Mar.),http://www.boj.or.jp/en/statistics/dl/depo/kashi/kasi2603.pdf,2026-04-27T22:56:59Z
2026-04-09T23:50:00Z,cgpi,Corporate Goods Price Index (Mar.),http://www.boj.or.jp/en/statistics/pi/cgpi_release/cgpi2603.pdf,2026-04-27T22:56:59Z
2026-04-08T08:00:00Z,press,"Twenty-fourth Meeting of the ""Council for Cooperation on Financial Stability""",http://www.boj.or.jp/en/finsys/macpru/mac260408a.pdf,2026-04-27T22:56:59Z
2026-04-07T23:50:00Z,press,"Direct Investment by Region and Industry (4th quarter 2025, 2025 C.Y.)",http://www.boj.or.jp/en/statistics/br/bop_06/bpdata/diiqcy.htm,2026-04-27T22:56:59Z
2026-04-07T06:00:00Z,press,Amounts Outstanding in the Call Money Market (Mar.),http://www.boj.or.jp/en/statistics/market/short/call/call.xlsx,2026-04-27T22:56:59Z
2026-04-07T05:00:00Z,press,Consumption Activity Index,http://www.boj.or.jp/en/research/research_data/cai/index.htm,2026-04-27T22:56:59Z
2026-04-07T01:00:00Z,accounts,Bank of Japan Accounts (March 31),http://www.boj.or.jp/en/statistics/boj/other/acmai/release/2026/ac260331.htm,2026-04-27T22:56:59Z
2026-04-06T23:50:00Z,accounts,Bank of Japan's Transactions with the Government (Mar.),http://www.boj.or.jp/en/statistics/boj/other/tseifu/release/2026/seifu2603.pdf,2026-04-27T22:56:59Z
2026-04-06T23:50:00Z,money_stock,Monetary Base and the Bank of Japan's Transactions (Mar.),http://www.boj.or.jp/en/statistics/boj/other/mbt/mbt2603.pdf,2026-04-27T22:56:59Z
2026-04-06T23:50:00Z,ops,Market Operations by the Bank of Japan (Mar.),http://www.boj.or.jp/en/statistics/boj/fm/ope/m_release/2026/ope2603.xlsx,2026-04-27T22:56:59Z
2026-04-06T05:00:00Z,regional,Regional Economic Report (Summary) (Apr. 2026),http://www.boj.or.jp/en/research/brp/rer/rer260406.htm,2026-04-27T22:56:59Z
2026-04-06T05:00:00Z,review,(Research Paper) Key Features of Japan's Final Demand-Intermediate Demand Price Indexes during the Post-2020 Inflationary Episode,http://www.boj.or.jp/en/research/brp/ron_2026/ron260406a.htm,2026-04-27T22:56:59Z
2026-04-03T05:00:00Z,press,"Output Gap, Potential Growth Rate, and Labor Market Indicators",http://www.boj.or.jp/en/research/research_data/gap/index.htm,2026-04-27T22:56:59Z
2026-04-02T23:50:00Z,balance_sheet,Sources of Changes in Current Account Balances (Projections for Apr.),http://www.boj.or.jp/en/statistics/boj/fm/juqp/juqp2604.xlsx,2026-04-27T22:56:59Z
2026-04-02T08:00:00Z,balance_sheet,Japanese Government Bonds Held by the Bank of Japan,http://www.boj.or.jp/en/statistics/boj/other/mei/release/2026/mei260331.xlsx,2026-04-27T22:56:59Z
2026-04-02T08:00:00Z,press,Collateral Accepted by the Bank of Japan (End of Mar.),http://www.boj.or.jp/en/statistics/boj/other/col/col2603.xlsx,2026-04-27T22:56:59Z
2026-04-01T23:50:00Z,money_stock,Monetary Base (Mar.),http://www.boj.or.jp/en/statistics/boj/other/mb/mb.htm,2026-04-27T22:56:59Z
2026-04-01T23:50:00Z,tankan,Tankan (Mar.): Comprehensive Data Set,http://www.boj.or.jp/en/statistics/tk/tankan03b.htm,2026-04-27T22:56:59Z
2026-04-01T04:00:00Z,ops,Sources of Changes in Current Account Balances and Market Operations (Mar.),http://www.boj.or.jp/en/statistics/boj/fm/juqf/juqf03.xlsx,2026-04-27T22:56:59Z
2026-03-31T23:50:00Z,tankan,Tankan (Mar.): Summary and Outline,http://www.boj.or.jp/en/statistics/tk/tankan03a.htm,2026-04-27T22:56:59Z
2026-03-31T08:00:00Z,ops,Quarterly Schedule of Outright Purchases of Japanese Government Bonds (Competitive Auction Method) (April-June 2026),http://www.boj.or.jp/en/mopo/mpmdeci/mpr_2026/mpr260331a.pdf,2026-04-27T22:56:59Z
2026-03-31T02:00:00Z,press,Payment and Settlement Statistics (Feb.),http://www.boj.or.jp/en/statistics/set/kess/release/2026/kess2602.pdf,2026-04-27T22:56:59Z
2026-03-30T23:50:00Z,press,Average Contract Interest Rates on Loans and Discounts (Feb.),http://www.boj.or.jp/en/statistics/dl/loan/yaku/yaku2602.pdf,2026-04-27T22:56:59Z
2026-03-30T07:00:00Z,press,Liquidity Indicators in the JGB Markets (February),http://www.boj.or.jp/en/paym/bond/ryudo.pdf,2026-04-27T22:56:59Z
2026-03-30T06:30:00Z,review,(BOJ Review) The Concept and Measurement of Underlying Inflation,http://www.boj.or.jp/en/research/wps_rev/rev_2026/rev26e05.htm,2026-04-27T22:56:59Z
2026-03-30T02:00:00Z,review,(Research Paper) IMES DPS: Forecasting Recessions Using Machine Learning on Text Data and Mixed-Frequency Predictors,http://www.boj.or.jp/en/research/imes/dps/dpse260330c.htm,2026-04-27T22:56:59Z
2026-03-30T02:00:00Z,review,(Research Paper) IMES DPS: Revisiting Shadow Short-term Interest Rate Models: Evidence from the Ultra-Low Interest Rate Environment in Japan,http://www.boj.or.jp/en/research/imes/dps/dpse260330b.htm,2026-04-27T22:56:59Z
2026-03-30T02:00:00Z,review,(Research Paper) IMES DPS: Computerization and the Educational Composition of Routine Work,http://www.boj.or.jp/en/research/imes/dps/dpse260330a.htm,2026-04-27T22:56:59Z
2026-03-29T23:50:00Z,mpm,"Summary of Opinions at the Monetary Policy Meeting on March 18 and 19, 2026",http://www.boj.or.jp/en/mopo/mpmsche_minu/opinion_2026/opi260319.pdf,2026-04-27T22:56:59Z
2026-03-27T06:30:00Z,review,(BOJ Review) Developments in the Natural Rate of Interest and the Assessment of the Degree of Monetary Accommodation,http://www.boj.or.jp/en/research/wps_rev/rev_2026/rev26e04.htm,2026-04-27T22:56:59Z
