filed_utc,kind,title,link,summary,captured_at
2026-04-24T17:13:23Z,general,Daily Bulletin,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-42/20260424-42.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:17:10Z,general,Subdivision of equity shares of Avro India Ltd (Scrip Code: 543512).,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-41/20260424-41.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:16:28Z,general,New ISIN Number of Invesco India Gold Ex-change Traded Fund (Scrip Code: 533172),https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-40/20260424-40.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:14:05Z,general,Part Redemption of Debentures of Companies,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-39/20260424-39.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:13:00Z,trading_halt,Suspension of Trading in Debentures,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-38/20260424-38.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:08:41Z,trading_halt,Suspension on Maturity of Kotak Mahindra Mutual Fund Plans,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-37/20260424-37.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:07:57Z,rights_issue,Rights issue of Equity Shares of Shakti Press Ltd.,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-36/20260424-36.pdf,,2026-04-27T06:30:19Z
2026-04-24T16:07:04Z,rights_issue,Rights issue of Equity Shares of INNOVASSYNTH TECHNOLOGIES (INDIA) LIMITED,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-35/20260424-35.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:48:55Z,general,Applicability of Short Term Additional Surveillance Measure (ST-ASM),https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-34/20260424-34.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:10:34Z,merger,Adjustment of Futures and Options contracts of Vedanta Ltd on account of Scheme of Arrangement,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-33/20260424-33.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:07:51Z,regulatory_action,Applicability of Additional Measure for securities witnessing unusual price movement,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-32/20260424-32.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:07:26Z,general,Applicability of Long Term Additional Surveillance Measure (LT-ASM),https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-31/20260424-31.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:07:15Z,regulatory_action,Surveillance Measure for securities under IBC,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-30/20260424-30.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:07:07Z,general,Enhanced Surveillance Measure (ESM),https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-29/20260424-29.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:06:29Z,regulatory_action,Graded Surveillance Measure (GSM) - List of securities moving into their respective GSM Stages,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-28/20260424-28.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:06:23Z,general,CHANGES IN PRICE BAND,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-27/20260424-27.pdf,,2026-04-27T06:30:19Z
2026-04-24T14:03:08Z,general,Movement of Scrip out of ‘Z’ Group,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-26/20260424-26.pdf,,2026-04-27T06:30:19Z
2026-04-24T13:52:26Z,general,Update of single filing system through API-based integration between Stock Exchanges,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-25/20260424-25.pdf,,2026-04-27T06:30:19Z
2026-04-24T13:28:25Z,insider_disclosure,Change in Name of Company - Sastasundar Ventures Ltd,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-24/20260424-24.pdf,,2026-04-27T06:30:19Z
2026-04-24T13:13:45Z,regulatory_action,Update Regarding debt securities of Setco Auto Systems Private Limited,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-23/20260424-23.pdf,,2026-04-27T06:30:19Z
2026-04-24T12:54:36Z,regulatory_action,Listing of New Securities of Fusion Finance Ltd.,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-22/20260424-22.pdf,,2026-04-27T06:30:19Z
2026-04-24T12:51:46Z,regulatory_action,Listing of New Securities of Vaswani Industries Limited,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-21/20260424-21.pdf,,2026-04-27T06:30:19Z
2026-04-24T12:49:37Z,general,"Submission of Half yearly Networth Certificate as on March 31, 2026 (Revised Annexure)",https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-20/20260424-20.pdf,,2026-04-27T06:30:19Z
2026-04-24T12:48:54Z,regulatory_action,Listing of New Securities of SJ Corporation Limited,https://www.bseindia.com/downloads/UploadDocs/Notices/20260424-19/20260424-19.pdf,,2026-04-27T06:30:19Z
