captured_at,ticker,name,close,volume,dollar_volume_usd,pct_change,vol_vs_20d,regime
2026-04-25T03:05:14+00:00,IBIT,iShares Bitcoin Trust,44.02,28134168,1238466088.0,-0.07,0.68,fade
2026-04-25T03:05:14+00:00,FBTC,Fidelity Wise Origin Bitcoin,67.61,4023449,272025389.0,-0.09,0.96,normal
2026-04-25T03:05:14+00:00,GBTC,Grayscale Bitcoin Trust,60.37,1612976,97375359.0,-0.18,0.69,fade
2026-04-25T03:05:14+00:00,BITB,Bitwise Bitcoin,42.18,1522513,64219599.0,-0.12,0.83,normal
2026-04-25T03:05:14+00:00,ARKB,ARK 21Shares Bitcoin,25.77,1568744,40426534.0,-0.1,0.55,fade
2026-04-25T03:05:14+00:00,HODL,VanEck Bitcoin,21.97,764440,16794746.0,-0.07,0.53,fade
2026-04-25T03:05:14+00:00,BTCO,Invesco Galaxy Bitcoin,77.29,67188,5192961.0,-0.12,0.66,fade
2026-04-25T03:05:14+00:00,EZBC,Franklin Bitcoin,44.88,96418,4327240.0,-0.13,0.72,normal
2026-04-25T03:05:14+00:00,BRRR,Valkyrie Bitcoin,21.9,105589,2312441.0,-0.09,0.52,fade
2026-04-25T03:05:14+00:00,BTCW,WisdomTree Bitcoin,82.11,15343,1259758.0,-0.04,0.67,fade
2026-04-25T03:05:14+00:00,DEFI,Hashdex Bitcoin,87.87,349,30667.0,-0.3,0.77,normal
