code,name,date,rub_per_unit,prev_rub_per_unit,chg_pct,captured_at
AED,Дирхам ОАЭ,2026-04-28,20.3698,20.5656,-0.952,2026-04-27T22:58:18Z
AMD,Армянских драмов,2026-04-28,0.2013,0.2031,-0.88,2026-04-27T22:58:18Z
AUD,Австралийский доллар,2026-04-28,53.3232,53.8359,-0.952,2026-04-27T22:58:18Z
AZN,Азербайджанский манат,2026-04-28,44.0048,44.4278,-0.952,2026-04-27T22:58:18Z
BRL,Бразильский реал,2026-04-28,14.9377,15.247,-2.029,2026-04-27T22:58:18Z
BYN,Белорусский рубль,2026-04-28,26.5833,26.796,-0.794,2026-04-27T22:58:18Z
CAD,Канадский доллар,2026-04-28,54.6923,55.1777,-0.88,2026-04-27T22:58:18Z
CHF,Швейцарский франк,2026-04-28,95.4794,96.0541,-0.598,2026-04-27T22:58:18Z
CNY,Юань,2026-04-28,10.9513,11.027,-0.686,2026-04-27T22:58:18Z
EUR,Евро,2026-04-28,87.8826,88.2826,-0.453,2026-04-27T22:58:18Z
GBP,Фунт стерлингов,2026-04-28,100.9909,102.0374,-1.026,2026-04-27T22:58:18Z
GEL,Лари,2026-04-28,27.7767,28.0395,-0.937,2026-04-27T22:58:18Z
HKD,Гонконгских долларов,2026-04-28,9.5614,9.657,-0.99,2026-04-27T22:58:18Z
INR,Индийских рупий,2026-04-28,0.794,0.801,-0.869,2026-04-27T22:58:18Z
JPY,Иен,2026-04-28,0.4689,0.4726,-0.785,2026-04-27T22:58:18Z
KGS,Сомов,2026-04-28,0.8556,0.8641,-0.983,2026-04-27T22:58:18Z
KRW,Вон,2026-04-28,0.0504,0.051,-1.106,2026-04-27T22:58:18Z
KZT,Тенге,2026-04-28,0.1609,0.1632,-1.376,2026-04-27T22:58:18Z
MDL,Молдавских леев,2026-04-28,4.3176,4.3517,-0.784,2026-04-27T22:58:18Z
SGD,Сингапурский доллар,2026-04-28,58.696,59.0518,-0.603,2026-04-27T22:58:18Z
TJS,Сомони,2026-04-28,7.9394,8.0087,-0.865,2026-04-27T22:58:18Z
TMT,Новый туркменский манат,2026-04-28,21.3737,21.5792,-0.952,2026-04-27T22:58:18Z
TRY,Турецких лир,2026-04-28,1.6663,1.6839,-1.042,2026-04-27T22:58:18Z
UAH,Гривен,2026-04-28,1.6967,1.7164,-1.144,2026-04-27T22:58:18Z
USD,Доллар США,2026-04-28,74.8081,75.5273,-0.952,2026-04-27T22:58:18Z
UZS,Узбекских сумов,2026-04-28,0.0062,0.0063,-1.383,2026-04-27T22:58:18Z
ZAR,Рэндов,2026-04-28,4.499,4.5423,-0.952,2026-04-27T22:58:18Z
