week_end,ili_percent,ili_activity_level,positive_a,positive_b,h1n1_pct,h3n2_pct,hospitalizations,captured_at
2026-04-11,1.88,4203,2646180,0,0,0,0,2026-04-27T23:12:16Z
2026-04-04,2.09,4158,2557035,0,0,0,0,2026-04-27T23:12:16Z
2026-03-28,2.37,4185,2564560,0,0,0,0,2026-04-27T23:12:16Z
2026-03-21,2.65,4288,2658002,0,0,0,0,2026-04-27T23:12:16Z
2026-03-14,2.90,4306,2612978,0,0,0,0,2026-04-27T23:12:16Z
2026-03-07,3.27,4298,2704511,0,0,0,0,2026-04-27T23:12:16Z
2026-02-28,3.70,4328,2724523,0,0,0,0,2026-04-27T23:12:16Z
2026-02-21,3.87,4328,2657023,0,0,0,0,2026-04-27T23:12:16Z
2026-02-14,4.42,4327,2653303,0,0,0,0,2026-04-27T23:12:16Z
2026-02-07,4.57,4314,2690073,0,0,0,0,2026-04-27T23:12:16Z
2026-01-31,4.61,4302,2603091,0,0,0,0,2026-04-27T23:12:16Z
2026-01-24,4.42,4326,2420138,0,0,0,0,2026-04-27T23:12:16Z
2026-01-17,4.73,4311,2510563,0,0,0,0,2026-04-27T23:12:16Z
2026-01-10,4.38,4321,2666403,0,0,0,0,2026-04-27T23:12:16Z
2026-01-03,7.17,4300,2589802,0,0,0,0,2026-04-27T23:12:16Z
2026-01-03,5.29,4333,2817046,0,0,0,0,2026-04-27T23:12:16Z
2025-12-27,8.28,4314,2539768,0,0,0,0,2026-04-27T23:12:16Z
2025-12-20,6.01,4336,2762555,0,0,0,0,2026-04-27T23:12:16Z
2025-12-13,4.13,4359,2669796,0,0,0,0,2026-04-27T23:12:16Z
2025-12-06,3.29,4338,2637838,0,0,0,0,2026-04-27T23:12:16Z
2025-11-29,2.97,4341,2303270,0,0,0,0,2026-04-27T23:12:16Z
2025-11-22,2.53,4370,2665548,0,0,0,0,2026-04-27T23:12:16Z
2025-11-15,2.27,4348,2605168,0,0,0,0,2026-04-27T23:12:16Z
2025-11-08,2.12,4353,2630728,0,0,0,0,2026-04-27T23:12:16Z
2025-11-01,1.83,4340,2552431,0,0,0,0,2026-04-27T23:12:16Z
2025-10-25,1.74,4342,2621762,0,0,0,0,2026-04-27T23:12:16Z
2025-10-18,1.70,4336,2591417,0,0,0,0,2026-04-27T23:12:16Z
2025-10-11,1.64,4337,2626922,0,0,0,0,2026-04-27T23:12:16Z
2025-10-04,1.61,4324,2672834,0,0,0,0,2026-04-27T23:12:16Z
