week_end,state,covid_adult,covid_pedi,flu_admit,flu_icu,rsv_admit
2024-10-26,WY,9,0,0,9,0
2024-10-26,WV,6,0,0,6,0
2024-10-26,WI,55,0,0,55,0
2024-10-26,WA,9,0,0,9,0
2024-10-26,VT,5,0,0,5,0
2024-10-26,VI,1,0,0,1,0
2024-10-26,VA,65,0,0,65,0
2024-10-26,UT,35,0,0,35,0
2024-10-26,USA,1721,0,0,1716,0
2024-10-26,TX,127,0,0,127,0
2024-10-26,TN,46,0,0,45,0
2024-10-26,SD,17,0,0,17,0
2024-10-26,SC,38,0,0,38,0
2024-10-26,RI,3,0,0,3,0
2024-10-26,PR,7,0,0,7,0
2024-10-26,PA,67,0,0,67,0
2024-10-26,OR,12,0,0,12,0
2024-10-26,OK,40,0,0,40,0
2024-10-26,OH,85,0,0,85,0
2024-10-26,NY,42,0,0,42,0
2024-10-26,NV,11,0,0,11,0
2024-10-26,NM,11,0,0,11,0
2024-10-26,NJ,10,0,0,10,0
2024-10-26,NH,14,0,0,13,0
2024-10-26,NE,42,0,0,42,0
2024-10-26,ND,14,0,0,14,0
2024-10-26,NC,50,0,0,50,0
2024-10-26,MT,29,0,0,29,0
2024-10-26,MS,32,0,0,32,0
2024-10-26,MP,0,0,0,0,0
2024-10-26,MO,33,0,0,33,0
2024-10-26,MN,27,0,0,27,0
2024-10-26,MI,49,0,0,49,0
2024-10-26,ME,6,0,0,6,0
2024-10-26,MD,8,0,0,8,0
2024-10-26,MA,1,0,0,1,0
2024-10-26,LA,57,0,0,57,0
2024-10-26,KY,45,0,0,44,0
2024-10-26,KS,42,0,0,42,0
2024-10-26,IN,40,0,0,40,0
2024-10-26,IL,55,0,0,53,0
2024-10-26,ID,13,0,0,13,0
2024-10-26,IA,29,0,0,29,0
2024-10-26,HI,7,0,0,7,0
2024-10-26,GU,0,0,0,0,0
2024-10-26,GA,53,0,0,53,0
2024-10-26,FL,94,0,0,94,0
2024-10-26,DE,3,0,0,3,0
2024-10-26,DC,2,0,0,2,0
2024-10-26,CT,27,0,0,27,0
2024-10-26,CO,25,0,0,25,0
2024-10-26,CA,141,0,0,141,0
2024-10-26,AZ,15,0,0,15,0
2024-10-26,AS,1,0,0,1,0
2024-10-26,AR,26,0,0,26,0
2024-10-26,AL,35,0,0,35,0
2024-10-26,AK,5,0,0,5,0
2024-10-19,WY,7,0,0,7,0
2024-10-19,WV,6,0,0,6,0
2024-10-19,WI,17,0,0,17,0
2024-10-19,WA,17,0,0,17,0
2024-10-19,VT,5,0,0,5,0
2024-10-19,VI,0,0,0,0,0
