week_end,metric,jurisdiction,level,trend_2wk,captured_at
2025-09-07,SARS-CoV-2,Hawaii,71.2,76,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Iowa,33.333,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,43.0,-74,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,32.5,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,43.5,-70,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,75.571,22,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,LA County,79.2,8,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Florida,84.5,-32,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Maryland,77.0,211,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,18.0,146,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,32.0,-96,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,7.8,-25,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,45.2,-24,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,58.5,18,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,70.143,-1,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,72.714,3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Iowa,54.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nebraska,88.0,-1,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Hampshire,36.333,-98,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Utah,92.6,-82,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Virginia,69.5,-73,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,41.0,14,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Kansas,47.167,3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nevada,64.4,536,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Chicago,43.5,49,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,37.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Missouri,41.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Hampshire,62.0,-57,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New Hampshire,16.667,8545,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,8.25,-56,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Pennsylvania,15.75,-91,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,35.0,7,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Nevada,67.75,-92,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,North Carolina,71.0,329,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Ohio,22.75,477,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Oregon,,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,65.667,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Wisconsin,47.4,-40,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Massachusetts,47.429,8,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Guam,34.75,250,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Illinois,60.2,-3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,20.0,,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,New York,22.8,-92,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Texas,56.143,-3,2026-04-27T23:12:20Z
2025-09-07,SARS-CoV-2,Colorado,52.8,-57,2026-04-27T23:12:20Z
