month,direction,hs2,label,value_usd,mom_pct,yoy_pct,captured_at
2026-01,EXPORT,84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PA",27984809225,13.12,36.44,2026-04-27T23:05:12Z
2026-01,EXPORT,27,"MINERAL FUEL, OIL ETC.; BITUMIN SUBST; MINERA",25807051434,-5.46,-4.40,2026-04-27T23:05:12Z
2026-01,EXPORT,85,ELECTRIC MACHINERY ETC; SOUND EQUIP; TV EQUIP,19512182363,-3.93,2.79,2026-04-27T23:05:12Z
2026-01,EXPORT,71,"NAT ETC PEARLS, PREC ETC STONES, PR MET ETC; ",18933454876,97.32,277.90,2026-04-27T23:05:12Z
2026-01,EXPORT,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",13482583263,-16.55,14.39,2026-04-27T23:05:12Z
2026-01,EXPORT,87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PART",10027250219,9.64,12.73,2026-04-27T23:05:12Z
2026-01,EXPORT,90,"OPTIC, PHOTO ETC, MEDIC OR SURGICAL INSTRMENT",7932998344,-7.70,-3.03,2026-04-27T23:05:12Z
2026-01,EXPORT,30,PHARMACEUTICAL PRODUCTS,6914827607,-1.71,-5.30,2026-04-27T23:05:12Z
2026-01,EXPORT,39,PLASTICS AND ARTICLES THEREOF,5845396192,1.64,-10.55,2026-04-27T23:05:12Z
2026-01,EXPORT,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI",5545163569,-5.13,10.02,2026-04-27T23:05:12Z
2026-01,EXPORT,29,ORGANIC CHEMICALS,3671473923,-7.91,-12.47,2026-04-27T23:05:12Z
2026-01,EXPORT,12,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLAN",2998510735,25.46,12.67,2026-04-27T23:05:12Z
2026-01,EXPORT,38,MISCELLANEOUS CHEMICAL PRODUCTS,2790405648,-0.48,1.26,2026-04-27T23:05:12Z
2026-01,EXPORT,10,CEREALS,2309457477,-3.68,13.57,2026-04-27T23:05:12Z
2026-01,EXPORT,02,MEAT AND EDIBLE MEAT OFFAL,1735643277,-4.38,-0.16,2026-04-27T23:05:12Z
2026-01,EXPORT,73,ARTICLES OF IRON OR STEEL,1633033746,1.22,-10.99,2026-04-27T23:05:12Z
2026-01,EXPORT,08,EDIBLE FRUIT & NUTS; CITRUS FRUIT OR MELON PE,1505587758,-19.74,19.88,2026-04-27T23:05:12Z
2026-01,EXPORT,72,IRON AND STEEL,1375096417,13.06,-7.48,2026-04-27T23:05:12Z
2026-01,EXPORT,28,INORG CHEM; PREC & RARE-EARTH MET & RADIOACT ,1275993542,7.03,1.83,2026-04-27T23:05:12Z
2026-01,EXPORT,23,FOOD INDUSTRY RESIDUES & WASTE; PREP ANIMAL F,1187349891,-2.96,8.70,2026-04-27T23:05:12Z
2026-01,EXPORT,76,ALUMINUM AND ARTICLES THEREOF,1147113366,5.52,2.78,2026-04-27T23:05:12Z
2026-01,EXPORT,74,COPPER AND ARTICLES THEREOF,1128977896,7.23,24.74,2026-04-27T23:05:12Z
2026-01,EXPORT,48,PAPER & PAPERBOARD & ARTICLES (INC PAPR PULP ,1093332702,5.19,-13.67,2026-04-27T23:05:12Z
2026-01,EXPORT,33,"ESSENTIAL OILS ETC; PERFUMERY, COSMETIC ETC P",1069689293,-10.50,-9.01,2026-04-27T23:05:12Z
2026-01,EXPORT,40,RUBBER AND ARTICLES THEREOF,1021629068,5.31,-9.99,2026-04-27T23:05:12Z
2026-01,EXPORT,21,MISCELLANEOUS EDIBLE PREPARATIONS,932896654,-4.01,6.91,2026-04-27T23:05:12Z
2026-01,EXPORT,22,"BEVERAGES, SPIRITS AND VINEGAR",868920879,-7.58,1.18,2026-04-27T23:05:12Z
2026-01,EXPORT,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES",852133588,38.96,10.99,2026-04-27T23:05:12Z
2026-01,EXPORT,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,749976598,7.42,2.26,2026-04-27T23:05:12Z
2026-01,EXPORT,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES TH,674500458,-1.56,-4.61,2026-04-27T23:05:12Z
2026-01,EXPORT,26,"ORES, SLAG AND ASH",670437525,-7.23,36.15,2026-04-27T23:05:12Z
2026-01,EXPORT,94,"FURNIT;BEDDING,MATTRES;LUMINAIRES,LIGHT FIX;P",660413960,-7.77,-8.27,2026-04-27T23:05:12Z
2026-01,EXPORT,34,"SOAP ETC; WAXES, POLISH ETC; CANDLES; DENTAL ",638397307,-2.36,-7.99,2026-04-27T23:05:12Z
2026-01,EXPORT,04,DAIRY PRODS; BIRDS EGGS; HONEY; ED ANIMAL PR ,628974109,-5.08,5.42,2026-04-27T23:05:12Z
2026-01,EXPORT,47,WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & P,609091602,-8.18,-9.85,2026-04-27T23:05:12Z
2026-01,EXPORT,32,"TANNING & DYE EXT ETC; DYE, PAINT, PUTTY ETC;",561578079,3.20,-7.83,2026-04-27T23:05:12Z
2026-01,EXPORT,31,FERTILIZERS,496005596,19.33,29.36,2026-04-27T23:05:12Z
2026-01,EXPORT,07,EDIBLE VEGETABLES & CERTAIN ROOTS & TUBERS,461464722,1.42,-10.47,2026-04-27T23:05:12Z
