month,category,sales_mm,inventory_mm,i_to_s,sales_mom_pct,inv_mom_pct,captured_at
2026-02,MNFCTR,623243,950492,1.53,1.4,0.1,2026-04-27T23:04:39Z
2026-02,RETAIL,639691,816723,1.28,0.7,0.2,2026-04-27T23:04:39Z
2026-02,WHLSLR,751874,919577,1.22,2.7,0.8,2026-04-27T23:04:39Z
2026-02,TOTBUS,2014808,2686792,1.33,1.7,0.4,2026-04-27T23:04:39Z
2026-01,MNFCTR,614476,949640,1.55,0.7,0.1,2026-04-27T23:04:39Z
2026-01,RETAIL,634949,815340,1.28,0.0,0.3,2026-04-27T23:04:39Z
2026-01,WHLSLR,731766,911902,1.25,1.1,-0.3,2026-04-27T23:04:39Z
2026-01,TOTBUS,1981191,2676882,1.35,0.6,0.0,2026-04-27T23:04:39Z
2025-12,MNFCTR,610055,949081,1.56,0.7,0.1,2026-04-27T23:04:39Z
2025-12,RETAIL,634830,813286,1.28,0.1,0.1,2026-04-27T23:04:39Z
2025-12,WHLSLR,723871,914350,1.26,1.3,-0.1,2026-04-27T23:04:39Z
2025-12,TOTBUS,1968756,2676717,1.36,0.7,0.0,2026-04-27T23:04:39Z
2025-11,MNFCTR,606008,948592,1.57,-0.2,0.2,2026-04-27T23:04:39Z
2025-11,RETAIL,634477,812779,1.28,0.5,-0.4,2026-04-27T23:04:39Z
2025-11,WHLSLR,714732,915713,1.28,1.4,0.2,2026-04-27T23:04:39Z
2025-11,TOTBUS,1955217,2677084,1.37,0.6,0.0,2026-04-27T23:04:39Z
2025-10,MNFCTR,607176,947012,1.56,0.1,0.0,2026-04-27T23:04:39Z
2025-10,RETAIL,631346,816106,1.29,-0.2,0.5,2026-04-27T23:04:39Z
2025-10,WHLSLR,704727,913477,1.30,-0.4,0.2,2026-04-27T23:04:39Z
2025-10,TOTBUS,1943249,2676595,1.38,-0.2,0.2,2026-04-27T23:04:39Z
2025-09,MNFCTR,606522,946694,1.56,-0.1,-0.1,2026-04-27T23:04:39Z
2025-09,RETAIL,632395,812285,1.28,0.0,0.5,2026-04-27T23:04:39Z
2025-09,WHLSLR,707774,911532,1.29,-0.2,0.5,2026-04-27T23:04:39Z
2025-09,TOTBUS,1946691,2670511,1.37,-0.1,0.3,2026-04-27T23:04:39Z
2025-08,MNFCTR,606847,947640,1.56,-0.3,-0.1,2026-04-27T23:04:39Z
2025-08,RETAIL,632149,808568,1.28,0.5,0.0,2026-04-27T23:04:39Z
2025-08,WHLSLR,709361,907383,1.28,-0.2,-0.1,2026-04-27T23:04:39Z
2025-08,TOTBUS,1948357,2663591,1.37,0.0,0.0,2026-04-27T23:04:39Z
2025-07,MNFCTR,608530,948226,1.56,0.9,0.2,2026-04-27T23:04:39Z
2025-07,RETAIL,628747,808517,1.29,0.7,0.1,2026-04-27T23:04:39Z
2025-07,WHLSLR,710559,908006,1.28,1.3,0.1,2026-04-27T23:04:39Z
2025-07,TOTBUS,1947836,2664749,1.37,1.0,0.1,2026-04-27T23:04:39Z
2025-06,MNFCTR,602992,946202,1.57,0.6,0.2,2026-04-27T23:04:39Z
2025-06,RETAIL,624146,807816,1.29,1.0,0.2,2026-04-27T23:04:39Z
2025-06,WHLSLR,701297,906960,1.29,0.7,0.2,2026-04-27T23:04:39Z
2025-06,TOTBUS,1928435,2660978,1.38,0.7,0.2,2026-04-27T23:04:39Z
2025-05,MNFCTR,599560,944036,1.57,0.2,0.1,2026-04-27T23:04:39Z
2025-05,RETAIL,618037,806437,1.30,-0.9,0.2,2026-04-27T23:04:39Z
2025-05,WHLSLR,696650,905458,1.30,-0.4,-0.3,2026-04-27T23:04:39Z
2025-05,TOTBUS,1914247,2655931,1.39,-0.4,0.0,2026-04-27T23:04:39Z
2025-04,MNFCTR,598633,943249,1.58,-0.3,-0.1,2026-04-27T23:04:39Z
2025-04,RETAIL,623521,804501,1.29,-0.3,0.0,2026-04-27T23:04:39Z
2025-04,WHLSLR,699402,908309,1.30,0.0,0.1,2026-04-27T23:04:39Z
2025-04,TOTBUS,1921556,2656059,1.38,-0.2,0.0,2026-04-27T23:04:39Z
2025-03,MNFCTR,600663,944064,1.57,-0.2,0.1,2026-04-27T23:04:39Z
2025-03,RETAIL,625525,804552,1.29,1.4,-0.3,2026-04-27T23:04:39Z
2025-03,WHLSLR,699137,907090,1.30,1.1,0.4,2026-04-27T23:04:39Z
2025-03,TOTBUS,1925325,2655706,1.38,0.8,0.1,2026-04-27T23:04:39Z
2025-02,MNFCTR,602132,943013,1.57,0.6,0.1,2026-04-27T23:04:39Z
2025-02,RETAIL,616636,807065,1.31,0.2,-0.1,2026-04-27T23:04:39Z
2025-02,WHLSLR,691261,903141,1.31,2.2,0.3,2026-04-27T23:04:39Z
2025-02,TOTBUS,1910029,2653219,1.39,1.1,0.1,2026-04-27T23:04:39Z
2025-01,MNFCTR,598328,941981,1.57,0.4,0.1,2026-04-27T23:04:39Z
2025-01,RETAIL,615145,807516,1.31,-1.1,0.2,2026-04-27T23:04:39Z
2025-01,WHLSLR,676577,900015,1.33,-1.4,0.9,2026-04-27T23:04:39Z
2025-01,TOTBUS,1890050,2649512,1.40,-0.7,0.4,2026-04-27T23:04:39Z
2024-12,MNFCTR,596142,941027,1.58,0.4,0.3,2026-04-27T23:04:39Z
2024-12,RETAIL,621713,805639,1.30,0.9,-0.5,2026-04-27T23:04:39Z
2024-12,WHLSLR,686278,891703,1.30,1.1,-0.8,2026-04-27T23:04:39Z
2024-12,TOTBUS,1904133,2638369,1.39,0.8,-0.3,2026-04-27T23:04:39Z
2024-11,MNFCTR,593730,938291,1.58,0.5,0.5,2026-04-27T23:04:39Z
2024-11,RETAIL,616344,809726,1.31,0.6,0.1,2026-04-27T23:04:39Z
2024-11,WHLSLR,678572,898579,1.32,0.7,0.1,2026-04-27T23:04:39Z
2024-11,TOTBUS,1888646,2646596,1.40,0.6,0.2,2026-04-27T23:04:39Z
2024-10,MNFCTR,590720,934085,1.58,-0.4,0.0,2026-04-27T23:04:39Z
2024-10,RETAIL,612772,808813,1.32,0.7,0.2,2026-04-27T23:04:39Z
2024-10,WHLSLR,674029,898061,1.33,-0.3,0.3,2026-04-27T23:04:39Z
2024-10,TOTBUS,1877521,2640959,1.41,0.0,0.1,2026-04-27T23:04:39Z
2024-09,MNFCTR,592881,934025,1.58,-0.1,-0.2,2026-04-27T23:04:39Z
2024-09,RETAIL,608774,807342,1.33,0.9,0.7,2026-04-27T23:04:39Z
2024-09,WHLSLR,675839,895719,1.33,0.8,-0.3,2026-04-27T23:04:39Z
2024-09,TOTBUS,1877494,2637086,1.40,0.5,0.0,2026-04-27T23:04:39Z
2024-08,MNFCTR,593766,935844,1.58,-0.6,0.1,2026-04-27T23:04:39Z
2024-08,RETAIL,603601,801673,1.33,-0.4,0.6,2026-04-27T23:04:39Z
2024-08,WHLSLR,670441,898441,1.34,0.1,0.2,2026-04-27T23:04:39Z
2024-08,TOTBUS,1867808,2635958,1.41,-0.3,0.3,2026-04-27T23:04:39Z
2024-07,MNFCTR,597331,934978,1.57,0.9,0.0,2026-04-27T23:04:39Z
2024-07,RETAIL,605814,796555,1.31,1.0,0.9,2026-04-27T23:04:39Z
2024-07,WHLSLR,669676,896740,1.34,1.1,0.3,2026-04-27T23:04:39Z
2024-07,TOTBUS,1872821,2628273,1.40,1.0,0.4,2026-04-27T23:04:39Z
2024-06,MNFCTR,591770,935183,1.58,0.2,-0.1,2026-04-27T23:04:39Z
2024-06,RETAIL,599979,789170,1.32,-0.1,1.0,2026-04-27T23:04:39Z
2024-06,WHLSLR,662292,894462,1.35,-0.4,0.2,2026-04-27T23:04:39Z
2024-06,TOTBUS,1854041,2618815,1.41,-0.1,0.3,2026-04-27T23:04:39Z
2024-05,MNFCTR,590334,936426,1.59,-0.9,0.1,2026-04-27T23:04:39Z
2024-05,RETAIL,600372,781647,1.30,0.8,0.7,2026-04-27T23:04:39Z
2024-05,WHLSLR,665250,893110,1.34,0.7,0.6,2026-04-27T23:04:39Z
2024-05,TOTBUS,1855956,2611183,1.41,0.2,0.4,2026-04-27T23:04:39Z
2024-04,MNFCTR,595413,935587,1.57,0.8,0.2,2026-04-27T23:04:39Z
2024-04,RETAIL,595676,776049,1.30,0.0,0.9,2026-04-27T23:04:39Z
2024-04,WHLSLR,660771,888010,1.34,0.4,0.0,2026-04-27T23:04:39Z
