filed_utc,kind,title,link,summary
2026-04-23T14:27:46Z,population,New Data Released From Household Trends and Outlook Pulse Survey,https://www.census.gov/newsroom/press-releases.html,"New data about employment, food sufficiency, housing status and artificial intelligence was released from the Household Trends and Outlook Pulse Survey."
2026-04-23T14:02:53Z,business_stats,"Business Trends and Outlook Survey Data Release — April 23, 2026",https://www.census.gov/newsroom/press-releases.html,The Business Trends and Outlook Survey provides timely data for key economic measures and business expectations about future conditions.
2026-04-16T18:52:23Z,employment,New Data on Public Employment and Payroll Now Available,https://www.census.gov/newsroom/press-releases.html,The U.S. Census Bureau today released new data providing a comprehensive look at the employment of the nation's state and local governments.
2026-04-15T14:10:33Z,state_local,State Government Tax Collections Data Now Available,https://www.census.gov/newsroom/press-releases.html,"Data used to examine and develop tax policy, gross domestic product estimates, and national income and product accounts."
2026-04-14T14:17:14Z,population,Most Common First Names and Last Names in the 2020 Census,https://www.census.gov/newsroom/press-releases.html,New data highlight the most frequently reported first names and last names in the United States based on responses to the 2020 Census.
2026-04-09T15:17:31Z,population,New 2025 U.S. Population Estimates by Age and Sex,https://www.census.gov/newsroom/press-releases.html,"The U.S. Census Bureau released a downloadable file containing estimates of the nation’s resident population by single year of age and sex as of July 1, 2025."
2026-04-09T14:03:05Z,business_stats,"Business Trends and Outlook Survey Data Release — April 9, 2026",https://www.census.gov/newsroom/press-releases.html,The Business Trends and Outlook Survey provides timely data for key economic measures and business expectations about future conditions.
2026-04-08T14:01:09Z,business_stats,Business Formation Statistics Monthly Data Release — March 2026,https://www.census.gov/newsroom/press-releases.html,Explore timely and high frequency information on new business applications and formations.
2026-03-26T14:59:32Z,press,El crecimiento lento afecta más a los mayores condados del país,https://www.census.gov/newsroom/press-releases.html,El crecimiento de la población fue más lento en la mayoría de los condados del país según las estimaciones de población del 2025.
2026-03-26T14:39:52Z,population,New Data Released From Household Trends and Outlook Pulse Survey,https://www.census.gov/newsroom/press-releases.html,"New data about food, health and well-being, transportation, and employment released from the Household Trends and Outlook Pulse Survey."
