month,category,structure,value_sa,yoy_pct,captured_at
2026-01,ASTARTS,TOTAL,1487,9.50,2026-04-27T23:04:27Z
2026-01,ASTARTS,SINGLE,935,-6.50,2026-04-27T23:04:27Z
2026-01,ASTARTS,MULTI,524,56.89,2026-04-27T23:04:27Z
2026-01,APERMITS,TOTAL,1386,-5.07,2026-04-27T23:04:27Z
2026-01,APERMITS,SINGLE,876,-11.34,2026-04-27T23:04:27Z
2026-01,APERMITS,MULTI,458,10.10,2026-04-27T23:04:27Z
2026-01,ACOMPLETIONS,TOTAL,1527,-7.51,2026-04-27T23:04:27Z
2026-01,ACOMPLETIONS,SINGLE,970,-3.29,2026-04-27T23:04:27Z
2026-01,ACOMPLETIONS,MULTI,532,-15.56,2026-04-27T23:04:27Z
2025-12,ASTARTS,TOTAL,1387,-8.39,2026-04-27T23:04:27Z
2025-12,ASTARTS,SINGLE,962,-10.76,2026-04-27T23:04:27Z
2025-12,ASTARTS,MULTI,406,0.00,2026-04-27T23:04:27Z
2025-12,APERMITS,TOTAL,1455,-1.69,2026-04-27T23:04:27Z
2025-12,APERMITS,SINGLE,881,-10.92,2026-04-27T23:04:27Z
2025-12,APERMITS,MULTI,523,20.51,2026-04-27T23:04:27Z
2025-12,ACOMPLETIONS,TOTAL,1457,-4.58,2026-04-27T23:04:27Z
2025-12,ACOMPLETIONS,SINGLE,980,5.60,2026-04-27T23:04:27Z
2025-12,ACOMPLETIONS,MULTI,458,-20.21,2026-04-27T23:04:27Z
2025-11,ASTARTS,TOTAL,1324,2.24,2026-04-27T23:04:27Z
2025-11,ASTARTS,SINGLE,931,-8.19,2026-04-27T23:04:27Z
2025-11,ASTARTS,MULTI,378,42.11,2026-04-27T23:04:27Z
2025-11,APERMITS,TOTAL,1388,-7.96,2026-04-27T23:04:27Z
2025-11,APERMITS,SINGLE,896,-7.91,2026-04-27T23:04:27Z
2025-11,APERMITS,MULTI,436,-9.92,2026-04-27T23:04:27Z
2025-11,ACOMPLETIONS,TOTAL,1463,-9.58,2026-04-27T23:04:27Z
2025-11,ACOMPLETIONS,SINGLE,1013,-0.39,2026-04-27T23:04:27Z
2025-11,ACOMPLETIONS,MULTI,435,-25.39,2026-04-27T23:04:27Z
2025-10,ASTARTS,TOTAL,1272,-5.92,2026-04-27T23:04:27Z
2025-10,ASTARTS,SINGLE,894,-5.70,2026-04-27T23:04:27Z
2025-10,ASTARTS,MULTI,353,-9.25,2026-04-27T23:04:27Z
2025-10,APERMITS,TOTAL,1411,-1.19,2026-04-27T23:04:27Z
2025-10,APERMITS,SINGLE,878,-9.20,2026-04-27T23:04:27Z
2025-10,APERMITS,MULTI,478,17.16,2026-04-27T23:04:27Z
2025-10,ACOMPLETIONS,TOTAL,1430,-12.59,2026-04-27T23:04:27Z
2025-10,ACOMPLETIONS,SINGLE,1028,3.94,2026-04-27T23:04:27Z
2025-10,ACOMPLETIONS,MULTI,389,-38.45,2026-04-27T23:04:27Z
2025-09,ASTARTS,TOTAL,1328,-2.14,2026-04-27T23:04:27Z
