category_code,data_type_code,period,value_thousand,mom_pct,yoy_pct,captured_at
ACOMPLETIONS,MULTI,2024-02,602,,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-03,526,-12.62,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-04,516,-1.90,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-05,522,1.16,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-06,636,21.84,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-07,541,-14.94,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-08,705,30.31,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-09,645,-8.51,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-10,632,-2.02,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-11,583,-7.75,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2024-12,574,-1.54,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-01,630,9.76,,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-02,530,-15.87,-11.96,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-03,497,-6.23,-5.51,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-04,500,0.60,-3.10,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-05,468,-6.40,-10.34,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-06,442,-5.56,-30.50,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-07,442,0.00,-18.30,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-08,473,7.01,-32.91,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-09,413,-12.68,-35.97,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-10,389,-5.81,-38.45,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-11,435,11.83,-25.39,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2025-12,458,5.29,-20.21,2026-04-27T23:10:23Z
ACOMPLETIONS,MULTI,2026-01,532,16.16,-15.56,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-02,1059,,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-03,935,-11.71,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-04,1131,20.96,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-05,1026,-9.28,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-06,1075,4.78,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-07,1088,1.21,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-08,1032,-5.15,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-09,1014,-1.74,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-10,989,-2.47,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-11,1017,2.83,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2024-12,928,-8.75,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-01,1003,8.08,,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-02,1022,1.89,-3.49,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-03,1048,2.54,12.09,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-04,964,-8.02,-14.77,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-05,1056,9.54,2.92,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-06,920,-12.88,-14.42,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-07,1006,9.35,-7.54,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-08,1064,5.77,3.10,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-09,944,-11.28,-6.90,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-10,1028,8.90,3.94,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-11,1013,-1.46,-0.39,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2025-12,980,-3.26,5.60,2026-04-27T23:10:23Z
ACOMPLETIONS,SINGLE,2026-01,970,-1.02,-3.29,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-02,1674,,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-03,1487,-11.17,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-04,1662,11.77,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-05,1561,-6.08,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-06,1731,10.89,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-07,1635,-5.55,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-08,1755,7.34,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-09,1671,-4.79,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-10,1636,-2.09,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-11,1618,-1.10,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2024-12,1527,-5.62,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-01,1651,8.12,,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-02,1565,-5.21,-6.51,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-03,1566,0.06,5.31,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-04,1475,-5.81,-11.25,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-05,1542,4.54,-1.22,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-06,1385,-10.18,-19.99,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-07,1455,5.05,-11.01,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-08,1556,6.94,-11.34,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-09,1372,-11.83,-17.89,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-10,1430,4.23,-12.59,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-11,1463,2.31,-9.58,2026-04-27T23:10:23Z
ACOMPLETIONS,TOTAL,2025-12,1457,-0.41,-4.58,2026-04-27T23:10:23Z
