month,direction,country,cty_code,hs2,value_usd,yoy_pct,captured_at
2026-01,EXPORT,CANADA,1220,84,3544890745,-11.41,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,87,2895013543,-14.09,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,27,2042640536,-12.68,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,85,2025706541,-13.94,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,39,1077269011,-13.04,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,88,836078603,8.66,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,90,807098638,-7.67,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,30,476790580,9.13,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,73,408228689,-26.19,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,72,332680097,-21.64,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,94,295653148,-13.87,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,29,278771501,-9.67,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,74,237149395,29.81,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,76,215348133,-25.27,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,31,211313373,19.73,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,95,150332216,-34.39,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,10,97809302,25.74,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,12,69731664,-24.07,2026-04-27T23:08:52Z
2026-01,EXPORT,CANADA,1220,52,2775039,-12.57,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,27,9921142506,-13.67,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,87,2196068765,-47.21,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,84,2153382863,-17.88,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,39,952833022,-17.42,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,85,897550190,-9.75,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,76,818357193,-22.98,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,94,339176919,-16.40,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,88,332112070,-58.02,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,90,311108743,-20.63,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,31,309948858,-2.00,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,72,296237614,-55.44,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,74,292263149,-27.09,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,30,282653236,-50.02,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,73,241286064,-48.45,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,29,168450768,-32.65,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,10,99784785,-41.45,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,12,60588460,-29.83,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,95,28143047,-34.33,2026-04-27T23:08:52Z
2026-01,IMPORT,CANADA,1220,52,67562,-92.45,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,85,1426986996,-7.99,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,12,1402057799,76.65,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,88,822029036,-24.81,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,84,671165037,-29.33,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,90,590499580,-21.32,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,39,427110359,-33.16,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,30,363844980,2.26,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,29,311608355,-6.75,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,27,302256032,-68.89,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,10,128148472,431.25,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,87,116970183,-27.92,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,73,52387325,-1.08,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,31,45067259,62.33,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,76,33969519,-0.57,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,74,29406708,-82.66,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,72,18336446,-12.17,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,52,16923172,-54.91,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,95,16202483,71.90,2026-04-27T23:08:52Z
2026-01,EXPORT,CHINA,5700,94,8177692,-26.86,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,85,4808864211,-57.28,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,84,3191399672,-61.71,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,39,1103381980,-39.98,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,95,1032543039,-55.68,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,87,995203928,-28.17,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,94,884364492,-49.42,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,90,765020969,-35.62,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,29,659116189,-42.88,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,73,553065080,-52.24,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,30,303661169,-66.59,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,76,165996601,-33.45,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,74,33323525,-36.70,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,88,32981802,-25.09,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,72,26818191,-48.52,2026-04-27T23:08:52Z
2026-01,IMPORT,CHINA,5700,10,15499616,3481.82,2026-04-27T23:08:52Z
