period,category_code,category_name,sales_millions,inventory_millions,inv_sales_ratio,sales_mom_pct,inv_mom_pct,captured_at
2026-02,424,Nondurable Goods Wholesale,375147,343300,0.92,1.4,1.0,2026-04-27T22:59:37Z
2026-02,423,Durable Goods Wholesale,376727,576277,1.53,4.1,0.8,2026-04-27T22:59:37Z
2026-02,42,Total Wholesale Trade,751874,919577,1.22,2.7,0.8,2026-04-27T22:59:37Z
2026-01,424,Nondurable Goods Wholesale,369870,339930,0.92,0.3,-1.1,2026-04-27T22:59:37Z
2026-01,423,Durable Goods Wholesale,361896,571972,1.58,2.0,0.2,2026-04-27T22:59:37Z
2026-01,42,Total Wholesale Trade,731766,911902,1.25,1.1,-0.3,2026-04-27T22:59:37Z
2025-12,424,Nondurable Goods Wholesale,368941,343706,0.93,0.3,-0.8,2026-04-27T22:59:37Z
2025-12,423,Durable Goods Wholesale,354930,570644,1.61,2.3,0.2,2026-04-27T22:59:37Z
2025-12,42,Total Wholesale Trade,723871,914350,1.26,1.3,-0.1,2026-04-27T22:59:37Z
2025-11,424,Nondurable Goods Wholesale,367904,346337,0.94,1.4,0.2,2026-04-27T22:59:37Z
2025-11,423,Durable Goods Wholesale,346828,569376,1.64,1.4,0.3,2026-04-27T22:59:37Z
2025-11,42,Total Wholesale Trade,714732,915713,1.28,1.4,0.2,2026-04-27T22:59:37Z
2025-10,424,Nondurable Goods Wholesale,362683,345781,0.95,-0.1,0.7,2026-04-27T22:59:37Z
2025-10,423,Durable Goods Wholesale,342044,567696,1.66,-0.7,-0.1,2026-04-27T22:59:37Z
2025-10,42,Total Wholesale Trade,704727,913477,1.30,-0.4,0.2,2026-04-27T22:59:37Z
2025-09,424,Nondurable Goods Wholesale,363172,343241,0.95,0.2,1.1,2026-04-27T22:59:37Z
2025-09,423,Durable Goods Wholesale,344602,568291,1.65,-0.6,0.1,2026-04-27T22:59:37Z
