filed,kind,defendant,penalty_usd,url,captured_at
2025-09-22,order,Apple Inc.,,https://www.consumerfinance.gov/enforcement/actions/apple-inc/,2026-04-27T22:56:36Z
2025-08-21,stipulated_judgment,"Synapse Financial Technologies, Inc.",,https://www.consumerfinance.gov/enforcement/actions/synapse-financial-technologies-inc/,2026-04-27T22:56:36Z
2025-01-30,order,Wise US Inc.,,https://www.consumerfinance.gov/enforcement/actions/wise-us-inc/,2026-04-27T22:56:36Z
2025-01-17,order,"Equifax, Inc. and Equifax Information Services LLC",,https://www.consumerfinance.gov/enforcement/actions/equifax-inc-and-equifax-information-services-llc/,2026-04-27T22:56:36Z
2025-01-17,consent_order,Draper & Kramer Mortgage Corporation,,https://www.consumerfinance.gov/enforcement/actions/draper-kramer-mortgage-corporation/,2026-04-27T22:56:36Z
2025-01-17,order,American Honda Finance Corporation,,https://www.consumerfinance.gov/enforcement/actions/american-honda-finance-corporation-2025/,2026-04-27T22:56:36Z
2025-01-16,order,"Block, Inc.",,https://www.consumerfinance.gov/enforcement/actions/block-inc/,2026-04-27T22:56:36Z
2025-01-07,other,"Capital One, National Association, and Capital One Financial Corporation",480000000000,https://www.consumerfinance.gov/enforcement/actions/capital-one-national-association-and-capital-one-financial-corporation/,2026-04-27T22:56:36Z
2025-01-07,other,"Experian Information Solutions, Inc.",,https://www.consumerfinance.gov/enforcement/actions/experian-information-solutions-inc/,2026-04-27T22:56:36Z
2025-01-06,other,"Vanderbilt Mortgage & Finance, Inc.",,https://www.consumerfinance.gov/enforcement/actions/vanderbilt-mortgage-finance-inc/,2026-04-27T22:56:36Z
2024-12-23,complaint,"Walmart Inc., and Branch Messenger, Inc.",,https://www.consumerfinance.gov/enforcement/actions/walmart-inc-and-branch-messenger-inc/,2026-04-27T22:56:36Z
2024-12-23,other,"Rocket Homes Real Estate LLC, dba Rocket Homes; JMG Holding Partners LLC, dba The Jason Mitchell Group; 45 real estate brokerage affiliates; and Jason Mitchell",,https://www.consumerfinance.gov/enforcement/actions/rocket-homes-real-estate-llc-et-al/,2026-04-27T22:56:36Z
2024-12-20,other,"Early Warning Services, LLC; Bank of America, N.A.; JPMorgan Chase Bank, N.A.; Wells Fargo Bank, N.A",,https://www.consumerfinance.gov/enforcement/actions/early-warning-services-llc-bank-of-america-na-jpmorgan-chase-bank-na-wells-fargo-bank-na/,2026-04-27T22:56:36Z
2024-12-09,order,"Performant Recovery, Inc.",,https://www.consumerfinance.gov/enforcement/actions/performant-recovery-inc/,2026-04-27T22:56:36Z
2024-12-06,complaint,Comerica Bank,,https://www.consumerfinance.gov/enforcement/actions/comerica-bank/,2026-04-27T22:56:36Z
2024-11-14,order,"Global Tel Link Corporation d/b/a ViaPath Technologies; Telmate, LLC d/b/a ViaPath Technologies; and TouchPay Holdings, LLC d/b/a GTL Financial Services",,https://www.consumerfinance.gov/enforcement/actions/global-tel-link-corp-et-al/,2026-04-27T22:56:36Z
2024-11-07,order,Navy Federal Credit Union,,https://www.consumerfinance.gov/enforcement/actions/navy-federal-credit-union-overdraft-2024/,2026-04-27T22:56:36Z
2024-10-31,order,VyStar Credit Union,,https://www.consumerfinance.gov/enforcement/actions/vystar-credit-union/,2026-04-27T22:56:36Z
2024-10-23,order,Goldman Sachs Bank USA,,https://www.consumerfinance.gov/enforcement/actions/goldman-sachs-bank-usa/,2026-04-27T22:56:36Z
2024-10-17,other,"Climb Credit, Inc.; Climb Investco, LLC; Climb GS Loan Fund 2018-1, LLC; 1/0 Holdco LLC; and 1/0 Capital LLC",,https://www.consumerfinance.gov/enforcement/actions/climb-credit-inc-et-al/,2026-04-27T22:56:36Z
2024-10-15,consent_order,Fairway Independent Mortgage Corporation,,https://www.consumerfinance.gov/enforcement/actions/fairway-independent-mortgage-corporation/,2026-04-27T22:56:36Z
2024-10-10,order,"Ejudicate, Inc., d/b/a Brief",,https://www.consumerfinance.gov/enforcement/actions/ejudicate-inc-dba-brief/,2026-04-27T22:56:36Z
2024-09-13,other,"Reliant Holdings, Inc. d/b/a Horizon Card Services; and Robert Kane",,https://www.consumerfinance.gov/enforcement/actions/reliant-holdings-inc-dba-horizon-card-services-and-robert-kane/,2026-04-27T22:56:36Z
2024-09-11,order,"TD Bank, N.A.",,https://www.consumerfinance.gov/enforcement/actions/td-bank-na-furnishing-2024/,2026-04-27T22:56:36Z
2024-08-29,order,"New Day Financial, LLC",,https://www.consumerfinance.gov/enforcement/actions/new-day-financial-2024/,2026-04-27T22:56:36Z
