cve_id,vendor,product,vulnerability,date_added,due_date,known_ransomware,tickers_affected,short_desc,captured_at
CVE-2025-29635,D-Link,DIR-823X,D-Link DIR-823X Command Injection Vulnerability,2026-04-24,2026-05-08,Unknown,,D-Link DIR-823X contains a command injection vulnerability that allows an authorized attacker to execute arbitrary commands on remote devices by sending a POST request to /goform/set_prohibiting via t,2026-04-27T23:12:22Z
CVE-2024-7399,Samsung,MagicINFO 9 Server,Samsung MagicINFO 9 Server Path Traversal Vulnerability,2026-04-24,2026-05-08,Unknown,,Samsung MagicINFO 9 Server contains a path traversal vulnerability that could allow an attacker to write arbitrary files as system authority.,2026-04-27T23:12:22Z
CVE-2024-57728,SimpleHelp ,SimpleHelp,SimpleHelp Path Traversal Vulnerability,2026-04-24,2026-05-08,Unknown,,SimpleHelp contains a path traversal vulnerability that allows admin users to upload arbitrary files anywhere on the file system by uploading a crafted zip file (i.e. zip slip). This can be exploited ,2026-04-27T23:12:22Z
CVE-2024-57726,SimpleHelp ,SimpleHelp,SimpleHelp Missing Authorization Vulnerability,2026-04-24,2026-05-08,Unknown,,SimpleHelp contains a missing authorization vulnerability that could allow low-privileged technicians to create API keys with excessive permissions. These API keys can be used to escalate privileges t,2026-04-27T23:12:22Z
CVE-2026-39987,Marimo,Marimo,Marimo Remote Code Execution Vulnerability,2026-04-23,2026-05-07,Unknown,,"Marimo contains an pre-authorization remote code execution vulnerability, allowing an unauthenticated attacked to shell access and execute arbitrary system commands.",2026-04-27T23:12:22Z
CVE-2026-33825,Microsoft,Defender,Microsoft Defender Insufficient Granularity of Access Control Vulnerability,2026-04-22,2026-05-06,Unknown,MSFT,Microsoft Defender contains an insufficient granularity of access control vulnerability that could allow an authorized attacker to escalate privileges locally.,2026-04-27T23:12:22Z
CVE-2026-20122,Cisco,Catalyst SD-WAN Manger,Cisco Catalyst SD-WAN Manager Incorrect Use of Privileged APIs Vulnerability,2026-04-20,2026-04-23,Unknown,CSCO,Cisco Catalyst SD-WAN Manager contains an incorrect use of privileged APIs vulnerability due to improper file handling on the API interface of an affected system. An attacker could exploit this vulner,2026-04-27T23:12:22Z
CVE-2026-20133,Cisco,Catalyst SD-WAN Manager,Cisco Catalyst SD-WAN Manager Exposure of Sensitive Information to an Unauthorized Actor Vulnerability,2026-04-20,2026-04-23,Unknown,CSCO,Cisco Catalyst SD-WAN Manager contains an exposure of sensitive information to an unauthorized actor vulnerability that could allow remote attackers to view sensitive information on affected systems.,2026-04-27T23:12:22Z
CVE-2025-2749,Kentico,Kentico Xperience,Kentico Xperience Path Traversal Vulnerability,2026-04-20,2026-05-04,Unknown,,Kentico Xperience contains a path traversal vulnerability that could allow an authenticated user's Staging Sync Server to upload arbitrary data to path relative locations.,2026-04-27T23:12:22Z
CVE-2023-27351,PaperCut,NG/MF,PaperCut NG/MF Improper Authentication Vulnerability,2026-04-20,2026-05-04,Known,,PaperCut NG/MF contains an improper authentication vulnerability that could allow remote attackers to bypass authentication on affected installations via the SecurityRequestFilter class.,2026-04-27T23:12:22Z
CVE-2025-48700,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-site Scripting Vulnerability,2026-04-20,2026-04-23,Unknown,,"Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability that could allow attackers to execute arbitrary JavaScript within the user's session, potentially leading to unau",2026-04-27T23:12:22Z
CVE-2026-20128,Cisco,Catalyst SD-WAN Manager,Cisco Catalyst SD-WAN Manager Storing Passwords in a Recoverable Format Vulnerability,2026-04-20,2026-04-23,Unknown,CSCO,"Cisco Catalyst SD-WAN Manager contains a storing passwords in a recoverable format vulnerability that allows an authenticated, local attacker to gain DCA user privileges by accessing a credential file",2026-04-27T23:12:22Z
CVE-2025-32975,Quest,KACE Systems Management Appliance (SMA),Quest KACE Systems Management Appliance (SMA) Improper Authentication Vulnerability,2026-04-20,2026-05-04,Unknown,,Quest KACE Systems Management Appliance (SMA) contains an improper authentication vulnerability that could allow attackers to impersonate legitimate users without valid credentials.,2026-04-27T23:12:22Z
CVE-2024-27199,JetBrains,TeamCity,JetBrains TeamCity Relative Path Traversal Vulnerability,2026-04-20,2026-05-04,Known,,JetBrains TeamCity contains a relative path traversal vulnerability that could allow limited admin actions to be performed.,2026-04-27T23:12:22Z
CVE-2026-34197,Apache,ActiveMQ,Apache ActiveMQ Improper Input Validation Vulnerability,2026-04-16,2026-04-30,Unknown,,Apache ActiveMQ contains an improper input validation vulnerability that allows for code injection.,2026-04-27T23:12:22Z
CVE-2009-0238,Microsoft,Office,Microsoft Office Remote Code Execution,2026-04-14,2026-04-28,Unknown,MSFT,Microsoft Office Excel contains a remote code execution vulnerability that could allow an attacker to take complete control of an affected system if a user opens a specially crafted Excel file that in,2026-04-27T23:12:22Z
CVE-2026-32201,Microsoft,SharePoint Server,Microsoft SharePoint Server Improper Input Validation Vulnerability,2026-04-14,2026-04-28,Unknown,MSFT,Microsoft SharePoint Server contains an improper input validation vulnerability that allows an unauthorized attacker to perform spoofing over a network.,2026-04-27T23:12:22Z
CVE-2012-1854,Microsoft,Visual Basic for Applications (VBA),Microsoft Visual Basic for Applications Insecure Library Loading Vulnerability,2026-04-13,2026-04-27,Unknown,MSFT,Microsoft Visual Basic for Applications (VBA) contains an insecure library loading vulnerability that could allow for remote code execution.,2026-04-27T23:12:22Z
CVE-2025-60710,Microsoft,Windows,Microsoft Windows Link Following Vulnerability,2026-04-13,2026-04-27,Unknown,MSFT,Microsoft Windows contains a link following vulnerability that allows for privilege escalation,2026-04-27T23:12:22Z
CVE-2023-21529,Microsoft,Exchange Server,Microsoft Exchange Server Deserialization of Untrusted Data Vulnerability,2026-04-13,2026-04-27,Known,MSFT,Microsoft Exchange Server contains a deserialization of untrusted data that allows an authenticated attacker to achieve remote code execution.,2026-04-27T23:12:22Z
CVE-2023-36424,Microsoft,Windows,Microsoft Windows Out-of-Bounds Read Vulnerability,2026-04-13,2026-04-27,Unknown,MSFT,Microsoft Windows Common Log File System Driver contains an out-of-bounds read vulnerability that could allow a threat actor for privileges escalation,2026-04-27T23:12:22Z
CVE-2020-9715,Adobe,Acrobat,Adobe Acrobat Use-After-Free Vulnerability,2026-04-13,2026-04-27,Unknown,ADBE,Adobe Acrobat contains a use-after-free vulnerability that allows for code execution,2026-04-27T23:12:22Z
CVE-2026-21643,Fortinet,FortiClient EMS,Fortinet FortiClient EMS SQL Injection Vulnerability,2026-04-13,2026-04-16,Unknown,FTNT,Fortinet FortiClient EMS contains a SQL injection vulnerability that may allow an unauthenticated attacker to execute unauthorized code or commands via specifically crafted HTTP requests.,2026-04-27T23:12:22Z
CVE-2026-34621,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Prototype Pollution Vulnerability,2026-04-13,2026-04-27,Unknown,ADBE,Adobe Acrobat and Reader contain a prototype pollution vulnerability that allows for arbitrary code execution.,2026-04-27T23:12:22Z
CVE-2026-1340,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,2026-04-08,2026-04-11,Unknown,,Ivanti Endpoint Manager Mobile (EPMM) contains a code injection vulnerability that could allow attackers to achieve unauthenticated remote code execution.,2026-04-27T23:12:22Z
CVE-2026-35616,Fortinet,FortiClient EMS,Fortinet FortiClient EMS Improper Access Control Vulnerability,2026-04-06,2026-04-09,Unknown,FTNT,Fortinet FortiClient EMS contains an improper access control vulnerability that may allow an unauthenticated attacker to execute unauthorized code or commands via crafted requests.,2026-04-27T23:12:22Z
CVE-2026-3502,TrueConf,Client,TrueConf Client Download of Code Without Integrity Check Vulnerability,2026-04-02,2026-04-16,Unknown,,TrueConf Client contains a download of code without integrity check vulnerability. An attacker who is able to influence the update delivery path can substitute a tampered update payload. If the payloa,2026-04-27T23:12:22Z
CVE-2026-5281,Google,Dawn,Google Dawn Use-After-Free Vulnerability,2026-04-01,2026-04-15,Unknown,GOOGL,Google Dawn contains an use-after-free vulnerability that could allow a remote attacker who had compromised the renderer process to execute arbitrary code via a crafted HTML page. This vulnerability c,2026-04-27T23:12:22Z
CVE-2026-3055,Citrix,NetScaler,Citrix NetScaler Out-of-Bounds Read Vulnerability,2026-03-30,2026-04-02,Unknown,CTXS,"Citrix NetScaler ADC (formerly Citrix ADC), NetScaler Gateway (formerly Citrix Gateway) and NetScaler ADC FIPS and NDcPP contain an out-of-bounds reads vulnerability when configured as a SAML IDP lead",2026-04-27T23:12:22Z
CVE-2025-53521,F5,BIG-IP,F5 BIG-IP Stack-Based Buffer Overflow Vulnerability,2026-03-27,2026-03-30,Unknown,,F5 BIG-IP APM contains a stack-based buffer overflow vulnerability that could allow a threat actor to achieve remote code execution.,2026-04-27T23:12:22Z
CVE-2026-33634,Aquasecurity,Trivy,Aquasecurity Trivy Embedded Malicious Code Vulnerability,2026-03-26,2026-04-09,Unknown,,"Aquasecurity Trivy contains an embedded malicious code vulnerability that could allow an attacker to gain access to everything in the CI/CD environment, including all tokens, SSH keys, cloud credentia",2026-04-27T23:12:22Z
CVE-2026-33017,Langflow,Langflow,Langflow Code Injection Vulnerability,2026-03-25,2026-04-08,Unknown,,Langflow contains a code injection vulnerability that could allow building public flows without requiring authentication.,2026-04-27T23:12:22Z
CVE-2025-32432,Craft CMS,Craft CMS,Craft CMS Code Injection Vulnerability,2026-03-20,2026-04-03,Unknown,,Craft CMS contains a code injection vulnerability that allows a remote attacker to execute arbitrary code.,2026-04-27T23:12:22Z
