date,kind,title,summary,url,captured_at
2026-04-27,other,Strategic review of CMA markets remedies,The Competition and Markets Authority (CMA) is reviewing 33 markets remedies to assess whether they should be removed or amended.,,2026-04-27T22:54:19Z
2026-04-27,merger,ABF / Hovis merger inquiry,The Competition and Markets Authority (CMA) is investigating the anticipated acquisition by Associated British Foods plc (through ABF Grain Products Limited) of Hovis Group Limited.,,2026-04-27T22:54:19Z
2026-04-24,other,Transparency and disclosure: updating our general guidance,The Competition and Markets Authority (CMA) is consulting on updates to its general guidance on transparency and disclosure.,,2026-04-27T22:54:19Z
2026-04-24,other,"Transparency data: CMA: senior officials' business expenses, Q2 2025 to 2026",Data on senior officials’ business expenses.,,2026-04-27T22:54:19Z
2026-04-24,other,"Transparency data: CMA: spending over £25,000, March 2026","Reports on departmental spending over £25,000.",,2026-04-27T22:54:19Z
2026-04-24,other,"Transparency data: CMA: spending over £500, March 2026","Spending by electronic purchasing card solution (ePCS), over £500.",,2026-04-27T22:54:19Z
2026-04-24,merger,Hays / Polka Dot and Hays / Millington merger inquiries,The Competition and Markets Authority (CMA) investigated the completed acquisitions by Hays Travel Limited of Polka Dot Travel Limited and The Independent Travel Company Limited (trading as Millington,,2026-04-27T22:54:19Z
2026-04-23,merger,LB Group / Venator UK (TiO2 assets) merger inquiry,"The Competition and Markets Authority (CMA) investigated the anticipated acquisition by LB Group Co., Ltd of titanium dioxide (TiO2) business-related assets of Venator Materials UK Limited (in adminis",,2026-04-27T22:54:19Z
2026-04-23,merger,nexfibre / Substantial merger inquiry,"The Competition and Markets Authourity (CMA) is seeking views on the anticipated acquisition by Liberty Global, Telefónica and InfraVia, through their joint venture nexfibre, of Substantial (including",,2026-04-27T22:54:19Z
2026-04-23,merger,eBay / Depop merger inquiry,The Competition and Markets Authority (CMA) is seeking views on the anticipated acquisition by eBay Inc. of Depop Limited.,,2026-04-27T22:54:19Z
2026-04-22,other,Corporate report: Competition Act 1998 directions and commitments register,Register of directions and commitments that are currently in force.,,2026-04-27T22:54:19Z
2026-04-22,other,Competition and scaling: Tech.eu Summit London 2026,"A speech by Jessica Lennard, CMA Chief Strategy & External Affairs Officer.",,2026-04-27T22:54:19Z
2026-04-22,merger,Vandemoortele / Délifrance merger inquiry,The Competition and Markets Authority (CMA) is investigating the completed acquisition by Vandemoortele Group of Délifrance S.A.,,2026-04-27T22:54:19Z
2026-04-22,other,Review of Vandemoortele / Délifrance deal moves to in-depth investigation,Referral to phase 2 comes after period to resolve concerns has expired.,,2026-04-27T22:54:19Z
2026-04-21,merger,Daily Mail and General Trust plc / Telegraph Media Group merger inquiry,The Competition and Markets Authority (CMA) is investigating the anticipated acquisition by Daily Mail and General Trust plc of Telegraph Media Group Holdings Limited.,,2026-04-27T22:54:19Z
2026-04-21,merger,Seras / Enva (dedicated waste wood business) merger inquiry,The Competition and Markets Authority (CMA) is seeking views on the anticipated acquisition by Seras Energy Ltd of G.I. Hadfield & Son Limited.,,2026-04-27T22:54:19Z
2026-04-21,merger,LDC / Green Label merger inquiry,The Competition and Markets Authority (CMA) is investigating the completed acquisition by Société LDC SA of Green Label Holdings Limited.,,2026-04-27T22:54:19Z
2026-04-17,merger,GXO / Wincanton merger inquiry,"The Competition and Markets Authority (CMA) is investigating the completed acquisition by GXO Logistics, Inc. of Wincanton Plc.",,2026-04-27T22:54:19Z
2026-04-17,other,CMA appoints new non-executive directors,CMA welcomes newly appointed non-executive directors to the board.,,2026-04-27T22:54:19Z
2026-04-16,subsidy,Referral of the proposed subsidy to EP Lynemouth Power Limited by the Department for Energy Security and Net Zero,The Subsidy Advice Unit (SAU) has accepted a request for a report providing advice to the Department for Energy Security and Net Zero (DESNZ) concerning its proposed subsidy to EP Lynemouth Power Limi,,2026-04-27T22:54:19Z
