pair,usd_rate,inverse_usd,priority,captured_at
ADA,4.049402713,0.24695,1,2026-04-27T23:11:04Z
AED,3.672533333,0.2722916062,1,2026-04-27T23:11:04Z
ARS,1420,0.0007042253521,1,2026-04-27T23:11:04Z
ATOM,0.5037783375,1.985,1,2026-04-27T23:11:04Z
AUD,1.391266667,0.7187694667,1,2026-04-27T23:11:04Z
AVAX,0.108401084,9.225,1,2026-04-27T23:11:04Z
BCH,0.002230773521,448.275,1,2026-04-27T23:11:04Z
BRL,4.992516667,0.200299782,1,2026-04-27T23:11:04Z
BTC,1.298383026e-05,77018.875,1,2026-04-27T23:11:04Z
CAD,1.362429994,0.7339826664,1,2026-04-27T23:11:04Z
CHF,0.7853636655,1.273295473,1,2026-04-27T23:11:04Z
CLP,893.5260765,0.001119161518,1,2026-04-27T23:11:04Z
CNY,6.823676667,0.1465485616,1,2026-04-27T23:11:04Z
COP,3607.459106,0.0002772034195,1,2026-04-27T23:11:04Z
CZK,20.7756,0.04813338725,1,2026-04-27T23:11:04Z
DAI,1,1,1,2026-04-27T23:11:04Z
DKK,6.37418,0.1568829245,1,2026-04-27T23:11:04Z
DOGE,10.13736124,0.098645,1,2026-04-27T23:11:04Z
DOT,0.814995925,1.227,1,2026-04-27T23:11:04Z
EGP,52.547382,0.0190304438,1,2026-04-27T23:11:04Z
ETH,0.0004364553713,2291.185,1,2026-04-27T23:11:04Z
EUR,0.8530153333,1.172311869,1,2026-04-27T23:11:04Z
FIL,1.092896175,0.915,1,2026-04-27T23:11:04Z
GBP,0.7387441945,1.35364854,1,2026-04-27T23:11:04Z
HKD,7.83707,0.1275987072,1,2026-04-27T23:11:04Z
HUF,310.7845375,0.003217663298,1,2026-04-27T23:11:04Z
ICP,0.4156275977,2.406,1,2026-04-27T23:11:04Z
IDR,17208.78503,5.810985485e-05,1,2026-04-27T23:11:04Z
ILS,2.976435,0.3359723965,1,2026-04-27T23:11:04Z
INR,94.23743977,0.01061149372,1,2026-04-27T23:11:04Z
JPY,159.3858333,0.00627408333,1,2026-04-27T23:11:04Z
KRW,1473.997366,0.0006784272637,1,2026-04-27T23:11:04Z
LINK,0.1080263584,9.257,1,2026-04-27T23:11:04Z
LTC,0.01805217077,55.395,1,2026-04-27T23:11:04Z
MATIC,10.84598698,0.0922,1,2026-04-27T23:11:04Z
MXN,17.381433,0.05753265568,1,2026-04-27T23:11:04Z
MYR,3.9525,0.2530044276,1,2026-04-27T23:11:04Z
NOK,9.289102,0.1076530326,1,2026-04-27T23:11:04Z
NZD,1.692056667,0.5909967554,1,2026-04-27T23:11:04Z
PEN,3.498916333,0.2858027757,1,2026-04-27T23:11:04Z
PHP,60.75106524,0.01646061672,1,2026-04-27T23:11:04Z
PLN,3.622157486,0.2760785537,1,2026-04-27T23:11:04Z
PYUSD,1,1,1,2026-04-27T23:11:04Z
RUB,74.87476667,0.01335563427,1,2026-04-27T23:11:04Z
SAR,3.7508,0.2666097899,1,2026-04-27T23:11:04Z
SEK,9.214308333,0.1085268654,1,2026-04-27T23:11:04Z
SGD,1.274401665,0.7846819631,1,2026-04-27T23:11:04Z
SOL,0.01184202736,84.445,1,2026-04-27T23:11:04Z
THB,32.3737465,0.03088922686,1,2026-04-27T23:11:04Z
TRY,45.03166633,0.02220659552,1,2026-04-27T23:11:04Z
TWD,31.47099933,0.03177528586,1,2026-04-27T23:11:04Z
UNI,0.3094059406,3.232,1,2026-04-27T23:11:04Z
USDC,1,1,1,2026-04-27T23:11:04Z
USDT,0.999955002,1.000045,1,2026-04-27T23:11:04Z
VES,484.2197267,0.002065178151,1,2026-04-27T23:11:04Z
XAG,0.01317279,75.91406224,1,2026-04-27T23:11:04Z
XAU,0.000213304,4688.14462,1,2026-04-27T23:11:04Z
XLM,6.042551649,0.165493,1,2026-04-27T23:11:04Z
XPD,0.0006798838873,1470.839387,1,2026-04-27T23:11:04Z
XPT,0.0005036115164,1985.657531,1,2026-04-27T23:11:04Z
XRP,0.7161015432,1.39645,1,2026-04-27T23:11:04Z
ZAR,16.538605,0.06046459179,1,2026-04-27T23:11:04Z
00,224.7191011,0.00445,0,2026-04-27T23:11:04Z
1INCH,10.52631579,0.095,0,2026-04-27T23:11:04Z
2Z,11.64618878,0.085865,0,2026-04-27T23:11:04Z
A8,102.5641026,0.00975,0,2026-04-27T23:11:04Z
AAVE,0.01026694045,97.4,0,2026-04-27T23:11:04Z
ABT,3.080240259,0.32465,0,2026-04-27T23:11:04Z
ACH,136.0729351,0.007349,0,2026-04-27T23:11:04Z
ACS,5635.390251,0.00017745,0,2026-04-27T23:11:04Z
ACX,22.75312856,0.04395,0,2026-04-27T23:11:04Z
AERGO,17.40644038,0.05745,0,2026-04-27T23:11:04Z
AERO,2.201479394,0.45424,0,2026-04-27T23:11:04Z
AFN,62.92786567,0.01589121114,0,2026-04-27T23:11:04Z
AGLD,3.839508543,0.26045,0,2026-04-27T23:11:04Z
AIOZ,16.38001638,0.06105,0,2026-04-27T23:11:04Z
AKT,2.089864159,0.4785,0,2026-04-27T23:11:04Z
ALCX,0.1912045889,5.23,0,2026-04-27T23:11:04Z
ALEO,21.90580504,0.04565,0,2026-04-27T23:11:04Z
ALEPH,57.11022273,0.01751,0,2026-04-27T23:11:04Z
ALGO,8.635578584,0.1158,0,2026-04-27T23:11:04Z
ALICE,6.968641115,0.1435,0,2026-04-27T23:11:04Z
ALL,81.46779542,0.01227478901,0,2026-04-27T23:11:04Z
ALLO,9.242144177,0.1082,0,2026-04-27T23:11:04Z
ALT,132.8021248,0.00753,0,2026-04-27T23:11:04Z
AMD,371.303816,0.002693212288,0,2026-04-27T23:11:04Z
AMP,1075.268817,0.00093,0,2026-04-27T23:11:04Z
ANG,1.79,0.5586592179,0,2026-04-27T23:11:04Z
ANKR,199.8001998,0.005005,0,2026-04-27T23:11:04Z
ANT,15.34428027,0.06517086383,0,2026-04-27T23:11:04Z
AOA,918,0.001089324619,0,2026-04-27T23:11:04Z
APE,7.067137809,0.1415,0,2026-04-27T23:11:04Z
API3,3.053435115,0.3275,0,2026-04-27T23:11:04Z
APR,5.66893424,0.1764,0,2026-04-27T23:11:04Z
APT,1.039663149,0.96185,0,2026-04-27T23:11:04Z
ARB,7.945967422,0.12585,0,2026-04-27T23:11:04Z
ARKM,8.733624454,0.1145,0,2026-04-27T23:11:04Z
ARPA,101.5228426,0.00985,0,2026-04-27T23:11:04Z
ARSMEP,1459.335,0.0006852436212,0,2026-04-27T23:11:04Z
ASM,150.1501502,0.00666,0,2026-04-27T23:11:04Z
AST,153.8461538,0.0065,0,2026-04-27T23:11:04Z
ASTER,1.55159038,0.6445,0,2026-04-27T23:11:04Z
ATA,102.6212735,0.009744568213,0,2026-04-27T23:11:04Z
ATH,171.6738197,0.005825,0,2026-04-27T23:11:04Z
AUCTION,0.2100840336,4.76,0,2026-04-27T23:11:04Z
AUDD,1.388021376,0.72045,0,2026-04-27T23:11:04Z
AUDIO,50.37783375,0.01985,0,2026-04-27T23:11:04Z
AURORA,37.59398496,0.0266,0,2026-04-27T23:11:04Z
AVNT,6.455777921,0.1549,0,2026-04-27T23:11:04Z
AVT,1.801801802,0.555,0,2026-04-27T23:11:04Z
AWG,1.8025,0.5547850208,0,2026-04-27T23:11:04Z
AXL,18.0342651,0.05545,0,2026-04-27T23:11:04Z
AXS,0.6925207756,1.444,0,2026-04-27T23:11:04Z
AZN,1.7,0.5882352941,0,2026-04-27T23:11:04Z
AZTEC,48.57906242,0.020585,0,2026-04-27T23:11:04Z
B3,3824.091778,0.0002615,0,2026-04-27T23:11:04Z
BADGER,2.204099625,0.4537,0,2026-04-27T23:11:04Z
BAL,6.677796327,0.14975,0,2026-04-27T23:11:04Z
BAM,1.668448499,0.5993592254,0,2026-04-27T23:11:04Z
BAND,4.454342984,0.2245,0,2026-04-27T23:11:04Z
BARD,3.516792685,0.28435,0,2026-04-27T23:11:04Z
BASED1,7.220216606,0.1385,0,2026-04-27T23:11:04Z
BAT,9.76610186,0.102395,0,2026-04-27T23:11:04Z
BBD,2,0.5,0,2026-04-27T23:11:04Z
BDT,123.2484889,0.008113689739,0,2026-04-27T23:11:04Z
BEAM,504.2864347,0.001983,0,2026-04-27T23:11:04Z
BERA,2.699055331,0.3705,0,2026-04-27T23:11:04Z
BGN,1.6684225,0.5993685653,0,2026-04-27T23:11:04Z
BHD,0.3773744994,2.649887582,0,2026-04-27T23:11:04Z
BICO,37.31343284,0.0268,0,2026-04-27T23:11:04Z
BIF,2977.519169,0.0003358500628,0,2026-04-27T23:11:04Z
BIGTIME,74.68259895,0.01339,0,2026-04-27T23:11:04Z
BIO,35.75259206,0.02797,0,2026-04-27T23:11:04Z
BIRB,7.202016565,0.13885,0,2026-04-27T23:11:04Z
BIT,1.642420305,0.6088575483,0,2026-04-27T23:11:04Z
BLAST,1980.19802,0.000505,0,2026-04-27T23:11:04Z
BLEND,10.89918256,0.09175,0,2026-04-27T23:11:04Z
BLUR,35.21126761,0.0284,0,2026-04-27T23:11:04Z
BLZ,103.0396703,0.009705,0,2026-04-27T23:11:04Z
BMD,1,1,0,2026-04-27T23:11:04Z
BNB,0.001601665732,624.35,0,2026-04-27T23:11:04Z
BND,1.275077096,0.7842663027,0,2026-04-27T23:11:04Z
BNKR,3211.819496,0.00031135,0,2026-04-27T23:11:04Z
BNT,3.154076644,0.31705,0,2026-04-27T23:11:04Z
BOB,6.929068667,0.1443195396,0,2026-04-27T23:11:04Z
BOBA,43.76367615,0.02285,0,2026-04-27T23:11:04Z
BOBBOB,173.6111111,0.00576,0,2026-04-27T23:11:04Z
BOND,24.87638608,0.04019876508,0,2026-04-27T23:11:04Z
BONK,161420.5004,6.195e-06,0,2026-04-27T23:11:04Z
BREV,8.250825083,0.1212,0,2026-04-27T23:11:04Z
BSD,1,1,0,2026-04-27T23:11:04Z
BSV,0.06388449431,15.65325062,0,2026-04-27T23:11:04Z
BTN,94.296387,0.01060486018,0,2026-04-27T23:11:04Z
BTRST,14.90868431,0.067075,0,2026-04-27T23:11:04Z
BUSD,1.002331619,0.9976738045,0,2026-04-27T23:11:04Z
BWP,13.4914335,0.07412110803,0,2026-04-27T23:11:04Z
BYN,2.8141815,0.3553431078,0,2026-04-27T23:11:04Z
BYR,28141.8,3.553432972e-05,0,2026-04-27T23:11:04Z
BZD,2.0167975,0.4958356007,0,2026-04-27T23:11:04Z
C98,45.87155963,0.0218,0,2026-04-27T23:11:04Z
CAKE,0.666000666,1.5015,0,2026-04-27T23:11:04Z
CBETH,0.0003873304219,2581.775,0,2026-04-27T23:11:04Z
CDF,2328.077385,0.0004295389863,0,2026-04-27T23:11:04Z
CELR,361.0108303,0.00277,0,2026-04-27T23:11:04Z
CFG,4.912797838,0.20355,0,2026-04-27T23:11:04Z
CGLD,11.23595506,0.089,0,2026-04-27T23:11:04Z
CHECK,43.75410195,0.022855,0,2026-04-27T23:11:04Z
CHIP,13.41651573,0.074535,0,2026-04-27T23:11:04Z
CHZ,19.98001998,0.05005,0,2026-04-27T23:11:04Z
CLANKER,0.04085801839,24.475,0,2026-04-27T23:11:04Z
CLF,0.02272364762,44.00701932,0,2026-04-27T23:11:04Z
CLV,270.5376056,0.003696343796,0,2026-04-27T23:11:04Z
CNH,6.825043497,0.1465192127,0,2026-04-27T23:11:04Z
COMP,0.04267121826,23.435,0,2026-04-27T23:11:04Z
COOKIE,60.90133983,0.01642,0,2026-04-27T23:11:04Z
CORECHAIN,25.80645161,0.03875,0,2026-04-27T23:11:04Z
COSMOSDYDX,6.379585327,0.15675,0,2026-04-27T23:11:04Z
COTI,71.94244604,0.0139,0,2026-04-27T23:11:04Z
COVAL,6861.428262,0.000145742251,0,2026-04-27T23:11:04Z
COW,5.349023803,0.18695,0,2026-04-27T23:11:04Z
CRC,454.5467082,0.002199993932,0,2026-04-27T23:11:04Z
CRO,14.35647118,0.069655,0,2026-04-27T23:11:04Z
CRPT,61.76499933,0.01619039927,0,2026-04-27T23:11:04Z
CRV,4.341219883,0.23035,0,2026-04-27T23:11:04Z
CTSI,30.91190108,0.03235,0,2026-04-27T23:11:04Z
CTX,2.450379809,0.4081,0,2026-04-27T23:11:04Z
CUC,1,1,0,2026-04-27T23:11:04Z
CUP,25.375,0.039408867,0,2026-04-27T23:11:04Z
CVC,32.20611916,0.03105,0,2026-04-27T23:11:04Z
CVE,94.0908405,0.01062802707,0,2026-04-27T23:11:04Z
CVX,0.5763688761,1.735,0,2026-04-27T23:11:04Z
DAR,77.52633686,0.01289884239,0,2026-04-27T23:11:04Z
DASH,0.0282366229,35.415,0,2026-04-27T23:11:04Z
DBR,73.71913011,0.013565,0,2026-04-27T23:11:04Z
DDX,19.166347,0.05217478322,0,2026-04-27T23:11:04Z
DEEP,33.33333333,0.03,0,2026-04-27T23:11:04Z
DEGEN,1472.75405,0.000679,0,2026-04-27T23:11:04Z
DESO,0.2119083943,4.719020233,0,2026-04-27T23:11:04Z
DEXT,7.961783439,0.1256,0,2026-04-27T23:11:04Z
DIA,5.27648797,0.18952,0,2026-04-27T23:11:04Z
DIEM,0.0008980086658,1113.575,0,2026-04-27T23:11:04Z
DIMO,81.00445525,0.012345,0,2026-04-27T23:11:04Z
DJF,178.0750147,0.005615610935,0,2026-04-27T23:11:04Z
DNT,125.7861635,0.00795,0,2026-04-27T23:11:04Z
DOGINME,10604.45387,9.43e-05,0,2026-04-27T23:11:04Z
DOLO,28.62049227,0.03494,0,2026-04-27T23:11:04Z
DOOD,303.8128513,0.0032915,0,2026-04-27T23:11:04Z
DOP,59.4037376,0.0168339576,0,2026-04-27T23:11:04Z
DRIFT,28.98550725,0.0345,0,2026-04-27T23:11:04Z
DYP,448.7403849,0.002228460004,0,2026-04-27T23:11:04Z
DZD,132.4477127,0.007550149262,0,2026-04-27T23:11:04Z
EDGE,9.179364788,0.10894,0,2026-04-27T23:11:04Z
EDGEX,0.7531538317,1.32775,0,2026-04-27T23:11:04Z
EGLD,0.2378121284,4.205,0,2026-04-27T23:11:04Z
EIGEN,5.633802817,0.1775,0,2026-04-27T23:11:04Z
ELA,2.333722287,0.4285,0,2026-04-27T23:11:04Z
ELSA,14.47178003,0.0691,0,2026-04-27T23:11:04Z
ENA,9.367681499,0.10675,0,2026-04-27T23:11:04Z
ENJ,16.65275137,0.06005013693,0,2026-04-27T23:11:04Z
ENS,0.1650165017,6.06,0,2026-04-27T23:11:04Z
EOS,11.34991414,0.08810639341,0,2026-04-27T23:11:04Z
ERA,6.903693476,0.14485,0,2026-04-27T23:11:04Z
ERN,31.03532401,0.0322213488,0,2026-04-27T23:11:04Z
ESP,14.72970982,0.06789,0,2026-04-27T23:11:04Z
ETB,157.1063333,0.006365115771,0,2026-04-27T23:11:04Z
ETC,0.1195457262,8.365,0,2026-04-27T23:11:04Z
ETH2,0.0004364763266,2291.075,0,2026-04-27T23:11:04Z
ETHFI,2.322880372,0.4305,0,2026-04-27T23:11:04Z
EUL,0.7202016565,1.3885,0,2026-04-27T23:11:04Z
EURC,0.8531272996,1.172158013,0,2026-04-27T23:11:04Z
FAI,345.4231434,0.002895,0,2026-04-27T23:11:04Z
FARM,0.08528784648,11.725,0,2026-04-27T23:11:04Z
FARTCOIN,4.992511233,0.2003,0,2026-04-27T23:11:04Z
FET,4.853190973,0.20605,0,2026-04-27T23:11:04Z
FIDA,59.17159763,0.0169,0,2026-04-27T23:11:04Z
FIGHT,258.3979328,0.00387,0,2026-04-27T23:11:04Z
FIS,93.89671362,0.01065,0,2026-04-27T23:11:04Z
FJD,2.1945,0.4556846662,0,2026-04-27T23:11:04Z
FKP,0.7387405,1.353655309,0,2026-04-27T23:11:04Z
FLOCK,16.36661211,0.0611,0,2026-04-27T23:11:04Z
FLOKI,31201.24805,3.205e-05,0,2026-04-27T23:11:04Z
FLOW,26.2605042,0.03808,0,2026-04-27T23:11:04Z
FLR,129.7858533,0.007705,0,2026-04-27T23:11:04Z
FLUID,0.5854800937,1.708,0,2026-04-27T23:11:04Z
FORT,67.56756757,0.0148,0,2026-04-27T23:11:04Z
FORTH,4.130524577,0.2421,0,2026-04-27T23:11:04Z
FOX,166.5278934,0.006005,0,2026-04-27T23:11:04Z
FTM,22.80925005,0.0438418623,0,2026-04-27T23:11:04Z
FUN1,22.16312057,0.04512,0,2026-04-27T23:11:04Z
G,273.2240437,0.00366,0,2026-04-27T23:11:04Z
GAL,3.024744654,0.3306064196,0,2026-04-27T23:11:04Z
GALA,304.2360385,0.003286921579,0,2026-04-27T23:11:04Z
GEL,2.685333333,0.3723932473,0,2026-04-27T23:11:04Z
GFI,7.874015748,0.127,0,2026-04-27T23:11:04Z
GGP,0.7387393046,1.3536575,0,2026-04-27T23:11:04Z
GHS,11.11078167,0.09000266858,0,2026-04-27T23:11:04Z
GHST,13.60544218,0.0735,0,2026-04-27T23:11:04Z
GIGA,576.3688761,0.001735,0,2026-04-27T23:11:04Z
GIP,0.7387392916,1.353657523,0,2026-04-27T23:11:04Z
GLM,7.457121551,0.1341,0,2026-04-27T23:11:04Z
GMD,73.1450005,0.01367147438,0,2026-04-27T23:11:04Z
GMT,86.95652174,0.0115,0,2026-04-27T23:11:04Z
GNF,8792.081108,0.0001137387142,0,2026-04-27T23:11:04Z
GNO,0.008124466832,123.085,0,2026-04-27T23:11:04Z
GODS,26.51816494,0.03771,0,2026-04-27T23:11:04Z
GRT,40.73319756,0.02455,0,2026-04-27T23:11:04Z
GST,611.4338123,0.0016355,0,2026-04-27T23:11:04Z
GTC,10.2145046,0.0979,0,2026-04-27T23:11:04Z
GTQ,7.652126112,0.1306826345,0,2026-04-27T23:11:04Z
GUSD,1.000083215,0.9999167921,0,2026-04-27T23:11:04Z
GWEI,10.50293294,0.0952115,0,2026-04-27T23:11:04Z
GYD,209.649257,0.004769871424,0,2026-04-27T23:11:04Z
GYEN,159.0037922,0.006289158179,0,2026-04-27T23:11:04Z
HBAR,11.16382919,0.089575,0,2026-04-27T23:11:04Z
HFT,68.72852234,0.01455,0,2026-04-27T23:11:04Z
HIGH,4.4345898,0.2255,0,2026-04-27T23:11:04Z
HNL,26.6207535,0.03756467675,0,2026-04-27T23:11:04Z
HNT,1.008572869,0.9915,0,2026-04-27T23:11:04Z
HOME,64.55777921,0.01549,0,2026-04-27T23:11:04Z
HONEY,476.1904762,0.0021,0,2026-04-27T23:11:04Z
HOPR,45.76659039,0.02185,0,2026-04-27T23:11:04Z
HRK,6.42732,0.1555858429,0,2026-04-27T23:11:04Z
HTG,131.1333115,0.007625827401,0,2026-04-27T23:11:04Z
HYPE,0.0241516725,41.405,0,2026-04-27T23:11:04Z
HYPER,8.278145695,0.1208,0,2026-04-27T23:11:04Z
ICNT,2.68708854,0.37215,0,2026-04-27T23:11:04Z
IDEX,444.4444444,0.00225,0,2026-04-27T23:11:04Z
ILV,0.207253886,4.825,0,2026-04-27T23:11:04Z
IMP,0.7387393046,1.3536575,0,2026-04-27T23:11:04Z
IMU,405.6795132,0.002465,0,2026-04-27T23:11:04Z
IMX,5.954153022,0.16795,0,2026-04-27T23:11:04Z
INDEX,3.921568627,0.255,0,2026-04-27T23:11:04Z
INJ,0.2810962755,3.5575,0,2026-04-27T23:11:04Z
INV,0.06512536633,15.355,0,2026-04-27T23:11:04Z
INX,101.1531459,0.009886,0,2026-04-27T23:11:04Z
IO,8.510638298,0.1175,0,2026-04-27T23:11:04Z
IOTX,91.11617312,0.010975,0,2026-04-27T23:11:04Z
IP,1.926782274,0.519,0,2026-04-27T23:11:04Z
IQD,1312.741334,0.0007617646935,0,2026-04-27T23:11:04Z
IRR,1315000,7.604562738e-07,0,2026-04-27T23:11:04Z
IRYS,27.54062242,0.03631,0,2026-04-27T23:11:04Z
ISK,122.3325,0.008174442605,0,2026-04-27T23:11:04Z
