bucket,rank,coin_id,symbol,name,price_usd,market_cap,volume_24h,change_24h,change_7d,captured_at
top50,1,bitcoin,BTC,Bitcoin,77030,1542919547160,40341750834,-1.733,1.365,2026-04-27T23:11:23Z
top50,2,ethereum,ETH,Ethereum,2291.89,276755805013,17197121405,-2.939,-1.219,2026-04-27T23:11:23Z
top50,3,tether,USDT,Tether,0.999959,189757977076,67258640223,-0.016,-0.029,2026-04-27T23:11:23Z
top50,4,ripple,XRP,XRP,1.4,86219555696,2172555922,-2.158,-2.332,2026-04-27T23:11:23Z
top50,5,binancecoin,BNB,BNB,624.34,84180516237,1054439273,-1.691,-0.978,2026-04-27T23:11:23Z
top50,6,usd-coin,USDC,USDC,0.999859,77609889090,14386927759,0.002,0.006,2026-04-27T23:11:23Z
top50,7,solana,SOL,Solana,84.47,48667082317,3986714645,-2.603,-1.560,2026-04-27T23:11:23Z
top50,8,tron,TRX,TRON,0.325339,30840092661,471007920,0.556,-0.932,2026-04-27T23:11:23Z
top50,9,figure-heloc,FIGR_HELOC,Figure Heloc,1.031,17627082991,23762894,1.236,0.012,2026-04-27T23:11:23Z
top50,10,dogecoin,DOGE,Dogecoin,0.098653,15199131837,1483404917,-0.347,3.092,2026-04-27T23:11:23Z
top50,11,whitebit,WBT,WhiteBIT Coin,54.47,11626496274,77967265,-1.733,-0.998,2026-04-27T23:11:23Z
top50,12,usds,USDS,USDS,0.999236,11021109583,19762326,-0.051,-0.055,2026-04-27T23:11:23Z
top50,13,hyperliquid,HYPE,Hyperliquid,41.41,9875858533,276825428,-2.118,1.399,2026-04-27T23:11:23Z
top50,14,leo-token,LEO,LEO Token,10.36,9535174781,532208,-0.032,0.631,2026-04-27T23:11:23Z
top50,15,cardano,ADA,Cardano,0.247022,9134745620,364683066,-1.853,-1.042,2026-04-27T23:11:23Z
top50,16,bitcoin-cash,BCH,Bitcoin Cash,448.39,8983565692,173663892,-1.312,0.888,2026-04-27T23:11:23Z
top50,17,monero,XMR,Monero,382.89,7063822007,133183733,-2.427,8.441,2026-04-27T23:11:23Z
top50,18,chainlink,LINK,Chainlink,9.26,6735213572,246980478,-2.205,-0.762,2026-04-27T23:11:23Z
top50,19,zcash,ZEC,Zcash,353.04,5893587619,503407536,-0.701,11.646,2026-04-27T23:11:23Z
top50,20,canton-network,CC,Canton,0.147428,5661733618,7127875,-1.867,-6.867,2026-04-27T23:11:23Z
top50,21,stellar,XLM,Stellar,0.165465,5508189604,123420882,-3.143,-4.892,2026-04-27T23:11:23Z
top50,22,memecore,M,MemeCore,3.69,4780621731,18694203,-14.574,5.058,2026-04-27T23:11:23Z
top50,23,usd1-wlfi,USD1,USD1,1,4418429129,897339885,0.013,0.024,2026-04-27T23:11:23Z
top50,24,dai,DAI,Dai,0.999708,4412953741,13846939,-0.003,0.013,2026-04-27T23:11:23Z
top50,25,litecoin,LTC,Litecoin,55.4,4271670270,321149914,-1.438,0.638,2026-04-27T23:11:23Z
top50,26,avalanche-2,AVAX,Avalanche,9.22,3982145772,209242051,-2.376,-1.431,2026-04-27T23:11:23Z
top50,27,hedera-hashgraph,HBAR,Hedera,0.089591,3887176505,68550977,-2.837,-0.063,2026-04-27T23:11:23Z
top50,28,ethena-usde,USDE,Ethena USDe,0.999209,3750494593,115733282,-0.012,-0.036,2026-04-27T23:11:23Z
top50,29,sui,SUI,Sui,0.929273,3675595166,338269334,-1.533,-2.334,2026-04-27T23:11:23Z
top50,30,shiba-inu,SHIB,Shiba Inu,6.11e-06,3603654343,97003800,-1.464,1.307,2026-04-27T23:11:23Z
top50,31,paypal-usd,PYUSD,PayPal USD,0.999709,3427823637,57189223,-0.024,-0.015,2026-04-27T23:11:23Z
top50,32,rain,RAIN,Rain,0.00714297,3414507200,13181813,-4.286,-5.578,2026-04-27T23:11:23Z
top50,33,the-open-network,TON,Toncoin,1.3,3249198208,212181421,-1.030,-2.873,2026-04-27T23:11:23Z
top50,34,crypto-com-chain,CRO,Cronos,0.069681,3034436469,10961024,-0.691,-0.816,2026-04-27T23:11:23Z
top50,35,hashnote-usyc,USYC,Circle USYC,1.12,2919603241,5,-0.009,0.133,2026-04-27T23:11:23Z
top50,36,tether-gold,XAUT,Tether Gold,4681.41,2621120146,122830164,0.082,-2.508,2026-04-27T23:11:23Z
top50,37,global-dollar,USDG,Global Dollar,0.999778,2422175732,44923125,-0.009,0.008,2026-04-27T23:11:23Z
top50,38,bittensor,TAO,Bittensor,247.21,2372461822,143944729,-1.633,0.419,2026-04-27T23:11:23Z
top50,39,world-liberty-financial,WLFI,World Liberty Financial,0.07236,2297748853,59907169,-3.415,-8.154,2026-04-27T23:11:23Z
top50,40,blackrock-usd-institutional-digi,BUIDL,BlackRock USD Institutional Digi,1,2270201348,0,0.000,0.000,2026-04-27T23:11:23Z
top50,41,pax-gold,PAXG,PAX Gold,4679.13,2253212418,115043146,0.067,-2.658,2026-04-27T23:11:23Z
