ticker,total_score,sec_score,news_score,gapper_score,value_score,moat_score,news_hits,best_news_recency_min,sector_tags,event_tags
TV,31.364,0.000,39.205,0.000,0.000,0.000,7,169.2,semis_ai,
BRO,28.422,21.000,9.277,21.000,10.000,0.000,1,118.2,,
LU,27.734,17.000,13.417,17.000,9.000,0.000,1,42.2,semis_ai,
ARE,23.000,23.000,0.000,23.000,18.000,18.000,0,999999.0,,
GABC,21.000,21.000,0.000,21.000,13.000,0.000,0,999999.0,,
CDP,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
SUI,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
CI,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
IPOD,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
FBK,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
UHT,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
KRC,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
CME,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
FDBC,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
LC,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
FGBIP,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
KVAC,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
CORZZ,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
TRUP,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
VTR,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
FSUN,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
BPRN,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
KINS,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
CBSH,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
PFBX,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
CBNK,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
SLMBP,21.000,21.000,0.000,21.000,10.000,0.000,0,999999.0,,
