reporter,partner,year,flow,hs_chapter,trade_value_usd,net_weight_kg,captured_at
US,China,2025,export,TOTAL,106308380310.00,0,2026-04-27T23:13:54Z
US,China,2025,import,TOTAL,327476103023.00,0,2026-04-27T23:13:54Z
US,Mexico,2025,export,TOTAL,337959037089.00,0,2026-04-27T23:13:54Z
US,Mexico,2025,import,TOTAL,538964388905.00,0,2026-04-27T23:13:54Z
US,Canada,2025,export,TOTAL,329654326225.00,0,2026-04-27T23:13:54Z
US,Canada,2025,import,TOTAL,392443738273.00,0,2026-04-27T23:13:54Z
US,Germany,2025,export,TOTAL,82687836590.00,0,2026-04-27T23:13:54Z
US,Germany,2025,import,TOTAL,159021785251.00,0,2026-04-27T23:13:54Z
US,UK,2025,export,TOTAL,96802050470.00,0,2026-04-27T23:13:54Z
US,UK,2025,import,TOTAL,65555761475.00,0,2026-04-27T23:13:54Z
US,Japan,2025,export,TOTAL,82028269860.00,0,2026-04-27T23:13:54Z
US,Japan,2025,import,TOTAL,149810349187.00,0,2026-04-27T23:13:54Z
US,Korea,2025,export,TOTAL,68793962527.00,0,2026-04-27T23:13:54Z
US,Korea,2025,import,TOTAL,129047793001.00,0,2026-04-27T23:13:54Z
US,Vietnam,2025,export,TOTAL,15656824670.00,0,2026-04-27T23:13:54Z
US,Vietnam,2025,import,TOTAL,201257258433.00,0,2026-04-27T23:13:54Z
