filed_utc,source,kind,bill_id,title,link,summary
2026-04-26T04:00:00Z,most_viewed,healthcare,H.R.4818 (rank 1),Treat and Reduce Obesity Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/4818,"Most-Viewed Bills - Week of April 26, 2026: Treat and Reduce Obesity Act of 2023"
2026-04-26T04:00:00Z,most_viewed,immigration,H.R.22 (rank 2),SAVE Act,https://www.congress.gov/bill/119th-congress/house-bill/22,"Most-Viewed Bills - Week of April 26, 2026: SAVE Act"
2026-04-26T04:00:00Z,most_viewed,press,H.R.8250 (rank 3),Parents Decide Act,https://www.congress.gov/bill/119th-congress/house-bill/8250,"Most-Viewed Bills - Week of April 26, 2026: Parents Decide Act"
2026-04-26T04:00:00Z,most_viewed,fiscal,H.R.1 (rank 4),An act to provide for reconciliation pursuant to title II of H. Con. Res. 14,https://www.congress.gov/bill/119th-congress/house-bill/1,"Most-Viewed Bills - Week of April 26, 2026: An act to provide for reconciliation pursuant to title II of H. Con. Res. 14"
2026-04-26T04:00:00Z,most_viewed,impeachment,H.Res.939 (rank 5),"Impeaching Donald John Trump, President of the United States for high crimes and misdemeanors",https://www.congress.gov/bill/119th-congress/house-resolution/939,"Most-Viewed Bills - Week of April 26, 2026: Impeaching Donald John Trump, President of the United States for high crimes and misdemeanors"
2026-04-26T04:00:00Z,most_viewed,fiscal,S.Con.Res.33 (rank 6),A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2026 and setting forth the appropriate budgetary levels for fiscal years 2027 through 20,https://www.congress.gov/bill/119th-congress/senate-concurrent-resolution/33,"Most-Viewed Bills - Week of April 26, 2026: A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2026 and setting forth the appropriate budgetary levels for fiscal years 2027 through 2035"
2026-04-26T04:00:00Z,most_viewed,fiscal,H.R.7148 (rank 7),"Consolidated Appropriations Act, 2026",https://www.congress.gov/bill/119th-congress/house-bill/7148,"Most-Viewed Bills - Week of April 26, 2026: Consolidated Appropriations Act, 2026"
2026-04-26T04:00:00Z,most_viewed,press,H.R.4692 (rank 8),MAMDANI Act,https://www.congress.gov/bill/119th-congress/house-bill/4692,"Most-Viewed Bills - Week of April 26, 2026: MAMDANI Act"
2026-04-26T04:00:00Z,most_viewed,press,H.R.1897 (rank 9),ESA Amendments Act of 2025,https://www.congress.gov/bill/119th-congress/house-bill/1897,"Most-Viewed Bills - Week of April 26, 2026: ESA Amendments Act of 2025"
2026-04-26T04:00:00Z,most_viewed,immigration,S.3516 (rank 10),A bill to impose a fee on certain remittance transfers to fund border security,https://www.congress.gov/bill/118th-congress/senate-bill/3516,"Most-Viewed Bills - Week of April 26, 2026: A bill to impose a fee on certain remittance transfers to fund border security"
2026-04-17T04:00:00Z,bills_to_potus,energy_land,H.J.Res.140,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to Public Land Order No. 7917 for Withdrawal of ",https://www.congress.gov/bill/119th-congress/house-joint-resolution/140,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to Public Land Order No. 7917 for Withdrawal of Federal Lands; Cook, Lake, and Saint Louis Counties, MN."
