member_name,party,state,chamber,ticker,transaction_type,amount_range,transaction_date,disclosure_date,asset_description
Mark Alford,R,MO,House,,,,,2026-03-31,[House PTR Filing - doc_id: 20034201] (no transactions parsed)
Richard W. Allen,R,GA,House,,,,,2026-02-17,[House PTR Filing - doc_id: 20033945] (no transactions parsed)
Jake Auchincloss,D,MA,House,,,,,2026-02-19,[House PTR Filing - doc_id: 20034024] (no transactions parsed)
Donald Sternoff Beyer Jr,,VA,House,,,,,2026-01-31,[House PTR Filing - doc_id: 20033903] (no transactions parsed)
Sheri Biggs,R,SC,House,,,,,2026-02-05,[House PTR Filing - doc_id: 20033927] (no transactions parsed)
Rob Bresnahan,,PA,House,,,,,2026-02-22,[House PTR Filing - doc_id: 20034044] (no transactions parsed)
Ed Case,D,HI,House,,,,,2026-03-14,[House PTR Filing - doc_id: 20034176] (no transactions parsed)
Gilbert Cisneros,D,CA,House,,,,,2026-02-13,[House PTR Filing - doc_id: 20033983] (no transactions parsed)
Steve Cohen,,TN,House,,,,,2026-02-09,[House PTR Filing - doc_id: 20033889] (no transactions parsed)
Warren Davidson,R,OH,House,,,,,2026-03-25,[House PTR Filing - doc_id: 20034223] (no transactions parsed)
April McClain Delaney,D,MD,House,,,,,2026-02-02,[House PTR Filing - doc_id: 20033921] (no transactions parsed)
Suzan K. DelBene,,WA,House,,,,,2026-03-12,[House PTR Filing - doc_id: 20034155] (no transactions parsed)
Debbie Dingell,,MI,House,,,,,2026-02-23,[House PTR Filing - doc_id: 20034035] (no transactions parsed)
Lloyd Doggett,D,TX,House,,,,,2026-03-05,[House PTR Filing - doc_id: 20034132] (no transactions parsed)
Byron Donalds,R,FL,House,,,,,2026-02-12,[House PTR Filing - doc_id: 20033981] (no transactions parsed)
"Neal Patrick MD, Facs Dunn",,FL,House,,,,,2026-03-17,[House PTR Filing - doc_id: 20034114] (no transactions parsed)
Dwight Evans,D,PA,House,,,,,2026-04-20,[House PTR Filing - doc_id: 20034379] (no transactions parsed)
Cleo Fields,D,LA,House,,,,,2026-02-03,[House PTR Filing - doc_id: 20033858] (no transactions parsed)
"Charles J. ""Chuck"" Fleischmann",,TN,House,,,,,2026-02-09,[House PTR Filing - doc_id: 8221321] (no transactions parsed)
Virginia Foxx,R,NC,House,,,,,2026-02-06,[House PTR Filing - doc_id: 20033947] (no transactions parsed)
Scott Scott Franklin,R,FL,House,,,,,2026-02-23,[House PTR Filing - doc_id: 20034050] (no transactions parsed)
Laura Friedman,D,CA,House,,,,,2026-04-17,[House PTR Filing - doc_id: 20034355] (no transactions parsed)
Josh Gottheimer,D,NJ,House,,,,,2026-02-26,[House PTR Filing - doc_id: 20033930] (no transactions parsed)
Michael Patrick Guest,,MS,House,,,,,2026-02-17,[House PTR Filing - doc_id: 20033944] (no transactions parsed)
Kevin Hern,R,OK,House,,,,,2026-02-18,[House PTR Filing - doc_id: 20034012] (no transactions parsed)
Jonathan Jackson,D,IL,House,,,,,2026-02-23,[House PTR Filing - doc_id: 20033929] (no transactions parsed)
Pramila Jayapal,,WA,House,,,,,2026-03-15,[House PTR Filing - doc_id: 20034160] (no transactions parsed)
Thomas H. Kean Jr,R,NJ,House,,,,,2026-02-19,[House PTR Filing - doc_id: 20034025] (no transactions parsed)
William R. Keating,,MA,House,,,,,2026-02-06,[House PTR Filing - doc_id: 20033946] (no transactions parsed)
Mike Kelly,,PA,House,,,,,2026-02-12,[House PTR Filing - doc_id: 20033991] (no transactions parsed)
Rohit Khanna,,CA,House,,,,,2026-02-06,[House PTR Filing - doc_id: 8221322] (no transactions parsed)
Rick Larsen,D,WA,House,,,,,2026-04-15,[House PTR Filing - doc_id: 20034351] (no transactions parsed)
Robert E. Latta,R,OH,House,,,,,2026-04-24,[House PTR Filing - doc_id: 20034401] (no transactions parsed)
Julia Letlow,R,LA,House,,,,,2026-03-12,[House PTR Filing - doc_id: 20034106] (no transactions parsed)
Michael T. McCaul,,TX,House,,,,,2026-02-11,[House PTR Filing - doc_id: 8221326] (no transactions parsed)
Lisa McClain,,MI,House,,,,,2026-02-11,[House PTR Filing - doc_id: 20033964] (no transactions parsed)
Jennifer McClellan,D,VA,House,,,,,2026-04-16,[House PTR Filing - doc_id: 20034311] (no transactions parsed)
Richard Dean Dr McCormick,R,GA,House,,,,,2026-04-07,[House PTR Filing - doc_id: 20033648] (no transactions parsed)
John McGuire,,VA,House,,,,,2026-02-10,[House PTR Filing - doc_id: 20033956] (no transactions parsed)
Daniel Meuser,R,PA,House,,,,,2026-02-17,[House PTR Filing - doc_id: 20034016] (no transactions parsed)
Max Miller,,OH,House,,,,,2026-01-29,[House PTR Filing - doc_id: 20033881] (no transactions parsed)
Tim Moore,R,NC,House,,,,,2026-02-20,[House PTR Filing - doc_id: 20034034] (no transactions parsed)
Kelly Louise Morrison,D,MN,House,,,,,2026-02-04,[House PTR Filing - doc_id: 20033928] (no transactions parsed)
Jared Moskowitz,D,FL,House,,,,,2026-03-30,[House PTR Filing - doc_id: 20034129] (no transactions parsed)
Scott H. Peters,,CA,House,,,,,2026-02-25,[House PTR Filing - doc_id: 20034010] (no transactions parsed)
August Lee Pfluger II,R,TX,House,,,,,2026-02-11,[House PTR Filing - doc_id: 20033920] (no transactions parsed)
Harold Dallas Rogers,,KY,House,,,,,2026-02-13,[House PTR Filing - doc_id: 8221332] (no transactions parsed)
Maria Elvira Salazar,R,FL,House,,,,,2026-04-21,[House PTR Filing - doc_id: 20033993] (no transactions parsed)
Austin Scott,R,GA,House,,,,,2026-03-12,[House PTR Filing - doc_id: 20032279] (no transactions parsed)
Pete Sessions,R,TX,House,,,,,2026-03-09,[House PTR Filing - doc_id: 20033500] (no transactions parsed)
Terri A. Sewell,D,AL,House,,,,,2026-04-21,[House PTR Filing - doc_id: 20034384] (no transactions parsed)
Jefferson Shreve,,IN,House,,,,,2026-03-14,[House PTR Filing - doc_id: 20034084] (no transactions parsed)
Greg Steube,R,FL,House,,,,,2026-04-14,[House PTR Filing - doc_id: 20034345] (no transactions parsed)
Thomas Suozzi,D,NY,House,,,,,2026-03-17,[House PTR Filing - doc_id: 20034188] (no transactions parsed)
David J. Taylor,R,OH,House,,,,,2026-02-02,[House PTR Filing - doc_id: 20033916] (no transactions parsed)
Tony Wied,,WI,House,,,,,2026-03-09,[House PTR Filing - doc_id: 8221360] (no transactions parsed)
Rudy C. Yakym III,,IN,House,,,,,2026-04-06,[House PTR Filing - doc_id: 20034298] (no transactions parsed)
Robert E. Latta,R,OH,House,FMAO,buy,"$1,001 - $15,000",2026-04-20,,DIVIDEND REINVESTMENT
Terri A. Sewell,D,AL,House,TPR,sell,"$15,001 - $50,000",2026-03-25,,
Maria Elvira Salazar,R,FL,House,FDX,buy,"$1,001 - $15,000",2026-03-25,,
Terri A. Sewell,D,AL,House,GEHC,sell,"$1,001 - $15,000",2026-03-25,,
Maria Elvira Salazar,R,FL,House,URI,buy,"$1,001 - $15,000",2026-03-25,,
Daniel Meuser,R,PA,House,NVDA,sell,"$1,001 - $15,000",2026-03-25,,
Maria Elvira Salazar,R,FL,House,GE,buy,"$1,001 - $15,000",2026-03-24,,
Maria Elvira Salazar,R,FL,House,AMGN,buy,"$15,001 - $50,000",2026-03-24,,
Maria Elvira Salazar,R,FL,House,HON,buy,"$15,001 - $50,000",2026-03-24,,
Maria Elvira Salazar,R,FL,House,RH,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,BA,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,C,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,GLW,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,GS,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,CSCO,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,ULTA,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,NVR,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,VG,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,PTON,buy,"$1,001 - $15,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,WHR,buy,"$15,001 - $50,000",2026-03-19,,
Maria Elvira Salazar,R,FL,House,FDX,buy,"$15,001 - $50,000",2026-03-19,,
James E. Banks,R,,Senate,SBUX,sell,"$1,001 - $15,000",2026-04-15,,
Cleo Fields,D,LA,House,TSM,buy,"$1,001 - $15,000",2026-04-09,,
Dwight Evans,D,PA,House,MU,sell,"$15,001 - $50,000",2026-03-24,,
