month,cpi_all,cpi_core,cpi_shelter,cpi_used_cars,cpi_food,cpi_energy,cpi_medical,cpi_all_yoy,captured_at
2026-03-01,330.29,334.17,424.07,179.83,346.60,314.02,591.59,3.32,2026-04-27T23:12:03Z
2026-02-01,327.46,333.51,422.94,180.59,346.62,283.22,592.55,2.66,2026-04-27T23:12:03Z
2026-01-01,326.59,332.79,421.96,181.27,345.27,281.44,589.61,2.83,2026-04-27T23:12:03Z
2025-12-01,326.03,331.81,421.04,184.67,344.63,285.62,588.09,3.00,2026-04-27T23:12:03Z
2025-11-01,325.06,331.04,419.43,186.30,342.39,284.65,585.99,2.99,2026-04-27T23:12:03Z
2025-09-01,324.25,330.42,418.42,184.87,342.09,280.70,584.87,3.02,2026-04-27T23:12:03Z
2025-08-01,323.29,329.70,417.56,185.26,341.32,276.73,583.81,2.94,2026-04-27T23:12:03Z
2025-07-01,322.17,328.68,415.93,183.75,339.89,274.85,584.45,2.74,2026-04-27T23:12:03Z
2025-06-01,321.44,327.66,414.98,182.83,339.47,276.56,580.53,2.68,2026-04-27T23:12:03Z
2025-05-01,320.62,326.89,414.11,183.66,338.47,275.38,578.07,2.38,2026-04-27T23:12:03Z
2025-04-01,320.30,326.47,413.04,184.80,337.49,277.34,576.55,2.33,2026-04-27T23:12:03Z
2025-03-01,319.79,325.69,411.64,185.73,337.33,278.91,574.07,2.38,2026-04-27T23:12:03Z
2025-02-01,319.68,325.46,410.79,186.56,336.06,282.10,573.28,2.80,2026-04-27T23:12:03Z
2025-01-01,318.96,324.64,409.58,184.89,335.44,282.27,571.37,2.99,2026-04-27T23:12:03Z
2024-12-01,317.60,323.26,408.17,181.71,334.46,279.83,570.11,2.87,2026-04-27T23:12:03Z
2024-11-01,316.53,322.66,407.11,179.90,333.63,273.28,569.48,2.72,2026-04-27T23:12:03Z
2024-10-01,315.63,321.73,405.72,177.73,332.46,273.00,567.97,2.58,2026-04-27T23:12:03Z
2024-09-01,314.73,320.73,403.96,175.83,331.75,272.68,566.26,2.43,2026-04-27T23:12:03Z
2024-08-01,314.06,319.75,402.89,174.70,330.75,275.71,564.18,2.61,2026-04-27T23:12:03Z
2024-07-01,313.57,318.94,401.14,175.31,330.33,278.29,564.59,2.94,2026-04-27T23:12:03Z
2024-06-01,313.04,318.39,399.70,177.97,329.60,278.28,565.00,2.97,2026-04-27T23:12:03Z
2024-05-01,313.18,318.10,398.69,180.58,328.95,284.17,564.19,3.24,2026-04-27T23:12:03Z
2024-04-01,313.02,317.65,397.20,181.98,328.45,287.61,561.27,3.36,2026-04-27T23:12:03Z
2024-03-01,312.35,316.79,395.83,184.60,327.77,288.69,559.27,3.49,2026-04-27T23:12:03Z
2024-02-01,310.97,315.56,394.08,185.25,327.71,283.33,557.16,3.16,2026-04-27T23:12:03Z
2024-01-01,309.70,314.32,392.32,183.19,327.42,279.95,556.74,3.09,2026-04-27T23:12:03Z
2023-12-01,308.74,313.19,390.14,190.57,326.43,280.76,554.41,3.32,2026-04-27T23:12:03Z
2023-11-01,308.15,312.39,388.52,189.44,325.93,282.15,552.42,3.13,2026-04-27T23:12:03Z
2023-10-01,307.70,311.46,386.77,186.88,325.44,286.76,549.79,3.25,2026-04-27T23:12:03Z
2023-09-01,307.28,310.54,385.29,187.65,324.38,292.62,548.40,3.69,2026-04-27T23:12:03Z
2023-08-01,306.08,309.58,382.95,191.08,324.04,287.31,547.69,3.72,2026-04-27T23:12:03Z
2023-07-01,304.61,308.96,381.89,194.70,323.20,275.55,547.14,3.29,2026-04-27T23:12:03Z
2023-06-01,304.01,308.32,380.15,197.60,322.37,275.71,547.30,3.07,2026-04-27T23:12:03Z
2023-05-01,303.33,307.65,378.30,198.79,322.01,274.27,547.45,4.13,2026-04-27T23:12:03Z
2023-04-01,302.85,306.53,376.40,192.65,321.21,280.86,546.99,4.95,2026-04-27T23:12:03Z
2023-03-01,301.82,305.15,374.68,186.62,320.55,282.87,547.14,4.92,2026-04-27T23:12:03Z
