date,ig_oas_bps,hy_oas_bps,hy_yield_pct,ig_yield_pct,captured_at
2026-04-24,80,286,6.77,5.01,2026-04-27T23:12:01Z
2026-04-23,80,286,6.79,5.03,2026-04-27T23:12:01Z
2026-04-22,79,284,6.75,5.00,2026-04-27T23:12:01Z
2026-04-21,80,285,6.77,5.02,2026-04-27T23:12:01Z
2026-04-20,81,287,6.71,4.97,2026-04-27T23:12:01Z
2026-04-17,80,283,6.67,4.96,2026-04-27T23:12:01Z
2026-04-16,81,286,6.77,5.02,2026-04-27T23:12:01Z
2026-04-15,80,285,6.74,4.99,2026-04-27T23:12:01Z
2026-04-14,81,284,6.70,4.98,2026-04-27T23:12:01Z
2026-04-13,82,295,6.87,5.03,2026-04-27T23:12:01Z
2026-04-10,82,294,6.89,5.06,2026-04-27T23:12:01Z
2026-04-09,83,290,6.83,5.04,2026-04-27T23:12:01Z
2026-04-08,83,294,6.88,5.04,2026-04-27T23:12:01Z
2026-04-07,86,312,7.08,5.10,2026-04-27T23:12:01Z
2026-04-06,85,305,7.06,5.11,2026-04-27T23:12:01Z
2026-04-03,86,313,7.14,5.14,2026-04-27T23:12:01Z
2026-04-02,86,317,7.14,5.10,2026-04-27T23:12:01Z
2026-04-01,87,316,7.14,5.13,2026-04-27T23:12:01Z
2026-03-31,90,328,7.25,5.14,2026-04-27T23:12:01Z
2026-03-30,93,346,7.42,5.16,2026-04-27T23:12:01Z
2026-03-27,91,342,7.48,5.24,2026-04-27T23:12:01Z
2026-03-26,88,321,7.30,5.22,2026-04-27T23:12:01Z
2026-03-25,87,317,7.14,5.11,2026-04-27T23:12:01Z
2026-03-24,87,319,7.22,5.17,2026-04-27T23:12:01Z
2026-03-23,88,319,7.16,5.13,2026-04-27T23:12:01Z
2026-03-20,88,324,7.26,5.18,2026-04-27T23:12:01Z
2026-03-19,90,327,7.17,5.08,2026-04-27T23:12:01Z
2026-03-18,91,320,7.08,5.08,2026-04-27T23:12:01Z
2026-03-17,92,322,7.02,5.02,2026-04-27T23:12:01Z
2026-03-16,94,327,7.08,5.06,2026-04-27T23:12:01Z
2026-03-13,93,328,7.17,5.11,2026-04-27T23:12:01Z
2026-03-12,91,317,7.06,5.08,2026-04-27T23:12:01Z
2026-03-11,88,309,6.90,4.99,2026-04-27T23:12:01Z
2026-03-10,84,306,6.82,4.90,2026-04-27T23:12:01Z
2026-03-09,85,319,6.90,4.86,2026-04-27T23:12:01Z
2026-03-06,84,313,6.87,4.89,2026-04-27T23:12:01Z
2026-03-05,82,300,6.75,4.86,2026-04-27T23:12:01Z
2026-03-04,82,297,6.67,4.82,2026-04-27T23:12:01Z
2026-03-03,84,308,6.75,4.81,2026-04-27T23:12:01Z
2026-03-02,85,303,6.68,4.80,2026-04-27T23:12:01Z
2026-02-28,86,312,6.66,4.73,2026-04-27T23:12:01Z
2026-02-27,85,310,6.61,4.71,2026-04-27T23:12:01Z
2026-02-26,82,298,6.55,4.72,2026-04-27T23:12:01Z
2026-02-25,80,294,6.54,4.73,2026-04-27T23:12:01Z
2026-02-24,81,297,6.55,4.73,2026-04-27T23:12:01Z
2026-02-23,80,295,6.52,4.71,2026-04-27T23:12:01Z
2026-02-20,78,286,6.48,4.74,2026-04-27T23:12:01Z
2026-02-19,79,288,6.51,4.74,2026-04-27T23:12:01Z
2026-02-18,78,286,6.50,4.74,2026-04-27T23:12:01Z
2026-02-17,80,294,6.55,4.73,2026-04-27T23:12:01Z
2026-02-16,79,294,6.53,4.72,2026-04-27T23:12:01Z
2026-02-13,79,295,6.56,4.72,2026-04-27T23:12:01Z
2026-02-12,78,292,6.58,4.75,2026-04-27T23:12:01Z
2026-02-11,77,284,6.57,4.81,2026-04-27T23:12:01Z
2026-02-10,77,286,6.55,4.78,2026-04-27T23:12:01Z
2026-02-09,76,284,6.57,4.81,2026-04-27T23:12:01Z
2026-02-06,76,287,6.61,4.82,2026-04-27T23:12:01Z
2026-02-05,76,297,6.69,4.81,2026-04-27T23:12:01Z
2026-02-04,75,286,6.67,4.87,2026-04-27T23:12:01Z
2026-02-03,74,285,6.66,4.86,2026-04-27T23:12:01Z
2026-02-02,74,281,6.63,4.87,2026-04-27T23:12:01Z
2026-01-31,75,288,6.66,4.85,2026-04-27T23:12:01Z
2026-01-30,74,280,6.54,4.82,2026-04-27T23:12:01Z
2026-01-29,74,277,6.52,4.82,2026-04-27T23:12:01Z
2026-01-28,73,272,6.49,4.83,2026-04-27T23:12:01Z
2026-01-27,73,271,6.48,4.82,2026-04-27T23:12:01Z
2026-01-26,74,269,6.46,4.82,2026-04-27T23:12:01Z
2026-01-23,73,268,6.46,4.83,2026-04-27T23:12:01Z
2026-01-22,73,264,6.44,4.84,2026-04-27T23:12:01Z
2026-01-21,74,269,6.48,4.85,2026-04-27T23:12:01Z
2026-01-20,75,273,6.54,4.89,2026-04-27T23:12:01Z
2026-01-19,75,265,6.43,4.85,2026-04-27T23:12:01Z
2026-01-16,75,265,6.44,4.85,2026-04-27T23:12:01Z
2026-01-15,76,271,6.45,4.81,2026-04-27T23:12:01Z
2026-01-14,77,276,6.46,4.79,2026-04-27T23:12:01Z
2026-01-13,77,275,6.48,4.82,2026-04-27T23:12:01Z
2026-01-12,78,274,6.49,4.84,2026-04-27T23:12:01Z
2026-01-09,78,274,6.49,4.83,2026-04-27T23:12:01Z
2026-01-08,79,276,6.49,4.84,2026-04-27T23:12:01Z
2026-01-07,79,279,6.48,4.81,2026-04-27T23:12:01Z
2026-01-06,79,279,6.49,4.82,2026-04-27T23:12:01Z
2026-01-05,79,281,6.50,4.82,2026-04-27T23:12:01Z
2026-01-02,79,283,6.55,4.85,2026-04-27T23:12:01Z
2025-12-31,79,281,6.53,4.84,2026-04-27T23:12:01Z
2025-12-30,79,284,6.48,4.79,2026-04-27T23:12:01Z
2025-12-29,79,287,6.51,4.78,2026-04-27T23:12:01Z
2025-12-26,79,286,6.52,4.80,2026-04-27T23:12:01Z
2025-12-24,79,284,6.53,4.81,2026-04-27T23:12:01Z
2025-12-23,79,283,6.54,4.84,2026-04-27T23:12:01Z
2025-12-22,80,288,6.58,4.84,2026-04-27T23:12:01Z
