exchange,trust_score,vol_btc_24h,coins_listed,country,year_established,captured_at
Binance,10,115439.19,,Cayman Islands,2017,2026-04-27T23:06:01Z
Bybit,10,41961.73,,British Virgin Islands,2018,2026-04-27T23:06:01Z
Coinbase Exchange,10,23042.06,,United States,2012,2026-04-27T23:06:01Z
Gate,10,22575.39,,Panama,2013,2026-04-27T23:06:01Z
OKX,10,19185.57,,Seychelles,2017,2026-04-27T23:06:01Z
MEXC,10,13982.73,,Seychelles,2018,2026-04-27T23:06:01Z
Bitget,10,13228.88,,Seychelles,2018,2026-04-27T23:06:01Z
Kraken,10,13094.17,,United States,2011,2026-04-27T23:06:01Z
HTX,9,19907.51,,Seychelles,2013,2026-04-27T23:06:01Z
KuCoin,9,19352.07,,Seychelles,2017,2026-04-27T23:06:01Z
Bullish,9,14519.30,,Gibraltar,2021,2026-04-27T23:06:01Z
BingX,9,11213.54,,British Virgin Islands,2018,2026-04-27T23:06:01Z
Bitfinex,9,4007.12,,British Virgin Islands,2012,2026-04-27T23:06:01Z
Bitstamp by Robinhood,9,2576.57,,Luxembourg,2011,2026-04-27T23:06:01Z
HashKey Exchange,9,746.39,,Hong Kong,2018,2026-04-27T23:06:01Z
OSL HK,9,152.71,,Hong Kong,2018,2026-04-27T23:06:01Z
Backpack Exchange ,9,132.56,,British Virgin Islands,2023,2026-04-27T23:06:01Z
Binance US,9,100.37,,United States,2019,2026-04-27T23:06:01Z
OSL Global,9,30.62,,Australia,2025,2026-04-27T23:06:01Z
Coinstore,8,43329.14,,British Virgin Islands,2020,2026-04-27T23:06:01Z
BitMart,8,37814.76,,Cayman Islands,2017,2026-04-27T23:06:01Z
WEEX,8,35676.40,,Singapore,2018,2026-04-27T23:06:01Z
CoinW,8,31447.72,,United Arab Emirates,2017,2026-04-27T23:06:01Z
Tapbit,8,28872.71,,United States,2019,2026-04-27T23:06:01Z
Toobit,8,23543.32,,Cayman Islands,2022,2026-04-27T23:06:01Z
LBank,8,23347.60,,British Virgin Islands,2015,2026-04-27T23:06:01Z
Upbit,8,21622.31,,South Korea,2017,2026-04-27T23:06:01Z
XT.COM,8,21084.00,,Seychelles,2018,2026-04-27T23:06:01Z
AscendEX (BitMax),8,20241.73,,Romania,2018,2026-04-27T23:06:01Z
Crypto.com Exchange,8,19725.99,,Malta,2019,2026-04-27T23:06:01Z
Ourbit,8,16209.93,,British Virgin Islands,2020,2026-04-27T23:06:01Z
DigiFinex,8,15479.55,,Seychelles,2018,2026-04-27T23:06:01Z
WhiteBIT,8,13547.13,,Lithuania,2018,2026-04-27T23:06:01Z
Hibt,8,11592.76,,Canada,2021,2026-04-27T23:06:01Z
Phemex,8,10757.77,,Samoa,2019,2026-04-27T23:06:01Z
Bitunix,8,5180.33,,Saint Vincent and the Grenadines,2021,2026-04-27T23:06:01Z
Bitvavo,8,2104.07,,Netherlands,2018,2026-04-27T23:06:01Z
BitKan,8,1907.23,,British Virgin Islands,2012,2026-04-27T23:06:01Z
CoinTR,8,1829.51,,Turkey,2022,2026-04-27T23:06:01Z
Coins.ph,8,677.53,,Philippines,2014,2026-04-27T23:06:01Z
CEX.IO,8,615.54,,United Kingdom,2013,2026-04-27T23:06:01Z
Bitbank,8,419.75,,Japan,2016,2026-04-27T23:06:01Z
Gemini,8,374.85,,United States,2014,2026-04-27T23:06:01Z
Nonkyc.io,8,274.77,,Seychelles,2023,2026-04-27T23:06:01Z
Bitcointry,8,238.13,,Seychelles,2023,2026-04-27T23:06:01Z
LeveX,8,205.37,,Panama,2023,2026-04-27T23:06:01Z
Bitso,8,165.62,,Gibraltar,2014,2026-04-27T23:06:01Z
Deribit Spot,8,141.79,,Panama,2016,2026-04-27T23:06:01Z
Bitlo,8,18.85,,Turkey,2018,2026-04-27T23:06:01Z
HashKey Global,8,7.21,,Bermuda,2018,2026-04-27T23:06:01Z
