exchange,symbol,price_usd,funding_rate_pct,funding_annualized_pct,open_interest_usd,vol_24h_usd,next_funding_time,captured_at
Bitfinex,ADA,0.2471,,,,60745,,2026-04-27T23:10:49Z
Kraken,ADA,0.2469,-0.00016,-1.43,4390257,3379986,,2026-04-27T23:10:49Z
OKX,ADA,,-0.01048,-11.48,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,AVAX,9.2301,,,,140030,,2026-04-27T23:10:49Z
Kraken,AVAX,9.2223,-0.00542,-47.46,3471023,2059119,,2026-04-27T23:10:49Z
OKX,AVAX,,0.00068,0.75,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,BTC,77060.0000,,,,108471744,,2026-04-27T23:10:49Z
Kraken,BTC,77012.1405,-49.62006,-434671.72,145422533,404001417,,2026-04-27T23:10:49Z
OKX,BTC,,-0.00542,-5.93,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,DOGE,0.0987,,,,185803,,2026-04-27T23:10:49Z
Kraken,DOGE,0.0987,0.00001,0.05,2923371,5048948,,2026-04-27T23:10:49Z
OKX,DOGE,,0.01000,10.95,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,DOT,1.2248,,,,19910,,2026-04-27T23:10:49Z
Kraken,DOT,1.2265,-0.00441,-38.62,1863347,734462,,2026-04-27T23:10:49Z
OKX,DOT,,0.01000,10.95,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,ETH,2292.5000,,,,6752444,,2026-04-27T23:10:49Z
Kraken,ETH,2290.8025,-0.82616,-7237.20,49116463,116790611,,2026-04-27T23:10:49Z
OKX,ETH,,-0.01403,-15.37,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,LINK,9.2718,,,,31575,,2026-04-27T23:10:49Z
Kraken,LINK,9.2618,-0.00675,-59.15,2779892,1968006,,2026-04-27T23:10:49Z
OKX,LINK,,0.01000,10.95,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,LTC,55.4090,,,,169559,,2026-04-27T23:10:49Z
Kraken,LTC,55.3897,-0.03391,-297.08,2169119,527484,,2026-04-27T23:10:49Z
OKX,LTC,,-0.00321,-3.52,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,SOL,84.5070,,,,1944725,,2026-04-27T23:10:49Z
Kraken,SOL,84.4711,0.00904,79.15,21595070,31905309,,2026-04-27T23:10:49Z
OKX,SOL,,-0.01341,-14.68,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
Bitfinex,XRP,1.3972,,,,2851363,,2026-04-27T23:10:49Z
Kraken,XRP,1.3968,-0.00106,-9.32,14866217,13777326,,2026-04-27T23:10:49Z
OKX,XRP,,0.01000,10.95,,,2026-04-28T08:00:00Z,2026-04-27T23:10:49Z
