session_date,ticker,rank,total_score,form,prev_close,day_open,day_high,day_close,open_gap_pct,max_intraday_pct,close_pct,hit_2pct,hit_5pct,hit_10pct,outcome,source
2026-04-02,AMKR,1,23.000,,46.49,43.6,47.44,46.7,-6.22,2.04,0.45,1,0,0,FLAT,combined
2026-04-02,AVGO,2,19.000,,313.49,304.49,314.69,314.55,-2.87,0.38,0.34,0,0,0,FLAT,combined
2026-04-02,CTRA,3,19.000,,33.92,35.08,35.39,34.56,3.42,4.33,1.89,1,0,0,FLAT,combined
2026-04-02,BNTX,4,18.000,,89.42,87.67,91.43,91.18,-1.96,2.25,1.97,1,0,0,FLAT,combined
2026-04-02,ALC,5,18.000,,75.51,74.38,76.06,74.56,-1.5,0.73,-1.26,0,0,0,LOSS,combined
2026-04-02,CGAU,6,17.000,,18.41,17.28,18.61,18.3,-6.14,1.09,-0.6,0,0,0,FLAT,combined
2026-04-02,OPTU,7,16.000,,1.33,1.3,1.385,1.37,-2.26,4.14,3.01,1,0,0,WIN,combined
2026-04-02,CNEY,8,16.000,,0.392,0.399,0.406,0.403,1.79,3.57,2.81,1,0,0,WIN,combined
2026-04-02,CLDW,9,16.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-02,BAM,10,16.000,,44.08,43.15,44.635,44.45,-2.11,1.26,0.84,0,0,0,FLAT,combined
2026-04-03,CNS,1,21.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,COLM,2,21.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,DG,3,19.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,HCMC,4,18.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,WAFDP,5,17.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,MPB,6,17.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,TITN,7,16.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,LXU,8,16.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,GRTX,9,15.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-03,BAM,10,15.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-02,AMKR,1,23.000,,46.49,43.6,47.44,46.7,-6.22,2.04,0.45,1,0,0,FLAT,combined
2026-04-02,AVGO,2,19.000,,313.49,304.49,314.69,314.55,-2.87,0.38,0.34,0,0,0,FLAT,combined
2026-04-02,CTRA,3,19.000,,33.92,35.08,35.39,34.56,3.42,4.33,1.89,1,0,0,FLAT,combined
2026-04-02,BNTX,4,18.000,,89.42,87.67,91.43,91.18,-1.96,2.25,1.97,1,0,0,FLAT,combined
2026-04-02,ALC,5,18.000,,75.51,74.38,76.06,74.56,-1.5,0.73,-1.26,0,0,0,LOSS,combined
2026-04-02,CGAU,6,17.000,,18.41,17.28,18.61,18.3,-6.14,1.09,-0.6,0,0,0,FLAT,combined
2026-04-02,OPTU,7,16.000,,1.33,1.3,1.385,1.37,-2.26,4.14,3.01,1,0,0,WIN,combined
2026-04-02,CNEY,8,16.000,,0.392,0.399,0.406,0.403,1.79,3.57,2.81,1,0,0,WIN,combined
2026-04-02,CLDW,9,16.000,,,,,,,,,0,0,0,NO DATA,combined
2026-04-02,BAM,10,16.000,,44.08,43.15,44.635,44.45,-2.11,1.26,0.84,0,0,0,FLAT,combined
