ticker,deepvalue_score,pb_ratio,pfcf_ratio,debt_eq,insider_own_pct,roe_pct,eps_next_y,short_float_pct,grade
FBK,58,1.41,19.15,0.14,15.48,7.87,5.07,3.88,B
BRO,51,1.77,16.25,-1.0,14.68,10.98,4.98,6.37,B
WABC,51,1.47,-1.0,0.16,5.04,12.46,4.29,2.09,B
CBNK,50,1.3,-1.0,0.14,-1.0,15.11,3.67,5.6,B
RNGR,50,1.45,-1.0,0.14,22.45,4.29,1.54,2.39,B
MATX,50,1.95,35.46,0.26,2.52,16.44,15.06,3.28,B
CME,48,3.83,23.63,0.14,0.43,15.89,12.87,1.33,C
NOA,43,1.2,-1.0,-1.0,11.36,8.07,2.33,0.79,C
GABC,43,1.42,-1.0,0.16,3.27,12.0,3.99,3.25,C
MRBK,43,1.12,-1.0,-1.0,23.73,12.83,2.65,0.92,C
MTDR,36,1.34,31.46,-1.0,7.31,14.13,8.12,7.19,C
TRUP,33,3.08,15.7,0.29,-1.0,5.5,0.69,11.93,C
FDBC,33,1.09,-1.0,-1.0,21.67,13.0,-1.0,0.62,C
NUE,33,2.34,-1.0,0.35,0.64,8.43,14.1,1.94,C
CBSH,28,1.73,-1.0,-1.0,3.66,14.71,4.36,3.69,F
CI,28,1.78,-1.0,-1.0,1.65,14.4,33.4,2.47,F
LC,28,1.32,-1.0,-1.0,3.36,9.55,2.36,4.88,F
FSUN,26,-1.0,17.31,-1.0,-1.0,8.92,4.99,6.44,F
SKY,26,2.81,17.3,-1.0,1.69,13.69,3.69,5.5,F
KINS,25,2.06,-1.0,-1.0,23.42,-1.0,2.9,3.57,F
IPOD,25,1.47,-1.0,-1.0,28.42,4.7,-1.0,0.01,F
BPRN,25,-1.0,-1.0,-1.0,29.25,7.2,3.75,0.71,F
SRTA,25,1.54,-1.0,-1.0,24.43,-1.0,-1.0,9.04,F
CCK,25,3.84,-1.0,-1.0,0.95,25.65,8.84,4.75,F
UTZ,25,-1.0,-1.0,-1.0,19.75,0.11,0.84,9.3,F
SEI,25,-1.0,-1.0,-1.0,26.98,6.21,2.6,-1.0,F
CHAR,25,1.35,-1.0,-1.0,21.71,6.72,-1.0,0.06,F
LXU,25,2.01,-1.0,-1.0,24.16,4.87,1.0,2.1,F
CR,25,-1.0,30.96,-1.0,1.05,17.93,7.53,1.42,F
ANTA,20,1.87,-1.0,-1.0,-1.0,-1.0,0.68,0.94,F
ASTE,20,1.97,-1.0,-1.0,1.42,5.88,4.38,2.15,F
HLMN,20,1.4,49.09,-1.0,1.81,3.34,0.68,2.84,F
SUI,18,2.27,18.2,-1.0,1.22,-1.0,3.04,2.03,F
CDP,18,2.42,28.8,-1.0,0.37,10.13,1.41,5.46,F
MLM,18,3.67,37.57,-1.0,0.81,10.65,22.8,2.81,F
UHT,16,3.72,-1.0,-1.0,8.29,10.61,-1.0,2.37,F
FLYE,15,-1.0,-1.0,-1.0,10.31,-1.0,-1.0,0.85,F
WKHS,15,-1.0,-1.0,-1.0,25.5,-1.0,-1.0,5.48,F
USAU,15,-1.0,-1.0,-1.0,15.47,-1.0,-1.0,11.44,F
GURE,15,-1.0,-1.0,-1.0,29.98,-1.0,-1.0,0.53,F
TV,10,-1.0,-1.0,-1.0,0.25,-1.0,0.25,0.2,F
LU,10,-1.0,-1.0,-1.0,0.04,-1.0,0.23,0.9,F
KRC,10,-1.0,-1.0,-1.0,1.44,5.09,0.44,11.16,F
VTR,10,3.21,31.32,-1.0,0.54,2.16,1.13,4.03,F
CTOS,10,2.46,-1.0,-1.0,-1.0,-1.0,0.14,3.76,F
BAH,10,-1.0,-1.0,-1.0,1.07,-1.0,6.24,6.51,F
ELSE,10,1.79,44.95,-1.0,-1.0,2.1,-1.0,0.21,F
SBEV,8,-1.0,-1.0,-1.0,6.19,-1.0,-1.0,6.39,F
CORZZ,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
ARE,0,-1.0,-1.0,-1.0,2.06,-1.0,-1.0,4.37,F
PFBX,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
KVAC,0,2.25,-1.0,-1.0,-1.0,3.29,-1.0,0.01,F
FGBIP,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
SLMBP,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
INVL,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
WSUP,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
BTCT,0,-1.0,-1.0,-1.0,0.17,-1.0,-1.0,2.63,F
SEER,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.47,F
NVAC,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
YSWY,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,F
