captured_at,protocol,category,tvl_usd,change_1d_pct,change_7d_pct,chains,stress_label
2026-04-25T03:05:15+00:00,Binance CEX,CEX,155278801674.0,-0.44,-1.03,"Ethereum,Bitcoin,Binance,Solana,Ripple",drift
2026-04-25T03:05:15+00:00,OKX,CEX,26408923920.0,-0.93,39.88,"Ethereum,Bitcoin,Solana,Tron,Doge",drift
2026-04-25T03:05:15+00:00,Lido,Liquid Staking,21712805587.0,-0.73,-5.03,"Ethereum,Solana,Moonbeam,Moonriver,Terra",drift
2026-04-25T03:05:15+00:00,Bitfinex,CEX,18989067503.0,-0.95,1.15,"Bitcoin,Ethereum,Tron,Solana,Avalanche",drift
2026-04-25T03:05:15+00:00,SSV Network,Staking Pool,17076933670.0,-0.72,-4.23,Ethereum,drift
2026-04-25T03:05:15+00:00,Bybit,CEX,15913294007.0,-1.05,0.63,"Ethereum,Bitcoin,Tron,Solana,Mantle",drift
2026-04-25T03:05:15+00:00,Robinhood,CEX,14034419705.0,-0.91,-1.4,"Bitcoin,Ethereum,Polygon,Avalanche",drift
2026-04-25T03:05:15+00:00,Aave V3,Lending,13806644559.0,-0.33,-47.03,"Ethereum,Arbitrum,Base,Plasma,Avalanche",drift
2026-04-25T03:05:15+00:00,EigenCloud,Restaking,9244554795.0,-5.26,-9.88,Ethereum,stress
2026-04-25T03:05:15+00:00,WBTC,Bridge,8996993539.0,-1.29,-0.2,Bitcoin,drift
2026-04-25T03:05:15+00:00,Binance staked ETH,Liquid Staking,8554841477.0,-0.71,-4.19,"Ethereum,Binance",drift
2026-04-25T03:05:15+00:00,Morpho Blue,Lending,6724318065.0,0.97,-12.13,"Ethereum,Base,Hyperliquid L1,Katana,Monad",drift
2026-04-25T03:05:15+00:00,Coinbase Bridge,Bridge,5691407023.0,-1.01,0.35,"Bitcoin,Ripple,Doge,Cardano,Litecoin",drift
2026-04-25T03:05:15+00:00,Bitget,CEX,5629337642.0,1.7,-0.49,"Bitcoin,Ethereum,Binance,Solana,Tron",drift
2026-04-25T03:05:15+00:00,Gemini,CEX,5548185172.0,-2.41,-2.08,"Bitcoin,Ethereum",drift
2026-04-25T03:05:15+00:00,Sky Lending,CDP,5296272382.0,1.52,-13.48,Ethereum,drift
2026-04-25T03:05:15+00:00,Binance Bitcoin,Bridge,5289491306.0,-0.66,0.3,Bitcoin,drift
2026-04-25T03:05:15+00:00,ether.fi Stake,Liquid Restaking,5210487509.0,-0.77,-6.74,"Ethereum,Base,Arbitrum",drift
2026-04-25T03:05:15+00:00,HTX,CEX,5190343444.0,-1.31,-1.87,"Tron,Ethereum,Bitcoin,Ripple,Doge",drift
2026-04-25T03:05:15+00:00,Gate,CEX,4980896609.0,-0.51,-2.02,"Ethereum,Bitcoin,Binance,Solana,Tron",drift
2026-04-25T03:05:15+00:00,MEXC,CEX,4827635996.0,-0.58,-0.54,"Ethereum,Bitcoin,Solana,Binance,Ripple",drift
2026-04-25T03:05:15+00:00,Deribit,CEX,4569989150.0,-0.38,2.51,"Bitcoin,Ethereum,Solana,Ripple,Binance",drift
2026-04-25T03:05:15+00:00,Hyperliquid Bridge,Bridge,4555020223.0,-0.18,-4.21,"Arbitrum,Hyperliquid L1",drift
2026-04-25T03:05:15+00:00,Babylon Protocol,Restaking,4014989717.0,-1.05,-0.19,Bitcoin,drift
2026-04-25T03:05:15+00:00,Ethena USDe,Basis Trading,3850923434.0,-2.72,-33.97,Ethereum,drift
2026-04-25T03:05:15+00:00,USDT0,Bridge,3739271113.0,0.47,-6.09,Ethereum,drift
2026-04-25T03:05:15+00:00,JustLend,Lending,3569259429.0,-0.55,-1.7,Tron,drift
