metric,key,value_usd,change_1d_pct,change_7d_pct,change_1m_pct,captured_at
global,global_24h_volume,4415496118.00,+12.86,-48.50,-26.64,2026-04-27T22:46:23Z
global,global_7d_volume,45664763448.00,+12.86,-48.50,-26.64,2026-04-27T22:46:23Z
global,global_30d_volume,184578231779.00,+12.86,-48.50,-26.64,2026-04-27T22:46:23Z
global,global_1y_volume,4460745895357.00,+12.86,-48.50,-26.64,2026-04-27T22:46:23Z
global,volume_7d_ago,8573907212.00,+12.86,-48.50,-26.64,2026-04-27T22:46:23Z
global,volume_30d_ago,6019058712.00,+12.86,-48.50,-26.64,2026-04-27T22:46:23Z
dex,Uniswap V4,817145433.00,+29.50,-33.00,+30.93,2026-04-27T22:46:23Z
dex,Aerodrome Slipstream,438542204.00,+175.84,-20.97,+83.12,2026-04-27T22:46:23Z
dex,PancakeSwap AMM V3,357649847.00,+15.13,-39.95,-47.81,2026-04-27T22:46:23Z
dex,Uniswap V3,312075227.00,+54.79,-65.61,-26.32,2026-04-27T22:46:23Z
dex,Kalshi,252023311.00,+38.31,+22.51,+64.94,2026-04-27T22:46:23Z
dex,Orca DEX,216182692.00,+202.47,-9.55,-2.74,2026-04-27T22:46:23Z
dex,Fluid DEX,197182833.00,+64.38,-74.54,-34.37,2026-04-27T22:46:23Z
dex,Raydium AMM,195632044.00,+12.31,+16.71,+23.96,2026-04-27T22:46:23Z
dex,PancakeSwap Infinity,189865260.00,+18.37,-35.60,-5.68,2026-04-27T22:46:23Z
dex,Meteora DLMM,132915347.00,+47.93,+27.63,+61.18,2026-04-27T22:46:23Z
dex,Polymarket International,132720100.00,-7.05,-7.84,-11.44,2026-04-27T22:46:23Z
dex,BisonFi,113880206.00,+28.14,-19.73,-22.37,2026-04-27T22:46:23Z
dex,Manifest Trade,105855353.00,+70.50,-22.91,+61.86,2026-04-27T22:46:23Z
dex,Metric,98282593.00,+222.26,+29.81,+728.05,2026-04-27T22:46:23Z
dex,Curve DEX,92883997.00,+43.00,-85.37,-0.18,2026-04-27T22:46:23Z
dex,GoonFi,89813366.00,-5.02,-2.37,+30.95,2026-04-27T22:46:23Z
dex,Flashnet,70884460.00,+397.66,+305.22,+723.81,2026-04-27T22:46:23Z
dex,Hyperliquid Spot Orderbook,64354684.00,+51.35,-46.31,-46.75,2026-04-27T22:46:23Z
dex,Uniswap V2,57136187.00,+82.31,-37.26,+525.53,2026-04-27T22:46:23Z
dex,Tristero Spot,57050711.00,+42.19,-61.56,-43.34,2026-04-27T22:46:23Z
