ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
0005.HK,HSBC HK,HKEX,HKG,"Deutsche Bank Lifts PT on HSBC Holdings Plc (HSBC) to 1,450 GBp",other,Insider Monkey,2026-04-27T05:28:57Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-bank-lifts-pt-hsbc-052857512.html,2026-04-27T06:32:48+00:00
9988.HK,Alibaba,HKEX,HKG,Alibaba Group Holding (NYSE:BABA) Valuation Check As New Qwen AI Partnerships Take Shape,partnership,Simply Wall St.,2026-04-26T22:04:28Z,https://finance.yahoo.com/markets/stocks/articles/alibaba-group-holding-nyse-baba-220428832.html,2026-04-27T06:32:48+00:00
0005.HK,HSBC HK,HKEX,HKG,HSBC Holdings plc (HSBC): One of the Low Risk High Growth Stocks to Buy?,other,Insider Monkey,2026-04-26T20:21:45Z,https://finance.yahoo.com/markets/stocks/articles/hsbc-holdings-plc-hsbc-one-202145159.html,2026-04-27T06:32:48+00:00
0005.HK,HSBC HK,HKEX,HKG,HSBC resets Intel price target for the rest of 2026,other,TheStreet,2026-04-26T17:36:54Z,https://www.thestreet.com/investing/stocks/hsbc-resets-intel-price-target-for-the-rest-of-2026-morgan-stanley-bank-of-america-semiconductor,2026-04-27T06:32:48+00:00
0005.HK,HSBC HK,HKEX,HKG,Starmer digs in as Mandelson appointment scandal clouds Labour’s outlook,guidance_update,Investing.com,2026-04-26T09:19:54Z,https://www.yahoo.com/news/articles/starmer-digs-mandelson-appointment-scandal-091954537.html,2026-04-27T06:32:48+00:00
9988.HK,Alibaba,HKEX,HKG,The $1.75 Trillion Launch: Is SpaceX's IPO a Generational Buy -- or the Ultimate Bubble?,other,Motley Fool,2026-04-26T08:34:00Z,https://www.fool.com/investing/2026/04/26/the-175-trillion-launch-is-spacexs-ipo-a-generatio/,2026-04-27T06:32:48+00:00
0388.HK,HKEX,HKEX,HKG,"Hong Kong maintains IPO dominance, though regulatory headwinds mount",regulatory,Investing.com,2026-04-26T07:49:55Z,https://finance.yahoo.com/markets/stocks/articles/hong-kong-maintains-ipo-dominance-074955086.html,2026-04-27T06:32:48+00:00
0700.HK,Tencent,HKEX,HKG,The GDP-employment disconnect is deepening in China,other,Investing.com,2026-04-25T09:33:45Z,https://finance.yahoo.com/economy/policy/articles/gdp-employment-disconnect-deepening-china-093345118.html,2026-04-27T06:32:48+00:00
2318.HK,Ping An,HKEX,HKG,The GDP-employment disconnect is deepening in China,other,Investing.com,2026-04-25T09:33:45Z,https://finance.yahoo.com/economy/policy/articles/gdp-employment-disconnect-deepening-china-093345118.html,2026-04-27T06:32:48+00:00
9618.HK,JD.com,HKEX,HKG,The GDP-employment disconnect is deepening in China,other,Investing.com,2026-04-25T09:33:45Z,https://finance.yahoo.com/economy/policy/articles/gdp-employment-disconnect-deepening-china-093345118.html,2026-04-27T06:32:48+00:00
