ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
005930.KS,Samsung Electronics,KRX,KOR,"SK Hynix shares rally 7% to a record high, beating Samsung's 2.5% gain",ev_ai_tech,Reuters,2026-04-27T04:12:28Z,https://finance.yahoo.com/markets/stocks/articles/sk-hynix-shares-rally-7-041228895.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,"SK Hynix shares rally 7% to a record high, beating Samsung's 2.5% gain",ev_ai_tech,Reuters,2026-04-27T04:12:28Z,https://finance.yahoo.com/markets/stocks/articles/sk-hynix-shares-rally-7-041228895.html,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,"Is Micron Technology, Inc. (MU) Among the Best AI Stocks to Buy According to Billionaire Ken Griffin?",ev_ai_tech,Insider Monkey,2026-04-25T05:59:32Z,https://finance.yahoo.com/markets/stocks/articles/micron-technology-inc-mu-among-055932997.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,"Is Micron Technology, Inc. (MU) Among the Best AI Stocks to Buy According to Billionaire Ken Griffin?",ev_ai_tech,Insider Monkey,2026-04-25T05:59:32Z,https://finance.yahoo.com/markets/stocks/articles/micron-technology-inc-mu-among-055932997.html,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,"AI chip surge pushes Taiwan, South Korea past UK in global market rankings",ev_ai_tech,Investing.com,2026-04-25T03:18:19Z,https://finance.yahoo.com/markets/stocks/articles/ai-chip-surge-pushes-taiwan-031819385.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,"AI chip surge pushes Taiwan, South Korea past UK in global market rankings",ev_ai_tech,Investing.com,2026-04-25T03:18:19Z,https://finance.yahoo.com/markets/stocks/articles/ai-chip-surge-pushes-taiwan-031819385.html,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,"AI Chip Surge Elevates Taiwan, Korea in Global Equity Rankings",ev_ai_tech,Bloomberg,2026-04-25T00:00:00Z,https://finance.yahoo.com/news/ai-chip-surge-elevates-taiwan-000000285.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,"AI Chip Surge Elevates Taiwan, Korea in Global Equity Rankings",ev_ai_tech,Bloomberg,2026-04-25T00:00:00Z,https://finance.yahoo.com/news/ai-chip-surge-elevates-taiwan-000000285.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,"Is ACM Research, Inc. (ACMR) A Good Stock To Buy Now?",other,Insider Monkey,2026-04-24T20:58:09Z,https://finance.yahoo.com/markets/stocks/articles/acm-research-inc-acmr-good-205809931.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,"Thanks to high gas prices, interest in EVs is soaring",ev_ai_tech,Yahoo Finance Video,2026-04-24T20:39:59Z,https://finance.yahoo.com/video/thanks-to-high-gas-prices-interest-in-evs-is-soaring-203959108.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,"Hyundai Targets 9% China Sales Share, 500,000 Annual Vehicles by 2030",ev_ai_tech,GuruFocus.com,2026-04-24T18:31:37Z,https://finance.yahoo.com/markets/stocks/articles/hyundai-targets-9-china-sales-183137595.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,Is Honda Shutting Down Car Sales in South Korea for Good?,other,Zacks,2026-04-24T14:15:00Z,https://finance.yahoo.com/markets/stocks/articles/honda-shutting-down-car-sales-141500804.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,Is the Memory Supercycle Already Priced In? What the Data Says About Micron Stock.,other,Motley Fool,2026-04-24T12:41:00Z,https://www.fool.com/investing/2026/04/24/is-the-memory-supercycle-already-priced-in-what-th/,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,"The Week in Numbers: gas price peaks, record protest numbers",other,Reuters Videos,2026-04-24T10:52:31Z,https://finance.yahoo.com/video/week-numbers-gas-price-peaks-105231859.html,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,"Samsung's chip output drops overnight as workers protest over pay, union says",ev_ai_tech,Reuters,2026-04-24T10:10:26Z,https://finance.yahoo.com/sectors/technology/articles/samsungs-chip-output-dropped-amid-101026699.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,Nvidia-Supplier SK Hynix Smashes Records with $35 Billion Quarter As AI Demand Defies Seasonality,ev_ai_tech,Benzinga,2026-04-24T10:01:05Z,https://finance.yahoo.com/sectors/technology/articles/nvidia-supplier-sk-hynix-smashes-100105798.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,Hyundai Motor’s net profits fall 24% in Q1,results,Just Auto,2026-04-24T09:35:20Z,https://www.just-auto.com/news/hyundai-motors-net-profits-fall-24-in-q1/,2026-04-27T06:33:11+00:00
105560.KS,KB Financial,KRX,KOR,KB Financial Group Inc (KB) Q1 2026 Earnings Call Highlights: Strong Shareholder Returns and ...,results,GuruFocus.com,2026-04-24T07:00:59Z,https://finance.yahoo.com/markets/stocks/articles/kb-financial-group-inc-kb-070059939.html,2026-04-27T06:33:11+00:00
000660.KS,SK Hynix,KRX,KOR,Intel’s $250 Billion Rally Slams Into a Potential Earnings Wall,results,Bloomberg,2026-04-23T18:16:55Z,https://finance.yahoo.com/markets/stocks/articles/intel-240-billion-rally-slams-091734304.html,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,ASML Holding N.V. (ASML): One of the Stocks That Could Break Trillion Dollar Ceiling,other,Insider Monkey,2026-04-23T17:52:38Z,https://finance.yahoo.com/markets/stocks/articles/asml-holding-n-v-asml-175238777.html,2026-04-27T06:33:11+00:00
005930.KS,Samsung Electronics,KRX,KOR,Samsung faces growing pressure as workers push toward strike,other,GuruFocus.com,2026-04-23T17:04:35Z,https://finance.yahoo.com/sectors/technology/articles/samsung-faces-growing-pressure-workers-170435813.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,Hyundai posts Q1 profit drop and warns of uncertain outlook,results,Reuters Videos,2026-04-23T12:40:14Z,https://finance.yahoo.com/video/hyundai-posts-q1-profit-drop-124014956.html,2026-04-27T06:33:11+00:00
035420.KS,Naver,KRX,KOR,Latest News In E-Commerce - South Korea's Social Commerce Boom Driven By Innovation,other,Simply Wall St.,2026-04-23T12:38:11Z,https://finance.yahoo.com/markets/stocks/articles/latest-news-e-commerce-south-123811949.html,2026-04-27T06:33:11+00:00
035720.KS,Kakao,KRX,KOR,Latest News In E-Commerce - South Korea's Social Commerce Boom Driven By Innovation,other,Simply Wall St.,2026-04-23T12:38:11Z,https://finance.yahoo.com/markets/stocks/articles/latest-news-e-commerce-south-123811949.html,2026-04-27T06:33:11+00:00
006400.KS,Samsung SDI,KRX,KOR,Mercedes-Benz EV Plans Weighed As Samsung SDI And China Charging Deals Grow,ev_ai_tech,Simply Wall St.,2026-04-23T07:05:25Z,https://finance.yahoo.com/markets/stocks/articles/mercedes-benz-ev-plans-weighed-070525676.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,Hyundai Motor Profit Falls Despite Higher Revenue,results,The Wall Street Journal,2026-04-23T06:07:00Z,https://www.wsj.com/business/earnings/hyundai-motor-profit-falls-despite-higher-revenue-931d8a0a?siteid=yhoof2&yptr=yahoo,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,Unionised Samsung workers to hold rally in South Korea as labour unrest grows,other,Reuters,2026-04-22T22:02:17Z,https://finance.yahoo.com/sectors/technology/articles/unionised-samsung-workers-hold-rally-220217564.html,2026-04-27T06:33:11+00:00
005380.KS,Hyundai Motor,KRX,KOR,Tesla Q1 earnings: Should investors be betting against Elon Musk?,results,Yahoo Finance Video,2026-04-22T14:14:49Z,https://finance.yahoo.com/video/tesla-q1-earnings-should-investors-be-betting-against-elon-musk-141449359.html,2026-04-27T06:33:11+00:00
006400.KS,Samsung SDI,KRX,KOR,Mercedes-Benz secures multi-year EV battery supply deal with Samsung SDI,ev_ai_tech,Wards Auto,2026-04-21T11:12:56Z,https://www.wardsauto.com/news/mercedes-benz-secures-multi-year-ev-battery-supply-deal-with-samsung-sdi/817968/,2026-04-27T06:33:11+00:00
006400.KS,Samsung SDI,KRX,KOR,Samsung SDI signs first EV battery deal with Mercedes,ev_ai_tech,Just Auto,2026-04-21T11:11:37Z,https://www.just-auto.com/news/samsung-sdi-signs-first-ev-battery-deal-with-mercedes/,2026-04-27T06:33:11+00:00
006400.KS,Samsung SDI,KRX,KOR,Mercedes and Samsung SDI sign first EV battery supply deal,ev_ai_tech,Euronews,2026-04-20T11:33:27Z,https://www.euronews.com/2026/04/20/mercedes-and-samsung-sdi-sign-first-ev-battery-supply-deal?utm_source=yahoo&utm_campaign=feeds_business_articles_2024&utm_medium=referral,2026-04-27T06:33:11+00:00
006400.KS,Samsung SDI,KRX,KOR,Samsung SDI signs first EV battery supply deal with Mercedes-Benz,ev_ai_tech,Reuters,2026-04-20T06:06:13Z,https://finance.yahoo.com/sectors/technology/articles/samsung-sdi-signs-first-ev-060613347.html,2026-04-27T06:33:11+00:00
028260.KS,Samsung C&T,KRX,KOR,"Samsung C&T, Hitachi Energy partner on European power grid market entry",partnership,Power Technology,2026-04-17T09:00:13Z,https://www.power-technology.com/news/samsung-ct-hitachi-energy-partner/,2026-04-27T06:33:11+00:00
055550.KS,Shinhan Financial,KRX,KOR,SHG or ITUB: Which Is the Better Value Stock Right Now?,other,Zacks,2026-04-15T15:40:01Z,https://finance.yahoo.com/markets/stocks/articles/shg-itub-better-value-stock-154001269.html,2026-04-27T06:33:11+00:00
373220.KS,LG Energy Solution,KRX,KOR,Carmakers navigating the costly and tricky transition to battery storage systems,ev_ai_tech,Reuters,2026-04-15T10:02:47Z,https://finance.yahoo.com/sectors/energy/articles/carmakers-navigating-costly-tricky-transition-100247896.html,2026-04-27T06:33:11+00:00
006400.KS,Samsung SDI,KRX,KOR,Carmakers navigating the costly and tricky transition to battery storage systems,ev_ai_tech,Reuters,2026-04-15T10:02:47Z,https://finance.yahoo.com/sectors/energy/articles/carmakers-navigating-costly-tricky-transition-100247896.html,2026-04-27T06:33:11+00:00
055550.KS,Shinhan Financial,KRX,KOR,Here's Why Momentum in Shinhan Financial (SHG) Should Keep going,other,Zacks,2026-04-09T12:55:02Z,https://finance.yahoo.com/markets/stocks/articles/heres-why-momentum-shinhan-financial-125502284.html,2026-04-27T06:33:11+00:00
373220.KS,LG Energy Solution,KRX,KOR,"LG Energy Reports 207.8 Billion Won Loss, Misses Estimates As EV Demand Weakens",ev_ai_tech,GuruFocus.com,2026-04-07T18:26:11Z,https://finance.yahoo.com/sectors/energy/articles/lg-energy-reports-207-8-182611369.html,2026-04-27T06:33:11+00:00
373220.KS,LG Energy Solution,KRX,KOR,LG Energy Solution swings to Q1 loss on weak EV demand,ev_ai_tech,Just Auto,2026-04-07T16:23:29Z,https://www.just-auto.com/news/lg-energy-solution-swings-q1-loss/,2026-04-27T06:33:11+00:00
373220.KS,LG Energy Solution,KRX,KOR,Korean battery makers adapt to falling US BEV demand,ev_ai_tech,Just Auto,2026-04-07T15:57:46Z,https://www.just-auto.com/features/korean-battery-makers-adapt-to-falling-us-bev-demand/,2026-04-27T06:33:11+00:00
