ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
AZN.L,AstraZeneca,LSE,GBR,AstraZeneca PLC (AZN) Announces Positive Results From a Prespecified Interim Analysis of the I CAN Phase III Trial,results,Insider Monkey,2026-04-27T06:05:13Z,https://finance.yahoo.com/sectors/healthcare/articles/astrazeneca-plc-azn-announces-positive-060513261.html,2026-04-27T06:34:22+00:00
VOD.L,Vodafone,LSE,GBR,Deutsche Bank Lifts PT on Vodafone Group Public Limited (VOD) to 155 GBp,other,Insider Monkey,2026-04-27T05:48:21Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-bank-lifts-pt-vodafone-054821132.html,2026-04-27T06:34:22+00:00
RIO.L,Rio Tinto,LSE,GBR,JPMorgan Lifts PT on Rio Tinto Group (RIO) Following Q1 Results,results,Insider Monkey,2026-04-27T05:30:18Z,https://finance.yahoo.com/markets/stocks/articles/jpmorgan-lifts-pt-rio-tinto-053018385.html,2026-04-27T06:34:22+00:00
HSBA.L,HSBC,LSE,GBR,"Deutsche Bank Lifts PT on HSBC Holdings Plc (HSBC) to 1,450 GBp",other,Insider Monkey,2026-04-27T05:28:57Z,https://finance.yahoo.com/markets/stocks/articles/deutsche-bank-lifts-pt-hsbc-052857512.html,2026-04-27T06:34:22+00:00
BARC.L,Barclays,LSE,GBR,How The Nova (NVMI) Investment Story Is Shifting With Metrology Demand And New Metrion Adoption,other,Simply Wall St.,2026-04-27T01:08:11Z,https://finance.yahoo.com/markets/stocks/articles/nova-nvmi-investment-story-shifting-010811157.html,2026-04-27T06:34:22+00:00
STAN.L,Standard Chartered,LSE,GBR,How The Standard Chartered (LSE:STAN) Story Is Shifting As Analyst Targets Realign,other,Simply Wall St.,2026-04-26T23:05:02Z,https://finance.yahoo.com/markets/stocks/articles/standard-chartered-lse-stan-story-230502716.html,2026-04-27T06:34:22+00:00
SHEL.L,Shell,LSE,GBR,Europe Emerges As Key Buyer Of U.S. Strategic Petroleum Reserve Oil,other,Oilprice.com,2026-04-26T23:00:00Z,https://finance.yahoo.com/sectors/energy/articles/europe-emerges-key-buyer-u-230000848.html,2026-04-27T06:34:22+00:00
BP.L,BP,LSE,GBR,Europe Emerges As Key Buyer Of U.S. Strategic Petroleum Reserve Oil,other,Oilprice.com,2026-04-26T23:00:00Z,https://finance.yahoo.com/sectors/energy/articles/europe-emerges-key-buyer-u-230000848.html,2026-04-27T06:34:22+00:00
AZN.L,AstraZeneca,LSE,GBR,AstraZeneca PLC (AZN): One of the Best Low Risk High Growth Firms,other,Insider Monkey,2026-04-26T20:22:33Z,https://finance.yahoo.com/markets/stocks/articles/astrazeneca-plc-azn-one-best-202233164.html,2026-04-27T06:34:22+00:00
HSBA.L,HSBC,LSE,GBR,HSBC Holdings plc (HSBC): One of the Low Risk High Growth Stocks to Buy?,other,Insider Monkey,2026-04-26T20:21:45Z,https://finance.yahoo.com/markets/stocks/articles/hsbc-holdings-plc-hsbc-one-202145159.html,2026-04-27T06:34:22+00:00
BARC.L,Barclays,LSE,GBR,How The Howden Joinery Group (LSE:HWDN) Story Is Shifting Around Targets Near £10,other,Simply Wall St.,2026-04-26T20:05:13Z,https://finance.yahoo.com/markets/stocks/articles/howden-joinery-group-lse-hwdn-200513645.html,2026-04-27T06:34:22+00:00
