ticker,bear_score,top_signals,bankruptcy,delisting,recency_min
IFED,144,424B2 (+4)|424B2 (+4)|424B2 (+4),0,0,5833
BNS,36,424B2 (+4)|424B2 (+4)|424B2 (+4),0,0,128
BAC-PS,36,424B2 (+4)|424B2 (+4)|424B2 (+4),0,0,119
PRKR,36,424B3 (+4)|424B3 (+4)|424B3 (+4),0,0,120
ZYXIQ,36,BANKRUPTCY filing (+12)|BANKRUPTCY filing (+12)|BANKRUPTCY filing (+12),1,0,
C-PR,28,424B2 (+4)|424B2 (+4)|424B2 (+4),0,0,5916
GSCE,28,424B2 (+4)|424B2 (+4)|424B2 (+4),0,0,124
VYLD,28,424B2 (+4)|424B2 (+4)|424B2 (+4),0,0,125
CMLS,24,BANKRUPTCY filing (+12)|BANKRUPTCY filing (+12),1,0,
NINE,24,BANKRUPTCY filing (+12)|BANKRUPTCY filing (+12),1,0,
MTEX,18,NT-10-K/A (+6)|Late-filing repeat (2x) (+3)|NT-10-K (+6),0,0,
IACQ,16,S-1 (+4)|S-1/A (+4)|S-1 (+4),0,0,5735
BGFR,16,NT-10-Q/A (+5)|Late-filing repeat (2x) (+3)|NT-10-Q (+5),0,0,
USB-PS,12,424B3 (+4)|424B3 (+4)|424B3 (+4),0,0,184
LRHC,12,8-K/A (+6)|NT-10-K/A (+6),0,0,600
HCWB,12,S-1 (+4)|S-1/A (+4)|S-1 (+4),0,0,5838
QVCGA,12,BANKRUPTCY filing (+12),1,0,
QVCC,12,BANKRUPTCY filing (+12),1,0,
LAZRQ,12,BANKRUPTCY filing (+12),1,0,
IOBT,12,BANKRUPTCY filing (+12),1,0,
LIPO,12,BANKRUPTCY filing (+12),1,0,
ITRM,12,BANKRUPTCY filing (+12),1,0,
BRST,12,BANKRUPTCY filing (+12),1,0,
CBSTF,12,BANKRUPTCY filing (+12),1,0,
NINEQ,12,BANKRUPTCY filing (+12),1,0,
GVA,12,BANKRUPTCY filing (+12),1,0,
HHH,12,BANKRUPTCY filing (+12),1,0,
OPITQ,12,BANKRUPTCY filing (+12),1,0,
TWNP,12,BANKRUPTCY filing (+12),1,0,
FAT,12,BANKRUPTCY filing (+12),1,0,
VLDX,11,424B5 (+5)|8-K/A (+6),0,0,747
ORKA,10,424B5 (+5)|424B5 (+5),0,0,68
PINE-PA,10,424B5 (+5)|424B5 (+5),0,0,4455
LANDO,10,424B5 (+5)|424B5 (+5),0,0,4975
HCA,9,424B3 (+4)|S-3 (+5),0,0,599
DUKR,8,S-1 (+4)|S-1/A (+4),0,0,61
TDBCP,8,424B2 (+4)|424B2 (+4),0,0,110
TRWD,8,S-1 (+4)|S-1/A (+4),0,0,98
MOBI,8,S-1 (+4)|S-1/A (+4),0,0,102
SMTK,8,424B3 (+4)|424B3 (+4),0,0,120
FUSE,8,S-1 (+4)|S-1/A (+4),0,0,119
CAII,8,S-1 (+4)|S-1/A (+4),0,0,123
BNZI,8,424B3 (+4)|424B3 (+4),0,0,135
SKAI,8,S-1 (+4)|S-1/A (+4),0,0,170
RREV,8,S-1 (+4)|S-1/A (+4),0,0,248
SUJA,8,S-1 (+4)|S-1/A (+4),0,0,676
COAG,8,S-1 (+4)|S-1/A (+4),0,0,681
HAWK,8,S-1 (+4)|S-1/A (+4),0,0,699
SPTX,8,S-1 (+4)|S-1/A (+4),0,0,744
QLEP,8,S-1 (+4)|S-1/A (+4),0,0,4272
MDCX,8,424B3 (+4)|424B3 (+4),0,0,5840
NAKA,8,424B3 (+4)|424B3 (+4),0,0,4386
ETSS,8,S-1 (+4)|S-1/A (+4),0,0,4383
AIAI,8,S-1 (+4)|S-1/A (+4),0,0,4440
CPER,8,424B3 (+4)|424B3 (+4),0,0,4455
RBKB,8,S-1 (+4)|S-1/A (+4),0,0,4455
DSS,8,S-1 (+4)|S-1/A (+4),0,0,4465
OTAI,8,S-1 (+4)|S-1/A (+4),0,0,4813
SBMT,8,S-1 (+4)|S-1/A (+4),0,0,4842
CXII,8,S-1 (+4)|S-1/A (+4),0,0,5060
XELB,8,S-1 (+4)|S-1/A (+4),0,0,5805
RACC,8,S-1 (+4)|S-1/A (+4),0,0,5845
PS,8,S-1 (+4)|S-1/A (+4),0,0,5855
GLND,8,S-1 (+4)|S-1/A (+4),0,0,5887
AVLN,8,S-1 (+4)|S-1/A (+4),0,0,5909
XE,7,424B4 (+3)|S-1 (+4),0,0,5573
ELSE,6,8-K/A (+6),0,0,62
XOMAP,6,8-K/A (+6),0,0,149
INDP,6,8-K/A (+6),0,0,4410
ANABV,6,8-K/A (+6),0,0,4453
NVCR,6,8-K/A (+6),0,0,4462
PGC,6,8-K/A (+6),0,0,4508
BIRD,6,8-K/A (+6),0,0,5588
THRM,6,8-K/A (+6),0,0,5848
PEG,6,8-K/A (+6),0,0,5879
CABO,6,8-K/A (+6),0,0,5895
CDNA,6,8-K/A (+6),0,0,5898
CASIF,6,NT-20-F (+6),0,0,
NROM,6,NT-10-K/A (+6),0,0,
HIGR,6,NT-10-K (+6),0,0,
GRST,6,NT-10-K (+6),0,0,
LIVG,6,NT-10-K/A (+6),0,0,
DAIO,6,NT-10-K/A (+6),0,0,
SKFG,6,NT-10-K (+6),0,0,
AIXN,6,NT-10-K (+6),0,0,
ROYL,6,NT-10-K (+6),0,0,
ASFT,6,NT-10-K (+6),0,0,
BLNC,6,NT-10-K (+6),0,0,
CFOO,6,NT-10-K (+6),0,0,
IVF,6,NT-10-K (+6),0,0,
GLVT,6,NT-10-K (+6),0,0,
BRGX,6,NT-10-K (+6),0,0,
TXMD,6,NT-10-K (+6),0,0,
STQN,6,NT-10-K (+6),0,0,
BIXT,6,NT-10-K (+6),0,0,
QWTR,6,NT-10-K (+6),0,0,
ASFH,6,NT-10-K (+6),0,0,
BRQL,6,NT-10-K (+6),0,0,
RBTK,6,NT-10-K (+6),0,0,
MNTR,6,NT-10-K (+6),0,0,
AAPI,6,NT-10-K (+6),0,0,
AUMN,6,NT-10-K (+6),0,0,
OBTC,6,NT-10-K (+6),0,0,
SNYR,6,NT-10-K (+6),0,0,
IPST,6,NT-10-K (+6),0,0,
PMHS,6,NT-10-K (+6),0,0,
AAME,6,NT-10-K (+6),0,0,
SGA,6,NT-10-K (+6),0,0,
PNRG,6,NT-10-K (+6),0,0,
TGLO,6,NT-10-K (+6),0,0,
QNCX,6,NT-10-K (+6),0,0,
AMZE,6,NT-10-K (+6),0,0,
OZSC,6,NT-10-K (+6),0,0,
TKLS,6,NT-10-K (+6),0,0,
OLOX,6,NT-10-K (+6),0,0,
APTN,6,NT-10-K (+6),0,0,
VS,6,NT-10-K (+6),0,0,
OLB,6,NT-10-K (+6),0,0,
NFSN,6,NT-10-K (+6),0,0,
ILAL,6,NT-10-K (+6),0,0,
MLP,6,NT-10-K (+6),0,0,
VERI,6,NT-10-K (+6),0,0,
PPSI,6,NT-10-K (+6),0,0,
BRBF,6,NT-10-K (+6),0,0,
CHUC,6,NT-10-K (+6),0,0,
RENX,6,NT-10-K (+6),0,0,
FOFA,6,NT-10-K (+6),0,0,
FTII,6,NT-10-K (+6),0,0,
EHSI,6,NT-10-K (+6),0,0,
XWEL,6,NT-10-K (+6),0,0,
JUNS,6,NT-10-K (+6),0,0,
DREM,6,NT-10-K (+6),0,0,
HYEX,6,NT-10-K (+6),0,0,
WSTRF,6,NT-10-K (+6),0,0,
CNFN,6,NT-10-K (+6),0,0,
OMQS,6,NT-10-K (+6),0,0,
RIME,6,NT-10-K (+6),0,0,
FJET,6,NT-10-K (+6),0,0,
SIDU,6,NT-10-K (+6),0,0,
JNJ,6,Form 4 activity cluster — 11 filings (+6),0,0,
PFE,6,Form 4 activity cluster — 4 filings (+6),0,0,
WBTN,6,Form 4 activity cluster — 2 filings (+6),0,0,
SRTA,6,Form 4 activity cluster — 4 filings (+6),0,0,
MDAI,6,Form 4 activity cluster — 3 filings (+6),0,0,
EIX,6,Form 4 activity cluster — 3 filings (+6),0,0,
NTLA,5,424B5 (+5),0,0,71
CSV,5,S-3 (+5),0,0,75
LFWD,5,S-3 (+5),0,0,90
OPAD,5,S-3 (+5),0,0,98
TNET,5,S-3 (+5),0,0,100
GPUS-PD,5,S-3 (+5),0,0,111
VOR,5,S-3 (+5),0,0,139
INDO,5,424B5 (+5),0,0,145
PDSB,5,S-3 (+5),0,0,399
INTC,5,424B5 (+5),0,0,550
ALLY,5,424B5 (+5),0,0,573
HXL,5,424B5 (+5),0,0,578
HSDT,5,424B5 (+5),0,0,586
TRT,5,424B5 (+5),0,0,747
BMNR,5,S-3 (+5),0,0,4382
MVIS,5,S-3 (+5),0,0,4390
BURU,5,S-3 (+5),0,0,4398
HIT,5,S-3 (+5),0,0,4404
SES-WT,5,S-3 (+5),0,0,4405
IDAI,5,S-3 (+5),0,0,4409
GLW,5,S-3 (+5),0,0,4440
COSM,5,S-3 (+5),0,0,4440
ADC-PA,5,424B5 (+5),0,0,4440
BRT,5,S-3 (+5),0,0,4454
LODE,5,S-3 (+5),0,0,4454
QTTB,5,424B5 (+5),0,0,4463
CTXR,5,424B5 (+5),0,0,4866
ALT,5,424B5 (+5),0,0,5581
LUCD,5,424B5 (+5),0,0,5821
MYSE,5,424B5 (+5),0,0,5840
LVO,5,424B5 (+5),0,0,5880
DHR,5,424B5 (+5),0,0,5895
DVLT,5,424B5 (+5),0,0,5909
TDIC,5,424B5 (+5),0,0,6123
LZM-WT,5,424B5 (+5),0,0,6318
TOYWF,5,424B5 (+5),0,0,6390
