ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
6501.T,Hitachi,TSE,JPN,Hitachi (TSE:6501) Valuation Check After Strong 1 Year Return And Current P/E Premium,other,Simply Wall St.,2026-04-27T02:08:58Z,https://finance.yahoo.com/markets/stocks/articles/hitachi-tse-6501-valuation-check-020858196.html,2026-04-27T06:35:14+00:00
7974.T,Nintendo,TSE,JPN,Lionsgate’s ‘Michael’ Wins Weekend Box Office in Fresh Record for Biopics,other,Barrons.com,2026-04-26T21:13:00Z,https://www.barrons.com/articles/lionsgates-michael-weekend-box-office-record-cbdaf415?siteid=yhoof2&yptr=yahoo,2026-04-27T06:35:14+00:00
7203.T,Toyota,TSE,JPN,Toyota Motor Corporation (TM): One of the Best Low Risk High Growth Stocks to Invest In,other,Insider Monkey,2026-04-26T20:24:48Z,https://finance.yahoo.com/markets/stocks/articles/toyota-motor-corporation-tm-one-202448353.html,2026-04-27T06:35:14+00:00
6758.T,Sony,TSE,JPN,Assessing Sony Group (TSE:6758) Valuation After Mixed Share Performance And Diverging Fair Value Estimates,other,Simply Wall St.,2026-04-26T15:05:24Z,https://finance.yahoo.com/markets/stocks/articles/assessing-sony-group-tse-6758-150524974.html,2026-04-27T06:35:14+00:00
8306.T,Mitsubishi UFJ,TSE,JPN,A Look At Mitsubishi UFJ Financial Group (TSE:8306) Valuation After Strong Long Term Shareholder Returns,other,Simply Wall St.,2026-04-25T21:05:59Z,https://finance.yahoo.com/markets/stocks/articles/look-mitsubishi-ufj-financial-group-210559755.html,2026-04-27T06:35:14+00:00
7203.T,Toyota,TSE,JPN,Looking to get an EV for the first time? How to avoid making a huge financial mistake.,other,MarketWatch,2026-04-25T13:00:00Z,https://www.marketwatch.com/story/looking-to-get-an-ev-for-the-first-time-how-to-avoid-making-a-huge-financial-mistake-13f1a554,2026-04-27T06:35:14+00:00
7203.T,Toyota,TSE,JPN,"‘We will not survive’: Toyota, Honda and Ford CEOs issue chilling warning about China — and it could hit your portfolio",other,Moneywise,2026-04-25T13:00:00Z,https://finance.yahoo.com/markets/stocks/articles/not-survive-toyota-honda-ford-130000088.html,2026-04-27T06:35:14+00:00
9984.T,SoftBank Group,TSE,JPN,Is SoftBank Group (TSE:9984) Rewriting Its AI Strategy Through Rising Leverage And OpenAI-Backed Debt?,other,Simply Wall St.,2026-04-25T07:04:38Z,https://finance.yahoo.com/markets/stocks/articles/softbank-group-tse-9984-rewriting-070438623.html,2026-04-27T06:35:14+00:00
9984.T,SoftBank Group,TSE,JPN,Microsoft Corp. (MSFT) Well-Positioned with Overseas AI Infrastructure and Cybersecurity Investments,other,Insider Monkey,2026-04-25T03:43:54Z,https://finance.yahoo.com/sectors/technology/articles/microsoft-corp-msft-well-positioned-034354207.html,2026-04-27T06:35:14+00:00
8306.T,Mitsubishi UFJ,TSE,JPN,"Organon (OGN) Takeover Bid Climbs to $13B, Shares Soar 30.9%",merger,Insider Monkey,2026-04-25T02:00:17Z,https://finance.yahoo.com/markets/stocks/articles/organon-ogn-takeover-bid-climbs-020017548.html,2026-04-27T06:35:14+00:00
9984.T,SoftBank Group,TSE,JPN,Does Intel's Post Q1 Surge Signal a Turnaround Worth Buying Into?,other,Zacks,2026-04-25T00:33:00Z,https://finance.yahoo.com/markets/stocks/articles/does-intels-post-q1-surge-003300691.html,2026-04-27T06:35:14+00:00
9984.T,SoftBank Group,TSE,JPN,Is SoftBank (TSE:9434) Still Attractive After Flat Recent Share Price Performance,other,Simply Wall St.,2026-04-24T23:03:46Z,https://finance.yahoo.com/markets/stocks/articles/softbank-tse-9434-still-attractive-230346952.html,2026-04-27T06:35:14+00:00
9984.T,SoftBank Group,TSE,JPN,SoftBank’s $10b OpenAI Loan Deepens AI Bet And Credit Concerns,other,Simply Wall St.,2026-04-24T22:07:23Z,https://finance.yahoo.com/markets/stocks/articles/softbank-10b-openai-loan-deepens-220723803.html,2026-04-27T06:35:14+00:00
6758.T,Sony,TSE,JPN,Sony (SONY) Stock Slides as Market Rises: Facts to Know Before You Trade,other,Zacks,2026-04-24T21:50:03Z,https://finance.yahoo.com/markets/stocks/articles/sony-sony-stock-slides-market-215003404.html,2026-04-27T06:35:14+00:00
7203.T,Toyota,TSE,JPN,Ford Is in Talks With China’s Geely. Why the ‘Most American’ Auto Maker Is Looking Abroad.,other,Barrons.com,2026-04-24T21:26:00Z,https://www.barrons.com/articles/ford-stock-price-geely-china-america-11623832?siteid=yhoof2&yptr=yahoo,2026-04-27T06:35:14+00:00
7203.T,Toyota,TSE,JPN,"Thanks to high gas prices, interest in EVs is soaring",other,Yahoo Finance Video,2026-04-24T20:39:59Z,https://finance.yahoo.com/video/thanks-to-high-gas-prices-interest-in-evs-is-soaring-203959108.html,2026-04-27T06:35:14+00:00
4502.T,Takeda,TSE,JPN,ADMA vs Takeda: Which Plasma Therapy Stock Is the Better Buy Today?,other,Zacks,2026-04-24T18:21:00Z,https://finance.yahoo.com/sectors/healthcare/articles/adma-vs-takeda-plasma-therapy-182100709.html,2026-04-27T06:35:14+00:00
