filed_utc,kind,title,link,summary
2026-04-27T00:00:00Z,civil_rights,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection: Title-Immigrant and Employee Rights Section Charge Form,https://www.federalregister.gov/documents/2026/04/27/2026-08131/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,"The Civil Rights Division, Department of Justice (DOJ) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act (PRA) of 1995."
2026-04-27T00:00:00Z,doj_general,Agency Information Collection Activities: Proposed New Information Collection Activity; Comment Request: Proposed Study Entitled “Pilot Study Examining Interpersonal Violence Experienced by Young Adults”,https://www.federalregister.gov/documents/2026/04/27/2026-08121/agency-information-collection-activities-proposed-new-information-collection-activity-comment,"The Department of Justice (DOJ), Office of Justice Programs, National Institute of Justice, is submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995."
2026-04-24T00:00:00Z,drug_scheduling,Schedules of Controlled Substances: Placement of MDMB-4en-PINACA in Schedule I,https://www.federalregister.gov/documents/2026/04/24/2026-08104/schedules-of-controlled-substances-placement-of-mdmb-4en-pinaca-in-schedule-i,"With the issuance of this final rule, the Drug Enforcement Administration places methyl 3,3-dimethyl-2-(1-(pent-4-en-1-yl)-1H- indazole-3-carboxamido)butanoate (other name: MDMB-4en-PINACA), including its salts, isomers, and salts of isomers whenever the existence of such salts, isomers, and salts of isomers is possible, in schedule I of the Controlled Substances Act. This action is being taken,..."
2026-04-24T00:00:00Z,antitrust_final_judgment,"United States et al. v. Constellation Energy Corporation, Inc. et al. Response of Plaintiff United States to Public Comments on the Proposed Final Judgment",https://www.federalregister.gov/documents/2026/04/24/2026-08095/united-states-et-al-v-constellation-energy-corporation-inc-et-al-response-of-plaintiff-united-states,
2026-04-23T00:00:00Z,dpa_nap,Notice Pursuant to the Defense Production Act of 1950,https://www.federalregister.gov/documents/2026/04/23/2026-07900/notice-pursuant-to-the-defense-production-act-of-1950,"Notice is hereby given pursuant to section 708 of the Defense Production Act of 1950 (""DPA""), that the Acting Assistant Attorney General finds, with respect to the Implementing Voluntary Agreements Under the Defense Production Act (""Voluntary Agreement"") proposed by the Department of Energy (""DOE""), that the purposes of section 708(c)(1) of the DPA may not reasonably be achieved through plans of..."
2026-04-23T00:00:00Z,doj_general,Agency Information Collection Activities; Proposed eCollection eComments Requested; Reinstatement of a Previously Approved Collection; Title: National Motor Vehicle Title Information System (NMVTIS),https://www.federalregister.gov/documents/2026/04/23/2026-07895/agency-information-collection-activities-proposed-ecollection-ecomments-requested-reinstatement-of-a,"The Office of Justice Programs, Department of Justice (DOJ), will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995."
2026-04-23T00:00:00Z,doj_general,Agency Information Collection Activities; Proposed eCollection eComments Requested; Reinstatement of a Previously Approved Collection; Title: Patrick Leahy Bulletproof Vest Partnership Program,https://www.federalregister.gov/documents/2026/04/23/2026-07893/agency-information-collection-activities-proposed-ecollection-ecomments-requested-reinstatement-of-a,"The Office of Justice Programs, Department of Justice (DOJ), will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995."
2026-04-23T00:00:00Z,dpa_nap,Notice Pursuant to the Defense Production Act of 1950,https://www.federalregister.gov/documents/2026/04/23/2026-07892/notice-pursuant-to-the-defense-production-act-of-1950,"Notice is hereby given pursuant to section 708 of the Defense Production Act of 1950 (""DPA""), that the Acting Assistant Attorney General finds, with respect to the Implementing Voluntary Agreements Under the Defense Production Act (""Voluntary Agreement"") proposed by the Department of Energy (""DOE""), that the purposes of section 708(c)(1) of the DPA may not reasonably be achieved through a..."
2026-04-22T00:00:00Z,proposed_rule,"Notice of Proposed Settlement Agreement Under the Comprehensive Environmental Response, Compensation, and Liability Act",https://www.federalregister.gov/documents/2026/04/22/2026-07765/notice-of-proposed-settlement-agreement-under-the-comprehensive-environmental-response-compensation,
2026-04-21T00:00:00Z,doj_general,Bulk Manufacturer of Controlled Substances Application: AJNA Biosciences,https://www.federalregister.gov/documents/2026/04/21/2026-07698/bulk-manufacturer-of-controlled-substances-application-ajna-biosciences,AJNA Biosciences has applied to be registered as a bulk manufacturer of basic class(es) of controlled substance(s). Refer to Supplementary Information listed below for further drug information.
2026-04-21T00:00:00Z,doj_general,Importer of Controlled Substances Application: VA Cooperative Studies Program,https://www.federalregister.gov/documents/2026/04/21/2026-07697/importer-of-controlled-substances-application-va-cooperative-studies-program,VA Cooperative Studies Program has applied to be registered as an importer of basic class(es) of controlled substance(s). Refer to Supplementary Information listed below for further drug information.
2026-04-21T00:00:00Z,doj_general,Importer of Controlled Substances Application: Leading Pharma LLC,https://www.federalregister.gov/documents/2026/04/21/2026-07696/importer-of-controlled-substances-application-leading-pharma-llc,Leading Pharma LLC has applied to be registered as an importer of basic class(es) of controlled substance(s). Refer to Supplementary Information listed below for further drug information.
2026-04-20T00:00:00Z,civil_rights,Extension of Compliance Dates for Nondiscrimination on the Basis of Disability; Accessibility of Web Information and Services of State and Local Government Entities,https://www.federalregister.gov/documents/2026/04/20/2026-07663/extension-of-compliance-dates-for-nondiscrimination-on-the-basis-of-disability-accessibility-of-web,"By this Interim Final Rule (""IFR""), the Department of Justice (""Department"") is revising the regulations implementing title II of the Americans with Disabilities Act (""ADA"") to extend the compliance dates for the requirements for web content and mobile application (""app"") accessibility that were adopted on April 24, 2024. The compliance date for State and local government entities with a total..."
2026-04-20T00:00:00Z,doj_general,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-Blockchain Security Standards Council, Inc.",https://www.federalregister.gov/documents/2026/04/20/2026-07658/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-blockchain-security,
2026-04-17T00:00:00Z,doj_general,"Agency Information Collection Activities; Proposed eCollection eComments Requested; Reinstatement, With Change, of a Previously Approved Collection for Which Approval has Expired: Census of State and Local Law Enforcement Agencies (CSLLEA)",https://www.federalregister.gov/documents/2026/04/17/2026-07567/agency-information-collection-activities-proposed-ecollection-ecomments-requested-reinstatement-with,"The Bureau of Justice Statistics, Department of Justice (DOJ) will be submitting the following information collection request to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995."
2026-04-17T00:00:00Z,doj_general,"Bulk Manufacturer of Controlled Substances Application: Usona Institute, Inc.",https://www.federalregister.gov/documents/2026/04/17/2026-07562/bulk-manufacturer-of-controlled-substances-application-usona-institute-inc,"Usona Institute, Inc. has applied to be registered as a bulk manufacturer of basic class(es) of controlled substance(s). Refer to SUPPLEMENTARY INFORMATION listed below for further drug information."
