month,new_orders_b,core_capex_b,capex_ship_b,core_capex_yoy_pct,captured_at
2026-02-01,315.9,79.5,79.6,5.26,2026-04-27T23:02:03Z
2026-01-01,320.0,79.0,78.8,3.97,2026-04-27T23:02:03Z
2025-12-01,321.3,79.3,78.8,6.26,2026-04-27T23:02:03Z
2025-11-01,324.3,78.6,78.0,5.80,2026-04-27T23:02:03Z
2025-10-01,307.6,77.9,77.8,6.14,2026-04-27T23:02:03Z
2025-09-01,314.1,77.6,77.2,4.17,2026-04-27T23:02:03Z
2025-08-01,312.1,76.8,76.3,4.16,2026-04-27T23:02:03Z
2025-07-01,303.0,76.2,76.4,3.71,2026-04-27T23:02:03Z
2025-06-01,311.8,75.6,76.0,2.81,2026-04-27T23:02:03Z
2025-05-01,344.1,76.0,75.7,3.98,2026-04-27T23:02:03Z
2025-04-01,295.2,74.6,75.4,0.80,2026-04-27T23:02:03Z
2025-03-01,316.2,75.8,75.5,2.43,2026-04-27T23:02:03Z
2025-02-01,294.0,75.6,75.1,2.15,2026-04-27T23:02:03Z
2025-01-01,291.2,76.0,74.7,3.13,2026-04-27T23:02:03Z
2024-12-01,290.6,74.6,74.5,0.70,2026-04-27T23:02:03Z
2024-11-01,288.3,74.3,74.3,0.04,2026-04-27T23:02:03Z
2024-10-01,293.3,73.4,73.9,-0.97,2026-04-27T23:02:03Z
2024-09-01,292.5,74.5,74.0,-0.06,2026-04-27T23:02:03Z
2024-08-01,289.9,73.7,74.0,-0.87,2026-04-27T23:02:03Z
2024-07-01,293.2,73.4,74.0,-2.28,2026-04-27T23:02:03Z
2024-06-01,281.1,73.5,74.1,-1.64,2026-04-27T23:02:03Z
2024-05-01,286.8,73.1,74.2,-2.95,2026-04-27T23:02:03Z
2024-04-01,287.0,74.0,74.7,-0.52,2026-04-27T23:02:03Z
2024-03-01,287.4,74.0,74.6,0.18,2026-04-27T23:02:03Z
2024-02-01,282.6,74.0,74.7,-0.30,2026-04-27T23:02:03Z
2024-01-01,280.6,73.7,75.3,-2.29,2026-04-27T23:02:03Z
2023-12-01,304.3,74.1,74.9,-2.68,2026-04-27T23:02:03Z
2023-11-01,298.6,74.3,74.9,-2.88,2026-04-27T23:02:03Z
2023-10-01,286.0,74.2,75.3,-3.87,2026-04-27T23:02:03Z
2023-09-01,298.2,74.5,75.2,-3.13,2026-04-27T23:02:03Z
2023-08-01,289.1,74.4,75.6,-4.77,2026-04-27T23:02:03Z
2023-07-01,293.3,75.1,75.4,-2.63,2026-04-27T23:02:03Z
2023-06-01,304.0,74.8,75.4,-3.05,2026-04-27T23:02:03Z
2023-05-01,289.7,75.4,75.6,-1.67,2026-04-27T23:02:03Z
2023-04-01,290.2,74.4,75.2,-2.00,2026-04-27T23:02:03Z
2023-03-01,289.3,73.9,74.6,-3.01,2026-04-27T23:02:03Z
