ticker,company,report_date,time,eps_forecast,num_estimates,last_year_eps,last_year_report_date,market_cap
VZ,Verizon Communications Inc.,2026-04-27,time-pre-market,$1.22,9,$1.19,4/22/2025,"$195,616,191,712"
CDNS,"Cadence Design Systems, Inc.",2026-04-27,time-after-hours,$1.53,5,$1.19,4/28/2025,"$91,908,288,517"
PSA,Public Storage,2026-04-27,time-after-hours,$4.13,6,$4.12,4/30/2025,"$54,117,890,965"
NUE,Nucor Corporation,2026-04-27,time-after-hours,$2.79,5,$0.77,4/28/2025,"$48,801,471,153"
CLS,"Celestica, Inc.",2026-04-27,time-after-hours,$1.98,3,$1,4/24/2025,"$47,140,853,692"
VTR,"Ventas, Inc.",2026-04-27,time-after-hours,$0.91,6,$0.84,4/30/2025,"$39,758,230,526"
CINF,Cincinnati Financial Corporation,2026-04-27,time-after-hours,$1.93,8,($0.24),4/28/2025,"$25,595,978,900"
AVB,"AvalonBay Communities, Inc.",2026-04-27,time-after-hours,$2.80,7,$2.83,4/30/2025,"$23,979,994,862"
BRO,"Brown & Brown, Inc.",2026-04-27,time-after-hours,$1.36,5,$1.29,4/28/2025,"$22,376,950,687"
AMKR,"Amkor Technology, Inc.",2026-04-27,time-after-hours,$0.23,3,$0.09,4/28/2025,"$19,354,057,688"
RMBS,"Rambus, Inc.",2026-04-27,time-after-hours,$0.55,1,$0.51,4/28/2025,"$17,074,051,949"
SUI,"Sun Communities, Inc.",2026-04-27,time-after-hours,$1.31,2,$1.26,5/05/2025,"$15,998,806,140"
DPZ,Domino's Pizza Inc,2026-04-27,time-pre-market,$4.29,10,$4.33,4/28/2025,"$12,369,717,184"
TFII,TFI International Inc.,2026-04-27,time-after-hours,$0.59,5,$0.76,4/23/2025,"$11,382,379,181"
CCK,"Crown Holdings, Inc.",2026-04-27,time-after-hours,$1.75,5,$1.67,4/28/2025,"$11,351,029,617"
UHS,"Universal Health Services, Inc.",2026-04-27,time-after-hours,$5.29,7,$4.84,4/28/2025,"$10,640,533,077"
SANM,Sanmina Corporation,2026-04-27,time-after-hours,$1.99,3,$1.20,4/28/2025,"$10,492,875,278"
CR,Crane Company,2026-04-27,time-after-hours,$1.44,5,$1.39,4/28/2025,"$10,398,515,569"
BRX,Brixmor Property Group Inc.,2026-04-27,time-after-hours,$0.57,6,$0.56,4/28/2025,"$9,312,481,310"
GGB,Gerdau S.A.,2026-04-27,time-after-hours,$0.15,1,$0.06,4/28/2025,"$8,512,870,170"
ARE,"Alexandria Real Estate Equities, Inc.",2026-04-27,time-after-hours,$1.73,5,$2.30,4/28/2025,"$8,206,223,687"
SSD,"Simpson Manufacturing Company, Inc.",2026-04-27,time-after-hours,$1.84,3,$1.85,4/28/2025,"$7,479,597,848"
NOV,NOV Inc.,2026-04-27,time-after-hours,$0.17,10,$0.19,4/28/2025,"$7,392,933,963"
RIG,Transocean Ltd.,2026-04-27,time-not-supplied,$0.07,5,($0.10),4/28/2025,"$6,762,246,331"
SEB,Seaboard Corporation,2026-04-27,time-not-supplied,,3,$32.95,N/A,"$5,586,869,870"
SEI,"Solaris Energy Infrastructure, Inc.",2026-04-27,time-after-hours,$0.25,4,$0.20,4/28/2025,"$5,321,273,466"
KRC,Kilroy Realty Corporation,2026-04-27,time-after-hours,$0.87,4,$1.02,5/05/2025,"$3,726,214,164"
CDP,COPT Defense Properties,2026-04-27,time-after-hours,$0.68,1,$0.65,4/28/2025,"$3,640,595,130"
