filed,kind,title,url,captured_at
2024-06-28T08:22:54Z,press,Call for papers - 13th Annual Research Workshop - Boundaries of Banking Regulation,https://www.eba.europa.eu/publications-and-media/events/call-papers-13th-annual-research-workshop-boundaries-banking-regulation,2026-04-27T22:57:32
2026-04-24T15:00:03Z,capital,"EBA E-mail alert 24 April, 2026",https://www.eba.europa.eu/node/19599,2026-04-27T22:57:32
2026-04-24T15:00:03Z,supervision,"The ESA’s Joint Committee highlights digitalisation, cyber resilience and sustainable finance as key priorities of 2025",https://www.eba.europa.eu/publications-and-media/press-releases/esas-joint-committee-highlights-digitalisation-cyber-resilience-and-sustainable-finance-key,2026-04-27T22:57:32
2026-04-23T15:00:03Z,reporting,"EBA E-mail alert 23 April, 2026",https://www.eba.europa.eu/node/19593,2026-04-27T22:57:32
2026-04-23T15:00:03Z,press,EBA Report shows persistent gender imbalance and pay gaps in EU banking leadership,https://www.eba.europa.eu/publications-and-media/press-releases/eba-report-shows-persistent-gender-imbalance-and-pay-gaps-eu-banking-leadership,2026-04-27T22:57:32
2026-04-23T15:00:03Z,reporting,The EBA responds to the Commission’s proposed changes to its draft technical standards on operational risk,https://www.eba.europa.eu/publications-and-media/press-releases/eba-responds-commissions-proposed-changes-its-draft-technical-standards-operational-risk,2026-04-27T22:57:32
2026-04-21T15:00:03Z,press,"EBA E-mail alert 21 April, 2026",https://www.eba.europa.eu/node/19577,2026-04-27T22:57:32
2026-04-18T15:00:02Z,press,"EBA E-mail alert 18 April, 2026",https://www.eba.europa.eu/node/19575,2026-04-27T22:57:32
2026-04-18T15:00:02Z,press,The EBA responds to the European Commission’s consultation on EU banking sector competitiveness,https://www.eba.europa.eu/publications-and-media/press-releases/eba-responds-european-commissions-consultation-eu-banking-sector-competitiveness,2026-04-27T22:57:32
2026-04-17T15:00:02Z,reporting,"EBA E-mail alert 17 April, 2026",https://www.eba.europa.eu/node/19573,2026-04-27T22:57:32
2026-04-17T15:00:02Z,reporting,​The EBA launches the recruitment of its Executive Director​,https://www.eba.europa.eu/publications-and-media/press-releases/eba-launches-recruitment-its-executive-director,2026-04-27T22:57:32
2026-04-16T15:00:03Z,reporting,"EBA E-mail alert 16 April, 2026",https://www.eba.europa.eu/node/19568,2026-04-27T22:57:32
2026-04-16T15:00:03Z,governance,The EBA observes an increase of high earners in the EU in 2024,https://www.eba.europa.eu/publications-and-media/press-releases/eba-observes-increase-high-earners-eu-2024,2026-04-27T22:57:32
2026-04-16T15:00:03Z,reporting,The EBA seeks feedback on 4.3 draft technical package of its reporting framework,https://www.eba.europa.eu/publications-and-media/press-releases/eba-seeks-feedback-43-draft-technical-package-its-reporting-framework,2026-04-27T22:57:32
2026-04-14T15:00:02Z,press,"EBA E-mail alert 14 April, 2026",https://www.eba.europa.eu/node/19557,2026-04-27T22:57:32
2026-04-14T15:00:02Z,press,The Joint Bank Reporting Committee launches call to join the Reporting Contact Group,https://www.eba.europa.eu/publications-and-media/press-releases/joint-bank-reporting-committee-launches-call-join-reporting-contact-group,2026-04-27T22:57:32
2026-04-13T15:00:03Z,press,"EBA E-mail alert 13 April, 2026",https://www.eba.europa.eu/node/19552,2026-04-27T22:57:32
2026-04-13T15:00:03Z,press,The EBA publishes Report on banks’ dry run testing of their recovery plans,https://www.eba.europa.eu/publications-and-media/press-releases/eba-publishes-report-banks-dry-run-testing-their-recovery-plans,2026-04-27T22:57:32
2026-04-10T15:00:02Z,supervision,"EBA E-mail alert 10 April, 2026",https://www.eba.europa.eu/node/19549,2026-04-27T22:57:32
2026-04-10T15:00:02Z,supervision,"The EBA consults on major simplification of supervisory reporting to deliver a simpler, smarter and more proportionate framework",https://www.eba.europa.eu/publications-and-media/press-releases/eba-consults-major-simplification-supervisory-reporting-deliver-simpler-smarter-and-more,2026-04-27T22:57:32
2026-04-10T15:00:02Z,press,The EBA publishes Decision harmonising reporting of SEPA data by national authorities,https://www.eba.europa.eu/publications-and-media/press-releases/eba-publishes-decision-harmonising-reporting-sepa-data-national-authorities,2026-04-27T22:57:32
