ticker,cik,company,filed_date,form,phrase,filing_url
,0001970509,"Haymaker Acquisition Corp. 4  (HYAC, HYAC-UN, HYAC-WT)  (CIK 0001970509)",2026-04-14,8-K,going concern,https://www.sec.gov/Archives/edgar/data/1970509/000110465926043241:tm2611641d1_ex991.htm/0001104659-26-043241:tm2611641d1_ex99-1.htm-index.html
RMIX,0002094433,"Suncrete, Inc.  (RMIX)  (CIK 0002094433)",2026-04-14,8-K,going concern,https://www.sec.gov/Archives/edgar/data/2094433/000110465926043237:tm2611641d1_ex991.htm/0001104659-26-043237:tm2611641d1_ex99-1.htm-index.html
OYCG,0001994582,Oyocar Group Inc.  (OYCG)  (CIK 0001994582),2026-04-13,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1994582/000147793226002152:oyo_10q.htm/0001477932-26-002152:oyo_10q.htm-index.html
,0001697884,VITASPRING BIOMEDICAL CO. LTD.  (CIK 0001697884),2026-04-22,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1697884/000164033426000788:vsbc_10q.htm/0001640334-26-000788:vsbc_10q.htm-index.html
GLVT,0001693687,GREENLIT VENTURES INC.  (GLVT)  (CIK 0001693687),2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1693687/000164033426000745:msyn_10k.htm/0001640334-26-000745:msyn_10k.htm-index.html
,0001842563,"Go Go Buyers, Inc.  (CIK 0001842563)",2026-04-14,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1842563/000184256326000006:gogo_10k2026.htm/0001842563-26-000006:gogo_10k2026.htm-index.html
HGTXU,0000862022,HUGOTON ROYALTY TRUST  (HGTXU)  (CIK 0000862022),2026-04-20,8-K,going concern,https://www.sec.gov/Archives/edgar/data/862022/000119312526163137:hgtxuex99_1.htm/0001193125-26-163137:hgtxu-ex99_1.htm-index.html
,0001580095,Black Rock Petroleum Co  (CIK 0001580095),2026-04-23,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1580095/000117152026000065:eps12541.htm/0001171520-26-000065:eps12541.htm-index.html
CNBX,0001343009,CNBX Pharmaceuticals Inc.  (CNBX)  (CIK 0001343009),2026-04-14,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1343009/000168316826002899:cnbx_i10q22826.htm/0001683168-26-002899:cnbx_i10q-22826.htm-index.html
CSDX,0001106861,CS DIAGNOSTICS CORP.  (CSDX)  (CIK 0001106861),2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1106861/000121465926004694:csd32026010k.htm/0001214659-26-004694:csd32026010k.htm-index.html
BFNH,0001310488,"BIOFORCE NANOSCIENCES HOLDINGS, INC.  (BFNH)  (CIK 0001310488)",2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1310488/000109181826000047:bfnh123125_10k.htm/0001091818-26-000047:bfnh-123125_10k.htm-index.html
CLOW,0001619227,"Cloudweb, Inc.  (CLOW)  (CIK 0001619227)",2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1619227/000164033426000750:clow_10k.htm/0001640334-26-000750:clow_10k.htm-index.html
TAAG,0001386044,"Awareness Group, Inc.  (TAAG)  (CIK 0001386044)",2026-04-16,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1386044/000147793226002319:fhld_10q.htm/0001477932-26-002319:fhld_10q.htm-index.html
,0002076167,Synera Studio Inc  (CIK 0002076167),2026-04-16,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/2076167/000147793226002332:synera_10q.htm/0001477932-26-002332:synera_10q.htm-index.html
,0001932213,Blue Chip Capital Group Inc.  (CIK 0001932213),2026-04-20,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1932213/000149315226017983:form10q.htm/0001493152-26-017983:form10-q.htm-index.html
GRDX,0001604191,GridAI Technologies Corp.  (GRDX)  (CIK 0001604191),2026-04-13,8-K/A,going concern,https://www.sec.gov/Archives/edgar/data/1604191/000110465926042177:tm2611367d1_ex991.htm/0001104659-26-042177:tm2611367d1_ex99-1.htm-index.html
,0001853070,"Volato Group, Inc.  (SOAR, SOARW)  (CIK 0001853070)",2026-04-17,8-K,going concern,https://www.sec.gov/Archives/edgar/data/1853070/000149315226017829:form8k.htm/0001493152-26-017829:form8-k.htm-index.html
SPST,0001192323,Superstar Platforms Inc.  (SPST)  (CIK 0001192323),2026-04-15,10-K,going concern,https://www.sec.gov/Archives/edgar/data/1192323/000149315226016892:form10k.htm/0001493152-26-016892:form10-k.htm-index.html
,0002085177,"QuasarEdge Acquisition Corp  (QRED, QRED-UN)  (CIK 0002085177)",2026-04-22,8-K,going concern,https://www.sec.gov/Archives/edgar/data/2085177/000182912626003763:quasaredgeacq_ex991.htm/0001829126-26-003763:quasaredgeacq_ex99-1.htm-index.html
GTIC,0001584480,"Greentech Innovations, Inc.  (GTIC)  (CIK 0001584480)",2026-04-14,10-Q,going concern,https://www.sec.gov/Archives/edgar/data/1584480/000164033426000723:laab_10q.htm/0001640334-26-000723:laab_10q.htm-index.html
,0002064765,Essence Array Inc  (CIK 0002064765),2026-04-24,10-K,going concern,https://www.sec.gov/Archives/edgar/data/2064765/000147793226002514:eai_10k.htm/0001477932-26-002514:eai_10k.htm-index.html
