cik,company,form,filed_at,description,link,captured_at
0000831001,CITIGROUP INC (0000831001) (Filer),424B2,2026-04-27T17:29:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010850 <b>Size:</b> 826 KB,https://www.sec.gov/Archives/edgar/data/831001/000191870426010850/0001918704-26-010850-index.htm,2026-04-27T23:05:37Z
0000200245,Citigroup Global Markets Holdings Inc. (0000200245) (Filer),424B2,2026-04-27T17:29:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010850 <b>Size:</b> 826 KB,https://www.sec.gov/Archives/edgar/data/200245/000191870426010850/0001918704-26-010850-index.htm,2026-04-27T23:05:37Z
0001638911,DUKE Robotics Corp. (0001638911) (Filer),S-1,2026-04-27T17:29:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048102 <b>Size:</b> 7 MB,https://www.sec.gov/Archives/edgar/data/1638911/000121390026048102/0001213900-26-048102-index.htm,2026-04-27T23:05:37Z
0001638911,DUKE Robotics Corp. (0001638911) (Filer),S-1/A,2026-04-27T17:29:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001213900-26-048102 <b>Size:</b> 7 MB,https://www.sec.gov/Archives/edgar/data/1638911/000121390026048102/0001213900-26-048102-index.htm,2026-04-27T23:05:37Z
0000009631,BANK OF NOVA SCOTIA (0000009631) (Filer),424B2,2026-04-27T17:27:16-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001839882-26-021339 <b>Size:</b> 842 KB,https://www.sec.gov/Archives/edgar/data/9631/000183988226021339/0001839882-26-021339-index.htm,2026-04-27T23:05:37Z
0001682472,BofA Finance LLC (0001682472) (Filer),424B2,2026-04-27T17:25:04-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010849 <b>Size:</b> 842 KB,https://www.sec.gov/Archives/edgar/data/1682472/000191870426010849/0001918704-26-010849-index.htm,2026-04-27T23:05:37Z
0000070858,BANK OF AMERICA CORP /DE/ (0000070858) (Filer),424B2,2026-04-27T17:25:04-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010849 <b>Size:</b> 842 KB,https://www.sec.gov/Archives/edgar/data/70858/000191870426010849/0001918704-26-010849-index.htm,2026-04-27T23:05:37Z
0001419828,GS Finance Corp. (0001419828) (Filer),424B2,2026-04-27T17:24:21-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182435 <b>Size:</b> 724 KB,https://www.sec.gov/Archives/edgar/data/1419828/000119312526182435/0001193125-26-182435-index.htm,2026-04-27T23:05:37Z
0000886982,GOLDMAN SACHS GROUP INC (0000886982) (Filer),424B2,2026-04-27T17:24:21-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182435 <b>Size:</b> 724 KB,https://www.sec.gov/Archives/edgar/data/886982/000119312526182435/0001193125-26-182435-index.htm,2026-04-27T23:05:37Z
0000831001,CITIGROUP INC (0000831001) (Filer),424B2,2026-04-27T17:23:46-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001918704-26-010848 <b>Size:</b> 319 KB,https://www.sec.gov/Archives/edgar/data/831001/000191870426010848/0001918704-26-010848-index.htm,2026-04-27T23:05:37Z
