season,year,sst_total,anomaly,regime,captured_at
DJF,1950,24.72,-1.53,Strong La Nina,2026-04-27T22:58:38Z
JFM,1950,25.17,-1.34,Moderate La Nina,2026-04-27T22:58:38Z
FMA,1950,25.75,-1.16,Moderate La Nina,2026-04-27T22:58:38Z
MAM,1950,26.12,-1.18,Moderate La Nina,2026-04-27T22:58:38Z
AMJ,1950,26.32,-1.07,Moderate La Nina,2026-04-27T22:58:38Z
MJJ,1950,26.31,-0.85,Weak La Nina,2026-04-27T22:58:38Z
JJA,1950,26.21,-0.54,Weak La Nina,2026-04-27T22:58:38Z
JAS,1950,25.96,-0.42,Neutral,2026-04-27T22:58:38Z
ASO,1950,25.76,-0.39,Neutral,2026-04-27T22:58:38Z
SON,1950,25.63,-0.44,Neutral,2026-04-27T22:58:38Z
OND,1950,25.48,-0.60,Weak La Nina,2026-04-27T22:58:38Z
NDJ,1950,25.34,-0.80,Weak La Nina,2026-04-27T22:58:38Z
DJF,1951,25.42,-0.82,Weak La Nina,2026-04-27T22:58:38Z
JFM,1951,25.96,-0.54,Weak La Nina,2026-04-27T22:58:38Z
FMA,1951,26.74,-0.17,Neutral,2026-04-27T22:58:38Z
MAM,1951,27.48,+0.18,Neutral,2026-04-27T22:58:38Z
AMJ,1951,27.75,+0.36,Neutral,2026-04-27T22:58:38Z
MJJ,1951,27.75,+0.58,Weak El Nino,2026-04-27T22:58:38Z
JJA,1951,27.44,+0.70,Weak El Nino,2026-04-27T22:58:38Z
JAS,1951,27.28,+0.89,Weak El Nino,2026-04-27T22:58:38Z
ASO,1951,27.14,+0.99,Weak El Nino,2026-04-27T22:58:38Z
SON,1951,27.22,+1.15,Moderate El Nino,2026-04-27T22:58:38Z
OND,1951,27.12,+1.04,Moderate El Nino,2026-04-27T22:58:38Z
NDJ,1951,26.95,+0.81,Weak El Nino,2026-04-27T22:58:38Z
DJF,1952,26.78,+0.53,Weak El Nino,2026-04-27T22:58:38Z
JFM,1952,26.87,+0.37,Neutral,2026-04-27T22:58:38Z
FMA,1952,27.25,+0.34,Neutral,2026-04-27T22:58:38Z
MAM,1952,27.60,+0.29,Neutral,2026-04-27T22:58:38Z
AMJ,1952,27.59,+0.20,Neutral,2026-04-27T22:58:38Z
MJJ,1952,27.17,+0.00,Neutral,2026-04-27T22:58:38Z
JJA,1952,26.67,-0.08,Neutral,2026-04-27T22:58:38Z
JAS,1952,26.39,+0.00,Neutral,2026-04-27T22:58:38Z
ASO,1952,26.30,+0.15,Neutral,2026-04-27T22:58:38Z
SON,1952,26.17,+0.10,Neutral,2026-04-27T22:58:38Z
OND,1952,26.13,+0.04,Neutral,2026-04-27T22:58:38Z
NDJ,1952,26.29,+0.15,Neutral,2026-04-27T22:58:38Z
DJF,1953,26.65,+0.40,Neutral,2026-04-27T22:58:38Z
JFM,1953,27.10,+0.60,Weak El Nino,2026-04-27T22:58:38Z
FMA,1953,27.53,+0.63,Weak El Nino,2026-04-27T22:58:38Z
MAM,1953,27.96,+0.66,Weak El Nino,2026-04-27T22:58:38Z
AMJ,1953,28.14,+0.75,Weak El Nino,2026-04-27T22:58:38Z
MJJ,1953,27.94,+0.77,Weak El Nino,2026-04-27T22:58:38Z
JJA,1953,27.49,+0.75,Weak El Nino,2026-04-27T22:58:38Z
JAS,1953,27.12,+0.73,Weak El Nino,2026-04-27T22:58:38Z
ASO,1953,26.93,+0.78,Weak El Nino,2026-04-27T22:58:38Z
SON,1953,26.91,+0.84,Weak El Nino,2026-04-27T22:58:38Z
OND,1953,26.92,+0.84,Weak El Nino,2026-04-27T22:58:38Z
NDJ,1953,26.95,+0.81,Weak El Nino,2026-04-27T22:58:38Z
DJF,1954,27.00,+0.76,Weak El Nino,2026-04-27T22:58:38Z
JFM,1954,26.97,+0.47,Neutral,2026-04-27T22:58:38Z
FMA,1954,26.86,-0.05,Neutral,2026-04-27T22:58:38Z
MAM,1954,26.89,-0.41,Neutral,2026-04-27T22:58:38Z
AMJ,1954,26.85,-0.54,Weak La Nina,2026-04-27T22:58:38Z
MJJ,1954,26.67,-0.50,Weak La Nina,2026-04-27T22:58:38Z
JJA,1954,26.10,-0.64,Weak La Nina,2026-04-27T22:58:38Z
JAS,1954,25.54,-0.84,Weak La Nina,2026-04-27T22:58:38Z
ASO,1954,25.25,-0.90,Weak La Nina,2026-04-27T22:58:38Z
