sic,facility,state,hpv_status,months_hpv,quarters_violation,last_viol_date,classification,sector_ticker_hint,captured_at
2812,BLUE CUBE OPERATIONS,TX,Addressed-State,36,12,07/29/2024,Major Emissions,"chlorine:WLK,OLN,CC,DOW",2026-04-27T23:09:25Z
2812,DOW TEXAS OPERATIONS FREEPORT,TX,Unaddressed-State,36,12,01/26/2026,Major Emissions,"chlorine:WLK,OLN,CC,DOW",2026-04-27T23:09:25Z
2812,FORMOSA PLASTICS CORP LOUISIANA,LA,Addressed-State,36,12,04/16/2013,Major Emissions,"chlorine:WLK,OLN,CC,DOW",2026-04-27T23:09:25Z
2812,WESTLAKE US 2 LLC - WESTLAKE LAKE CHARLES SOUTH,LA,Addressed-State,36,12,09/09/2019,Major Emissions,"chlorine:WLK,OLN,CC,DOW",2026-04-27T23:09:25Z
2819,ADVANSIX RESINS AND CHEMICALS LLC - HOPEWELL PLANT,VA,Unaddressed-State,36,12,05/28/2021,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,APACHE NITROGEN PRODUCTS INC,AZ,Addressed-EPA,36,12,07/30/2015,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,TX,Addressed-State,36,12,08/16/2023,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,DOW TEXAS OPERATIONS FREEPORT,TX,Unaddressed-State,36,12,01/26/2026,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,ECO SERVICES OPERATIONS CORP (FORMERLY RHODIA INC),CA,Unaddressed-Local,36,12,09/26/2024,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,EXXONMOBIL BAYTOWN REFINERY,TX,Addressed-State,36,12,01/27/2026,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,EXXONMOBIL OIL BEAUMONT CHEMICAL PLANT,TX,Addressed-State,36,12,04/02/2026,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,GRACE PASADENA CATALYST SITE,TX,Addressed-State,36,12,04/27/2022,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,HYDRITE CHEMICAL CO.,WI,Addressed-State,36,12,01/30/2014,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,J R SIMPLOT COMPANY-DON SIDING POCATELLO,ID,Addressed-EPA,36,12,03/26/2024,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,MARTINEZ COGEN LIMITED PARTNERSHIP,CA,Unaddressed-Local,36,12,08/03/2021,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,MOSAIC FERTILIZER LLC - FAUSTINA PLANT,LA,Addressed-State,36,12,10/25/2022,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,MOSAIC FERTILIZER LLC - UNCLE SAM PLANT,LA,Addressed-State,36,12,10/25/2022,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,NOURYON FUNCTIONAL CHEMICALS BAY PARK,TX,Addressed-State,36,12,03/08/2018,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,PAR - HAWAII REFINERY,HI,Addressed-EPA,36,12,01/29/2018,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,PCI NITROGEN PASADENA,TX,Unaddressed-State,36,12,04/23/2021,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,PVS TECHNOLOGIES INC,IN,Unaddressed-State,36,12,09/22/2025,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,SHELL CATALYSTS & TECHNOLOGIES,CA,Addressed-Local,36,12,12/12/2022,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2819,"THE DOW CHEMICAL COMPANY U.S.A., MIDLAND",MI,Addressed-State,36,12,07/18/2022,Major Emissions,"chem_inorg:LIN,APD,ALB",2026-04-27T23:09:25Z
2821,BASF CORPORATION - CHEMICAL PLANTS,MI,Addressed-State,36,12,11/17/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,BASF CORPORATION - PLASTICS PLANTS,MI,Addressed-State,36,12,06/24/2014,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,BASF FREEPORT SITE,TX,Unaddressed-State,36,12,05/30/2024,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,BAYPORT EO PLANT,TX,Unaddressed-State,36,12,04/11/2023,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,BAYPORT POLYETHYLENE PLANT,TX,Addressed-State,36,12,08/22/2007,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,BAYPORT POLYMERS,TX,Addressed-State,36,12,11/30/2020,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,TX,Addressed-State,36,12,07/29/2020,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,CHOCOLATE BAYOU PLANT,TX,Unaddressed-State,36,12,11/24/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,"CRODA, INC",DE,Addressed-State,36,12,10/24/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,DOW TEXAS OPERATIONS FREEPORT,TX,Unaddressed-State,36,12,01/26/2026,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,EASTMAN CHEMICAL TEXAS OPERATIONS,TX,Addressed-State,36,12,12/10/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,EVAL BUSINESS UNIT,TX,Addressed-State,36,12,12/07/2022,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,TX,Addressed-EPA,36,12,10/03/2024,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,EXXONMOBIL BAYTOWN REFINERY,TX,Addressed-State,36,12,01/27/2026,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,EXXONMOBIL CHEMICAL BAYTOWN CHEMICAL PLANT,TX,Addressed-State,36,12,10/06/2021,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,EXXONMOBIL OIL BEAUMONT CHEMICAL PLANT,TX,Addressed-State,36,12,04/02/2026,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,FIBERGLASS PRODUCTS INC,NE,Unaddressed-State,36,12,03/31/2022,80% Synthetic Minor Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,FORMOSA PLASTICS CORP LOUISIANA,LA,Addressed-State,36,12,04/16/2013,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,KOPPERS CARBON MATERIALS LLC,IL,Addressed-State,36,12,01/07/2026,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,KRONOSPAN USA,AL,Addressed-State,36,12,06/05/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,LYONDELLBASELL ACETYLS,TX,Addressed-State,36,12,11/20/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,MEXICHEM SPECIALTY RESINS INC,IL,Addressed-State,36,12,05/26/2023,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,SABIC INNOVATIVE PLASTICS US LLC,IN,Unaddressed-State,36,12,01/29/2025,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,SHELL CHEM APPALACHIA/SHELL POLYMERS MONACA,PA,Unaddressed-State,36,12,04/21/2026,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,SI GROUP INC - ROTTERDAM JUNCT,NY,Unaddressed-State,36,12,09/21/2018,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,"THE CHEMOURS COMPANY FC, LLC, WASHINGTON WORKS",WV,Addressed-State,36,12,10/10/2023,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,"THE DOW CHEMICAL COMPANY U.S.A., MIDLAND",MI,Addressed-State,36,12,07/18/2022,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,TOTALENERGIES PETROCHEMICALS & REFINING USA LA PORTE PLANT,TX,Unaddressed-State,36,12,03/25/2026,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2821,VALSPAR GARLAND FACILITY,TX,Addressed-State,36,12,08/30/2022,Major Emissions,"plastics:LYB,WLK,DOW,EMN",2026-04-27T23:09:25Z
2834,"CRODA, INC",DE,Addressed-State,36,12,10/24/2025,Major Emissions,"pharma:PFE,JNJ,MRK,LLY,BMY,GILD",2026-04-27T23:09:25Z
2834,"THE DOW CHEMICAL COMPANY U.S.A., MIDLAND",MI,Addressed-State,36,12,07/18/2022,Major Emissions,"pharma:PFE,JNJ,MRK,LLY,BMY,GILD",2026-04-27T23:09:25Z
2911,"AIR PRODUCTS MANUFACTURING, LLC",CA,Addressed-EPA,36,12,05/16/2013,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,ALON BAKERSFIELD REFINING,CA,Unaddressed-Local,36,12,01/24/2024,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,BLANCHARD REFINING GALVESTON BAY REFINERY,TX,Unaddressed-State,36,12,03/17/2022,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,BP PRODUCTS NORTH AMERICA INC WHITING BUSINESS UNIT,IN,Unaddressed-State,36,12,07/22/2025,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,CALUMET MONTANA REFINING,MT,Unaddressed-EPA,36,12,04/30/2019,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,CALUMET SHREVEPORT REFINING LLC - CALUMET SHREVEPORT REFINERY,LA,Addressed-EPA,36,12,12/20/2017,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,CASPER REFINERY (HF SINCLAIR CASPER REFINING LLC),WY,Addressed-State,36,12,06/02/2016,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,CHEVRON PRODUCTS CO,CA,Addressed-Local,36,12,04/02/2013,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,CHEVRON PRODUCTS COMPANY,CA,Unaddressed-Local,36,12,02/04/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,DOW TEXAS OPERATIONS FREEPORT,TX,Unaddressed-State,36,12,01/26/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,ENTERPRISE MONT BELVIEU COMPLEX,TX,Unaddressed-State,36,12,04/25/2025,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,EXXONMOBIL BAYTOWN REFINERY,TX,Addressed-State,36,12,01/27/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,KERN OIL & REFINING,CA,Unaddressed-Local,36,12,08/20/2024,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,LUNDAY-THAGARD CO DBA WORLD OIL REFINING,CA,Unaddressed-Local,36,12,08/13/2013,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,MARATHON PETROLEUM COMPANY LP,MI,Addressed-State,36,12,01/20/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,MARATHON PETROLEUM TEXAS CITY REFINERY,TX,Unaddressed-State,36,12,12/14/2012,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,MARTINEZ COGEN LIMITED PARTNERSHIP,CA,Unaddressed-Local,36,12,08/03/2021,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,"MARTINEZ REFINING COMPANY LLC (PREVIOUSLY SHELL OIL PRODUCTS US, MARTINEZ REF.)",CA,Unaddressed-Local,36,12,02/19/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,MONROE ENERGY LLC/TRAINER,PA,Unaddressed-State,36,12,04/14/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,MOTIVA PORT ARTHUR TERMINAL,TX,Unaddressed-State,36,12,04/26/2013,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PAR - HAWAII REFINERY,HI,Addressed-EPA,36,12,01/29/2018,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PAR - REFINERY,HI,Addressed-EPA,36,12,09/30/2022,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PASADENA REFINERY,TX,Addressed-State,36,12,03/31/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PHILLIPS 66 CARBON PLANT,CA,Unaddressed-Local,36,12,02/16/2023,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PHILLIPS 66 CO - LAKE CHARLES REFINERY,LA,Addressed-State,36,12,10/25/2024,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PHILLIPS 66 CO/LA REFINERY WILMINGTON,CA,Addressed-Local,36,12,05/24/2011,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PHILLIPS 66 COMPANY - SAN FRANCISCO REFINERY,CA,Unaddressed-Local,36,12,02/09/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,PHILLIPS66 - SANTA MARIA REFINERY,CA,Unaddressed-Local,36,12,05/06/2016,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,SAN JOAQUIN REFINING CO,CA,Unaddressed-Local,36,12,09/06/2023,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,SUNCOR ENERGY - DENVER REFINERY,CO,Unaddressed-State,36,12,08/22/2024,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
2911,"TESORO ALASKA COMPANY, LLC / KENAI REFINERY",AK,Unaddressed-EPA,36,12,02/13/2026,Major Emissions,"refining:XOM,CVX,VLO,MPC,PSX,SUN,DK,PBF,HFC",2026-04-27T23:09:25Z
