geo,geo_label,period,index_2021,mom_pct,yoy_pct,captured_at
BE,Belgium,2024-09,93.90,,,2026-04-27T22:49:33Z
BE,Belgium,2024-10,94.70,0.85,,2026-04-27T22:49:33Z
BE,Belgium,2024-11,87.10,-8.03,,2026-04-27T22:49:33Z
BE,Belgium,2024-12,81.80,-6.08,,2026-04-27T22:49:33Z
BE,Belgium,2025-01,83.30,1.83,,2026-04-27T22:49:33Z
BE,Belgium,2025-02,84.20,1.08,,2026-04-27T22:49:33Z
BE,Belgium,2025-03,97.00,15.20,,2026-04-27T22:49:33Z
BE,Belgium,2025-04,85.00,-12.37,,2026-04-27T22:49:33Z
BE,Belgium,2025-05,85.60,0.71,,2026-04-27T22:49:33Z
BE,Belgium,2025-06,95.40,11.45,,2026-04-27T22:49:33Z
BE,Belgium,2025-07,87.10,-8.70,,2026-04-27T22:49:33Z
BE,Belgium,2025-08,85.40,-1.95,,2026-04-27T22:49:33Z
BE,Belgium,2025-09,96.10,12.53,2.34,2026-04-27T22:49:33Z
BE,Belgium,2025-10,95.10,-1.04,0.42,2026-04-27T22:49:33Z
BE,Belgium,2025-11,90.10,-5.26,3.44,2026-04-27T22:49:33Z
BE,Belgium,2025-12,91.00,1.00,11.25,2026-04-27T22:49:33Z
BE,Belgium,2026-01,88.90,-2.31,6.72,2026-04-27T22:49:33Z
BE,Belgium,2026-02,90.40,1.69,7.36,2026-04-27T22:49:33Z
DE,Germany,2024-09,95.50,,,2026-04-27T22:49:33Z
DE,Germany,2024-10,93.60,-1.99,,2026-04-27T22:49:33Z
DE,Germany,2024-11,99.00,5.77,,2026-04-27T22:49:33Z
DE,Germany,2024-12,86.60,-12.53,,2026-04-27T22:49:33Z
DE,Germany,2025-01,85.80,-0.92,,2026-04-27T22:49:33Z
DE,Germany,2025-02,89.50,4.31,,2026-04-27T22:49:33Z
DE,Germany,2025-03,102.60,14.64,,2026-04-27T22:49:33Z
DE,Germany,2025-04,90.80,-11.50,,2026-04-27T22:49:33Z
DE,Germany,2025-05,89.40,-1.54,,2026-04-27T22:49:33Z
DE,Germany,2025-06,93.40,4.47,,2026-04-27T22:49:33Z
DE,Germany,2025-07,92.70,-0.75,,2026-04-27T22:49:33Z
DE,Germany,2025-08,82.30,-11.22,,2026-04-27T22:49:33Z
DE,Germany,2025-09,94.60,14.95,-0.94,2026-04-27T22:49:33Z
DE,Germany,2025-10,94.70,0.11,1.18,2026-04-27T22:49:33Z
DE,Germany,2025-11,100.00,5.60,1.01,2026-04-27T22:49:33Z
DE,Germany,2025-12,87.00,-13.00,0.46,2026-04-27T22:49:33Z
DE,Germany,2026-01,85.90,-1.26,0.12,2026-04-27T22:49:33Z
DE,Germany,2026-02,89.80,4.54,0.34,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2024-09,101.20,,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2024-10,102.10,0.89,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2024-11,103.30,1.18,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2024-12,92.90,-10.07,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-01,93.60,0.75,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-02,96.40,2.99,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-03,108.00,12.03,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-04,96.70,-10.46,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-05,98.60,1.96,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-06,99.70,1.12,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-07,100.10,0.40,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-08,83.80,-16.28,,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-09,102.50,22.32,1.28,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-10,104.00,1.46,1.86,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-11,105.60,1.54,2.23,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2025-12,94.80,-10.23,2.05,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2026-01,93.10,-1.79,-0.53,2026-04-27T22:49:33Z
EA20,Euro area – 20 countries (2023-2025),2026-02,95.80,2.90,-0.62,2026-04-27T22:49:33Z
ES,Spain,2024-09,104.30,,,2026-04-27T22:49:33Z
ES,Spain,2024-10,108.20,3.74,,2026-04-27T22:49:33Z
ES,Spain,2024-11,105.20,-2.77,,2026-04-27T22:49:33Z
ES,Spain,2024-12,93.70,-10.93,,2026-04-27T22:49:33Z
ES,Spain,2025-01,98.10,4.70,,2026-04-27T22:49:33Z
ES,Spain,2025-02,102.20,4.18,,2026-04-27T22:49:33Z
ES,Spain,2025-03,107.60,5.28,,2026-04-27T22:49:33Z
ES,Spain,2025-04,101.00,-6.13,,2026-04-27T22:49:33Z
ES,Spain,2025-05,107.40,6.34,,2026-04-27T22:49:33Z
ES,Spain,2025-06,108.30,0.84,,2026-04-27T22:49:33Z
ES,Spain,2025-07,107.50,-0.74,,2026-04-27T22:49:33Z
ES,Spain,2025-08,80.10,-25.49,,2026-04-27T22:49:33Z
ES,Spain,2025-09,105.90,32.21,1.53,2026-04-27T22:49:33Z
ES,Spain,2025-10,109.60,3.49,1.29,2026-04-27T22:49:33Z
ES,Spain,2025-11,110.40,0.73,4.94,2026-04-27T22:49:33Z
ES,Spain,2025-12,93.40,-15.40,-0.32,2026-04-27T22:49:33Z
ES,Spain,2026-01,97.50,4.39,-0.61,2026-04-27T22:49:33Z
ES,Spain,2026-02,100.80,3.38,-1.37,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-09,102.40,,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-10,104.00,1.56,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-11,104.80,0.77,,2026-04-27T22:49:33Z
EU27_2020,European Union - 27 countries (from 2020),2024-12,95.00,-9.35,,2026-04-27T22:49:33Z
