country,iso2,period,hicp_annual_pct,mom_delta,captured_at
Austria,AT,2023-01,11.60,,2026-04-27T23:10:44Z
Austria,AT,2023-02,11.00,-0.60,2026-04-27T23:10:44Z
Austria,AT,2023-03,9.20,-1.80,2026-04-27T23:10:44Z
Austria,AT,2023-04,9.40,+0.20,2026-04-27T23:10:44Z
Austria,AT,2023-05,8.70,-0.70,2026-04-27T23:10:44Z
Austria,AT,2023-06,7.80,-0.90,2026-04-27T23:10:44Z
Austria,AT,2023-07,7.00,-0.80,2026-04-27T23:10:44Z
Austria,AT,2023-08,7.50,+0.50,2026-04-27T23:10:44Z
Austria,AT,2023-09,5.80,-1.70,2026-04-27T23:10:44Z
Austria,AT,2023-10,4.90,-0.90,2026-04-27T23:10:44Z
Austria,AT,2023-11,4.90,+0.00,2026-04-27T23:10:44Z
Austria,AT,2023-12,5.70,+0.80,2026-04-27T23:10:44Z
Austria,AT,2024-01,4.30,-1.40,2026-04-27T23:10:44Z
Austria,AT,2024-02,4.00,-0.30,2026-04-27T23:10:44Z
Austria,AT,2024-03,4.10,+0.10,2026-04-27T23:10:44Z
Austria,AT,2024-04,3.40,-0.70,2026-04-27T23:10:44Z
Austria,AT,2024-05,3.30,-0.10,2026-04-27T23:10:44Z
Austria,AT,2024-06,3.10,-0.20,2026-04-27T23:10:44Z
Austria,AT,2024-07,2.90,-0.20,2026-04-27T23:10:44Z
Austria,AT,2024-08,2.40,-0.50,2026-04-27T23:10:44Z
Austria,AT,2024-09,1.80,-0.60,2026-04-27T23:10:44Z
Austria,AT,2024-10,1.80,+0.00,2026-04-27T23:10:44Z
Austria,AT,2024-11,1.90,+0.10,2026-04-27T23:10:44Z
Austria,AT,2024-12,2.10,+0.20,2026-04-27T23:10:44Z
Austria,AT,2025-01,3.40,+1.30,2026-04-27T23:10:44Z
Austria,AT,2025-02,3.40,+0.00,2026-04-27T23:10:44Z
Austria,AT,2025-03,3.10,-0.30,2026-04-27T23:10:44Z
Austria,AT,2025-04,3.30,+0.20,2026-04-27T23:10:44Z
Austria,AT,2025-05,3.00,-0.30,2026-04-27T23:10:44Z
Austria,AT,2025-06,3.20,+0.20,2026-04-27T23:10:44Z
Austria,AT,2025-07,3.70,+0.50,2026-04-27T23:10:44Z
Austria,AT,2025-08,4.10,+0.40,2026-04-27T23:10:44Z
Austria,AT,2025-09,3.90,-0.20,2026-04-27T23:10:44Z
Austria,AT,2025-10,4.00,+0.10,2026-04-27T23:10:44Z
Austria,AT,2025-11,4.00,+0.00,2026-04-27T23:10:44Z
Austria,AT,2025-12,3.80,-0.20,2026-04-27T23:10:44Z
Belgium,BE,2023-01,7.40,,2026-04-27T23:10:44Z
Belgium,BE,2023-02,5.40,-2.00,2026-04-27T23:10:44Z
Belgium,BE,2023-03,4.90,-0.50,2026-04-27T23:10:44Z
Belgium,BE,2023-04,3.30,-1.60,2026-04-27T23:10:44Z
Belgium,BE,2023-05,2.70,-0.60,2026-04-27T23:10:44Z
Belgium,BE,2023-06,1.60,-1.10,2026-04-27T23:10:44Z
Belgium,BE,2023-07,1.70,+0.10,2026-04-27T23:10:44Z
Belgium,BE,2023-08,2.40,+0.70,2026-04-27T23:10:44Z
Belgium,BE,2023-09,0.70,-1.70,2026-04-27T23:10:44Z
Belgium,BE,2023-10,-1.70,-2.40,2026-04-27T23:10:44Z
Belgium,BE,2023-11,-0.80,+0.90,2026-04-27T23:10:44Z
Belgium,BE,2023-12,0.50,+1.30,2026-04-27T23:10:44Z
Belgium,BE,2024-01,1.50,+1.00,2026-04-27T23:10:44Z
Belgium,BE,2024-02,3.60,+2.10,2026-04-27T23:10:44Z
Belgium,BE,2024-03,3.80,+0.20,2026-04-27T23:10:44Z
Belgium,BE,2024-04,4.90,+1.10,2026-04-27T23:10:44Z
Belgium,BE,2024-05,4.90,+0.00,2026-04-27T23:10:44Z
Belgium,BE,2024-06,5.40,+0.50,2026-04-27T23:10:44Z
Belgium,BE,2024-07,5.40,+0.00,2026-04-27T23:10:44Z
Belgium,BE,2024-08,4.30,-1.10,2026-04-27T23:10:44Z
Belgium,BE,2024-09,4.30,+0.00,2026-04-27T23:10:44Z
Belgium,BE,2024-10,4.50,+0.20,2026-04-27T23:10:44Z
Belgium,BE,2024-11,4.80,+0.30,2026-04-27T23:10:44Z
Belgium,BE,2024-12,4.40,-0.40,2026-04-27T23:10:44Z
Belgium,BE,2025-01,4.40,+0.00,2026-04-27T23:10:44Z
Belgium,BE,2025-02,4.40,+0.00,2026-04-27T23:10:44Z
Belgium,BE,2025-03,3.60,-0.80,2026-04-27T23:10:44Z
Belgium,BE,2025-04,3.10,-0.50,2026-04-27T23:10:44Z
Belgium,BE,2025-05,2.80,-0.30,2026-04-27T23:10:44Z
Belgium,BE,2025-06,2.90,+0.10,2026-04-27T23:10:44Z
Belgium,BE,2025-07,2.60,-0.30,2026-04-27T23:10:44Z
Belgium,BE,2025-08,2.60,+0.00,2026-04-27T23:10:44Z
Belgium,BE,2025-09,2.70,+0.10,2026-04-27T23:10:44Z
Belgium,BE,2025-10,2.50,-0.20,2026-04-27T23:10:44Z
Belgium,BE,2025-11,2.60,+0.10,2026-04-27T23:10:44Z
Belgium,BE,2025-12,2.20,-0.40,2026-04-27T23:10:44Z
Germany,DE,2023-01,9.20,,2026-04-27T23:10:44Z
Germany,DE,2023-02,9.30,+0.10,2026-04-27T23:10:44Z
Germany,DE,2023-03,7.80,-1.50,2026-04-27T23:10:44Z
Germany,DE,2023-04,7.60,-0.20,2026-04-27T23:10:44Z
Germany,DE,2023-05,6.30,-1.30,2026-04-27T23:10:44Z
Germany,DE,2023-06,6.80,+0.50,2026-04-27T23:10:44Z
Germany,DE,2023-07,6.50,-0.30,2026-04-27T23:10:44Z
Germany,DE,2023-08,6.40,-0.10,2026-04-27T23:10:44Z
Germany,DE,2023-09,4.30,-2.10,2026-04-27T23:10:44Z
Germany,DE,2023-10,3.00,-1.30,2026-04-27T23:10:44Z
Germany,DE,2023-11,2.30,-0.70,2026-04-27T23:10:44Z
Germany,DE,2023-12,3.80,+1.50,2026-04-27T23:10:44Z
Germany,DE,2024-01,3.10,-0.70,2026-04-27T23:10:44Z
Germany,DE,2024-02,2.70,-0.40,2026-04-27T23:10:44Z
Germany,DE,2024-03,2.30,-0.40,2026-04-27T23:10:44Z
Germany,DE,2024-04,2.40,+0.10,2026-04-27T23:10:44Z
Germany,DE,2024-05,2.80,+0.40,2026-04-27T23:10:44Z
Germany,DE,2024-06,2.50,-0.30,2026-04-27T23:10:44Z
Germany,DE,2024-07,2.60,+0.10,2026-04-27T23:10:44Z
Germany,DE,2024-08,2.00,-0.60,2026-04-27T23:10:44Z
Germany,DE,2024-09,1.80,-0.20,2026-04-27T23:10:44Z
Germany,DE,2024-10,2.40,+0.60,2026-04-27T23:10:44Z
Germany,DE,2024-11,2.40,+0.00,2026-04-27T23:10:44Z
Germany,DE,2024-12,2.80,+0.40,2026-04-27T23:10:44Z
Germany,DE,2025-01,2.80,+0.00,2026-04-27T23:10:44Z
Germany,DE,2025-02,2.60,-0.20,2026-04-27T23:10:44Z
Germany,DE,2025-03,2.30,-0.30,2026-04-27T23:10:44Z
Germany,DE,2025-04,2.20,-0.10,2026-04-27T23:10:44Z
Germany,DE,2025-05,2.10,-0.10,2026-04-27T23:10:44Z
Germany,DE,2025-06,2.00,-0.10,2026-04-27T23:10:44Z
Germany,DE,2025-07,1.80,-0.20,2026-04-27T23:10:44Z
Germany,DE,2025-08,2.10,+0.30,2026-04-27T23:10:44Z
Germany,DE,2025-09,2.40,+0.30,2026-04-27T23:10:44Z
Germany,DE,2025-10,2.30,-0.10,2026-04-27T23:10:44Z
Germany,DE,2025-11,2.60,+0.30,2026-04-27T23:10:44Z
Germany,DE,2025-12,2.00,-0.60,2026-04-27T23:10:44Z
Euro Area,EA20,2023-01,8.70,,2026-04-27T23:10:44Z
Euro Area,EA20,2023-02,8.50,-0.20,2026-04-27T23:10:44Z
Euro Area,EA20,2023-03,6.90,-1.60,2026-04-27T23:10:44Z
Euro Area,EA20,2023-04,7.00,+0.10,2026-04-27T23:10:44Z
Euro Area,EA20,2023-05,6.10,-0.90,2026-04-27T23:10:44Z
Euro Area,EA20,2023-06,5.50,-0.60,2026-04-27T23:10:44Z
Euro Area,EA20,2023-07,5.30,-0.20,2026-04-27T23:10:44Z
Euro Area,EA20,2023-08,5.20,-0.10,2026-04-27T23:10:44Z
